Material_Name,Material_Type,Strength_MPa,Biodegradability,Recyclability,CO2_kg_per_kg,Cost_per_kg,Material_Safety,Category_Name,Moisture_Sensitivity,Fragility,Typical_Weight_kg,predicted_cost,predicted_co2
Recycled PET,Recycled Plastic,53.93519589767424,0.0,1.0,1.164144996188681,2.0751902683525008,0.5,Pharma,1.0,0.9,0.1,2.0724594225969635,1.1893266
Recycled PET,Recycled Plastic,53.93519589767424,0.0,1.0,1.164144996188681,2.0751902683525008,0.5,E-commerce,0.3,0.5,1.5,2.073485449246536,1.1893266
Aluminum,Metal,198.99813900836324,0.0,1.0,12.358863803043487,2.3920415476188057,0.5,Electronics,1.0,0.9,2.0,2.400430756149656,12.378168
Aluminum,Metal,198.99813900836324,0.0,1.0,12.358863803043487,2.3920415476188057,0.5,Food & Beverage,0.9,0.4,0.5,2.4065269473194717,12.378168
Aluminum,Metal,198.99813900836324,0.0,1.0,12.358863803043487,2.3920415476188057,0.5,Cosmetics,0.7,0.8,0.3,2.392824408532084,12.378168
Aluminum,Metal,198.99813900836324,0.0,1.0,12.358863803043487,2.3920415476188057,0.5,Pharma,1.0,0.9,0.1,2.400045809912422,12.378168
Aluminum,Metal,198.99813900836324,0.0,1.0,12.358863803043487,2.3920415476188057,0.5,E-commerce,0.3,0.5,1.5,2.411840277576013,12.331062
Mushroom Packaging,Bio-composite,4.790019898433167,1.0,1.0,0.1968509133041702,3.969659047863095,1.0,Electronics,1.0,0.9,2.0,3.9614320691855793,0.20205694
Mushroom Packaging,Bio-composite,4.790019898433167,1.0,1.0,0.1968509133041702,3.969659047863095,1.0,Food & Beverage,0.9,0.4,0.5,3.96417439541142,0.20205694
Mushroom Packaging,Bio-composite,4.790019898433167,1.0,1.0,0.1968509133041702,3.969659047863095,1.0,Cosmetics,0.7,0.8,0.3,3.96554555852434,0.20205694
Mushroom Packaging,Bio-composite,4.790019898433167,1.0,1.0,0.1968509133041702,3.969659047863095,1.0,Pharma,1.0,0.9,0.1,3.96006090607266,0.20205694
Mushroom Packaging,Bio-composite,4.790019898433167,1.0,1.0,0.1968509133041702,3.969659047863095,1.0,E-commerce,0.3,0.5,1.5,3.96828788475018,0.20205694
PLA (Bio-plastic),Biopolymer,52.485351124785936,0.95,0.2,0.5114538865589475,3.3675351671078504,0.575,Electronics,1.0,0.9,2.0,3.385883250676083,0.50458026
PLA (Bio-plastic),Biopolymer,52.485351124785936,0.95,0.2,0.5114538865589475,3.3675351671078504,0.575,Food & Beverage,0.9,0.4,0.5,3.3769433983920463,0.50458026
PLA (Bio-plastic),Biopolymer,52.485351124785936,0.95,0.2,0.5114538865589475,3.3675351671078504,0.575,Cosmetics,0.7,0.8,0.3,3.375853186335896,0.50458026
PLA (Bio-plastic),Biopolymer,52.485351124785936,0.95,0.2,0.5114538865589475,3.3675351671078504,0.575,Pharma,1.0,0.9,0.1,3.3760873758359726,0.50458026
PLA (Bio-plastic),Biopolymer,52.485351124785936,0.95,0.2,0.5114538865589475,3.3675351671078504,0.575,E-commerce,0.3,0.5,1.5,3.3868927272880005,0.50458026
Aluminum,Metal,201.291313534841,0.0,1.0,12.13350892884687,2.465869103074489,0.5,Electronics,1.0,0.9,2.0,2.469495023856133,12.336025
Aluminum,Metal,201.291313534841,0.0,1.0,12.13350892884687,2.465869103074489,0.5,Food & Beverage,0.9,0.4,0.5,2.466429721992521,12.097561
Aluminum,Metal,201.291313534841,0.0,1.0,12.13350892884687,2.465869103074489,0.5,Cosmetics,0.7,0.8,0.3,2.467101210306361,12.097561
Aluminum,Metal,201.291313534841,0.0,1.0,12.13350892884687,2.465869103074489,0.5,Pharma,1.0,0.9,0.1,2.4646238574395336,12.097561
Aluminum,Metal,201.291313534841,0.0,1.0,12.13350892884687,2.465869103074489,0.5,E-commerce,0.3,0.5,1.5,2.476001068408882,12.245859
Glass,Glass,41.21209918564517,0.0,1.0,0.9881938923546766,0.5134169093851553,0.5,Electronics,1.0,0.9,2.0,0.5107652799249351,1.0090929
Glass,Glass,41.21209918564517,0.0,1.0,0.9881938923546766,0.5134169093851553,0.5,Food & Beverage,0.9,0.4,0.5,0.5122471417235201,1.0090929
Glass,Glass,41.21209918564517,0.0,1.0,0.9881938923546766,0.5134169093851553,0.5,Cosmetics,0.7,0.8,0.3,0.5085878427632329,1.0090929
Glass,Glass,41.21209918564517,0.0,1.0,0.9881938923546766,0.5134169093851553,0.5,Pharma,1.0,0.9,0.1,0.5098010106922701,1.0090929
Glass,Glass,41.21209918564517,0.0,1.0,0.9881938923546766,0.5134169093851553,0.5,E-commerce,0.3,0.5,1.5,0.5109669823607015,1.0090929
Recycled PET,Recycled Plastic,53.7701317252964,0.0,1.0,1.1834597152574893,2.019356281886346,0.5,Electronics,1.0,0.9,2.0,2.018131041717111,1.1903245
Recycled PET,Recycled Plastic,53.7701317252964,0.0,1.0,1.1834597152574893,2.019356281886346,0.5,Food & Beverage,0.9,0.4,0.5,2.0195100384689497,1.1903245
Recycled PET,Recycled Plastic,53.7701317252964,0.0,1.0,1.1834597152574893,2.019356281886346,0.5,Cosmetics,0.7,0.8,0.3,2.019744858276004,1.1903245
Recycled PET,Recycled Plastic,53.7701317252964,0.0,1.0,1.1834597152574893,2.019356281886346,0.5,Pharma,1.0,0.9,0.1,2.0197719016398783,1.1903245
Recycled PET,Recycled Plastic,53.7701317252964,0.0,1.0,1.1834597152574893,2.019356281886346,0.5,E-commerce,0.3,0.5,1.5,2.018336062012179,1.1903245
Mushroom Packaging,Bio-composite,4.833060741861488,1.0,1.0,0.2022018283623952,4.132708188314089,1.0,Electronics,1.0,0.9,2.0,4.103130194308381,0.20174213
Mushroom Packaging,Bio-composite,4.833060741861488,1.0,1.0,0.2022018283623952,4.132708188314089,1.0,Food & Beverage,0.9,0.4,0.5,4.108068259521719,0.20174213
Mushroom Packaging,Bio-composite,4.833060741861488,1.0,1.0,0.2022018283623952,4.132708188314089,1.0,Cosmetics,0.7,0.8,0.3,4.102546172593701,0.20174213
Mushroom Packaging,Bio-composite,4.833060741861488,1.0,1.0,0.2022018283623952,4.132708188314089,1.0,Pharma,1.0,0.9,0.1,4.085945513991444,0.20174213
Mushroom Packaging,Bio-composite,4.833060741861488,1.0,1.0,0.2022018283623952,4.132708188314089,1.0,E-commerce,0.3,0.5,1.5,4.104061158812629,0.20174213
Glass,Glass,39.127821072489134,0.0,1.0,1.0142124322881043,0.4983782599951404,0.5,Electronics,1.0,0.9,2.0,0.4982895226960802,1.0079757
Glass,Glass,39.127821072489134,0.0,1.0,1.0142124322881043,0.4983782599951404,0.5,Food & Beverage,0.9,0.4,0.5,0.4980074684652786,1.0079757
Glass,Glass,39.127821072489134,0.0,1.0,1.0142124322881043,0.4983782599951404,0.5,Cosmetics,0.7,0.8,0.3,0.4986068000774862,1.0079757
Glass,Glass,39.127821072489134,0.0,1.0,1.0142124322881043,0.4983782599951404,0.5,Pharma,1.0,0.9,0.1,0.4981034619282854,1.0079757
Glass,Glass,39.127821072489134,0.0,1.0,1.0142124322881043,0.4983782599951404,0.5,E-commerce,0.3,0.5,1.5,0.4980790204760875,1.0079757
Aluminum,Metal,196.94788434072217,0.0,1.0,12.122507946844657,2.4697144379907816,0.5,Electronics,1.0,0.9,2.0,2.471636473409065,12.078429
Aluminum,Metal,196.94788434072217,0.0,1.0,12.122507946844657,2.4697144379907816,0.5,Food & Beverage,0.9,0.4,0.5,2.476743986478766,12.014405
Aluminum,Metal,196.94788434072217,0.0,1.0,12.122507946844657,2.4697144379907816,0.5,Cosmetics,0.7,0.8,0.3,2.472215271874507,12.078429
Aluminum,Metal,196.94788434072217,0.0,1.0,12.122507946844657,2.4697144379907816,0.5,Pharma,1.0,0.9,0.1,2.473528471943536,12.014405
Aluminum,Metal,196.94788434072217,0.0,1.0,12.122507946844657,2.4697144379907816,0.5,E-commerce,0.3,0.5,1.5,2.473420480238793,12.078429
PLA (Bio-plastic),Biopolymer,50.93994650957365,0.95,0.2,0.48957503064435,3.409349060732571,0.575,Electronics,1.0,0.9,2.0,3.4090314316929464,0.4969623
PLA (Bio-plastic),Biopolymer,50.93994650957365,0.95,0.2,0.48957503064435,3.409349060732571,0.575,Food & Beverage,0.9,0.4,0.5,3.4106463731549708,0.4969623
PLA (Bio-plastic),Biopolymer,50.93994650957365,0.95,0.2,0.48957503064435,3.409349060732571,0.575,Cosmetics,0.7,0.8,0.3,3.4134669043426675,0.4969623
PLA (Bio-plastic),Biopolymer,50.93994650957365,0.95,0.2,0.48957503064435,3.409349060732571,0.575,Pharma,1.0,0.9,0.1,3.409528424145735,0.4969623
PLA (Bio-plastic),Biopolymer,50.93994650957365,0.95,0.2,0.48957503064435,3.409349060732571,0.575,E-commerce,0.3,0.5,1.5,3.409094957500871,0.4969623
Aluminum,Metal,208.3970373679157,0.0,1.0,11.524053240888154,2.6197198449044,0.5,Electronics,1.0,0.9,2.0,2.604744301446455,11.589656
Aluminum,Metal,208.3970373679157,0.0,1.0,11.524053240888154,2.6197198449044,0.5,Food & Beverage,0.9,0.4,0.5,2.608981027394682,11.589656
Aluminum,Metal,208.3970373679157,0.0,1.0,11.524053240888154,2.6197198449044,0.5,Cosmetics,0.7,0.8,0.3,2.604541435779476,12.0806675
Aluminum,Metal,208.3970373679157,0.0,1.0,11.524053240888154,2.6197198449044,0.5,Pharma,1.0,0.9,0.1,2.610519018616373,11.589656
Aluminum,Metal,208.3970373679157,0.0,1.0,11.524053240888154,2.6197198449044,0.5,E-commerce,0.3,0.5,1.5,2.580363009551001,12.0806675
Recycled PET,Recycled Plastic,57.37841050786271,0.0,1.0,1.1938291957844411,2.0960949771244994,0.5,Electronics,1.0,0.9,2.0,2.097389718918241,1.2087796
Recycled PET,Recycled Plastic,57.37841050786271,0.0,1.0,1.1938291957844411,2.0960949771244994,0.5,Food & Beverage,0.9,0.4,0.5,2.098943716854861,1.2087796
Recycled PET,Recycled Plastic,57.37841050786271,0.0,1.0,1.1938291957844411,2.0960949771244994,0.5,Cosmetics,0.7,0.8,0.3,2.0994232720840937,1.2087796
Recycled PET,Recycled Plastic,57.37841050786271,0.0,1.0,1.1938291957844411,2.0960949771244994,0.5,Pharma,1.0,0.9,0.1,2.101548324506634,1.2087796
Recycled PET,Recycled Plastic,57.37841050786271,0.0,1.0,1.1938291957844411,2.0960949771244994,0.5,E-commerce,0.3,0.5,1.5,2.0981844884400465,1.2087796
Glass,Glass,38.75211510627723,0.0,1.0,0.9601782348000404,0.524771800567252,0.5,Electronics,1.0,0.9,2.0,0.523921488813437,0.99593145
Glass,Glass,38.75211510627723,0.0,1.0,0.9601782348000404,0.524771800567252,0.5,Food & Beverage,0.9,0.4,0.5,0.5238839856626164,0.99593145
Glass,Glass,38.75211510627723,0.0,1.0,0.9601782348000404,0.524771800567252,0.5,Cosmetics,0.7,0.8,0.3,0.5236907697558061,0.99593145
Glass,Glass,38.75211510627723,0.0,1.0,0.9601782348000404,0.524771800567252,0.5,Pharma,1.0,0.9,0.1,0.5225035777739899,0.99593145
Glass,Glass,38.75211510627723,0.0,1.0,0.9601782348000404,0.524771800567252,0.5,E-commerce,0.3,0.5,1.5,0.5242671791698084,0.99593145
Virgin PET,Plastic,58.82903337990701,0.0,0.9,2.3818528835206627,1.8850033761472167,0.45,Electronics,1.0,0.9,2.0,1.871754107092824,2.4765265
Virgin PET,Plastic,58.82903337990701,0.0,0.9,2.3818528835206627,1.8850033761472167,0.45,Food & Beverage,0.9,0.4,0.5,1.8801655321882933,2.4128604
Virgin PET,Plastic,58.82903337990701,0.0,0.9,2.3818528835206627,1.8850033761472167,0.45,Cosmetics,0.7,0.8,0.3,1.881710539490284,2.4128604
Virgin PET,Plastic,58.82903337990701,0.0,0.9,2.3818528835206627,1.8850033761472167,0.45,Pharma,1.0,0.9,0.1,1.8773895127365776,2.4128604
Virgin PET,Plastic,58.82903337990701,0.0,0.9,2.3818528835206627,1.8850033761472167,0.45,E-commerce,0.3,0.5,1.5,1.8650808815921645,2.4765265
Aluminum,Metal,200.78984455357127,0.0,1.0,11.731575046375204,2.511073308384554,0.5,Electronics,1.0,0.9,2.0,2.505426995366006,11.800435
Aluminum,Metal,200.78984455357127,0.0,1.0,11.731575046375204,2.511073308384554,0.5,Food & Beverage,0.9,0.4,0.5,2.503392871497692,11.800435
Aluminum,Metal,200.78984455357127,0.0,1.0,11.731575046375204,2.511073308384554,0.5,Cosmetics,0.7,0.8,0.3,2.50860550622801,11.800435
Aluminum,Metal,200.78984455357127,0.0,1.0,11.731575046375204,2.511073308384554,0.5,Pharma,1.0,0.9,0.1,2.504561621958599,11.800435
Aluminum,Metal,200.78984455357127,0.0,1.0,11.731575046375204,2.511073308384554,0.5,E-commerce,0.3,0.5,1.5,2.5060969154997044,11.800435
Mushroom Packaging,Bio-composite,5.220702430552699,1.0,1.0,0.1978352734029566,3.932784741150394,1.0,Electronics,1.0,0.9,2.0,3.9213319511919114,0.20205694
Mushroom Packaging,Bio-composite,5.220702430552699,1.0,1.0,0.1978352734029566,3.932784741150394,1.0,Food & Beverage,0.9,0.4,0.5,3.924051836433335,0.20205694
Mushroom Packaging,Bio-composite,5.220702430552699,1.0,1.0,0.1978352734029566,3.932784741150394,1.0,Cosmetics,0.7,0.8,0.3,3.924287449485165,0.20205694
Mushroom Packaging,Bio-composite,5.220702430552699,1.0,1.0,0.1978352734029566,3.932784741150394,1.0,Pharma,1.0,0.9,0.1,3.912118470991436,0.20205694
Mushroom Packaging,Bio-composite,5.220702430552699,1.0,1.0,0.1978352734029566,3.932784741150394,1.0,E-commerce,0.3,0.5,1.5,3.923766757316924,0.20205694
Glass,Glass,41.71979540177699,0.0,1.0,1.0444390304671702,0.5054029643551765,0.5,Electronics,1.0,0.9,2.0,0.5055909360687784,1.0094516
Glass,Glass,41.71979540177699,0.0,1.0,1.0444390304671702,0.5054029643551765,0.5,Food & Beverage,0.9,0.4,0.5,0.5061951920372532,1.0094516
Glass,Glass,41.71979540177699,0.0,1.0,1.0444390304671702,0.5054029643551765,0.5,Cosmetics,0.7,0.8,0.3,0.5059686011136822,1.0094516
Glass,Glass,41.71979540177699,0.0,1.0,1.0444390304671702,0.5054029643551765,0.5,Pharma,1.0,0.9,0.1,0.5060512074456642,1.0094516
Glass,Glass,41.71979540177699,0.0,1.0,1.0444390304671702,0.5054029643551765,0.5,E-commerce,0.3,0.5,1.5,0.5057523117979617,1.0094516
Glass,Glass,40.469977203226186,0.0,1.0,1.0323340096240825,0.487458959549395,0.5,Electronics,1.0,0.9,2.0,0.4849826375380474,1.0019125
Glass,Glass,40.469977203226186,0.0,1.0,1.0323340096240825,0.487458959549395,0.5,Food & Beverage,0.9,0.4,0.5,0.4859250912065473,1.0019125
Glass,Glass,40.469977203226186,0.0,1.0,1.0323340096240825,0.487458959549395,0.5,Cosmetics,0.7,0.8,0.3,0.4854252907938792,1.0019125
Glass,Glass,40.469977203226186,0.0,1.0,1.0323340096240825,0.487458959549395,0.5,Pharma,1.0,0.9,0.1,0.4855645276862554,1.0019125
Glass,Glass,40.469977203226186,0.0,1.0,1.0323340096240825,0.487458959549395,0.5,E-commerce,0.3,0.5,1.5,0.4847232128055739,1.0019125
Virgin PET,Plastic,60.84916179636314,0.0,0.9,2.529751483355469,1.8691022338421936,0.45,Electronics,1.0,0.9,2.0,1.8649603404473587,2.518514
Virgin PET,Plastic,60.84916179636314,0.0,0.9,2.529751483355469,1.8691022338421936,0.45,Food & Beverage,0.9,0.4,0.5,1.8653987851050695,2.518514
Virgin PET,Plastic,60.84916179636314,0.0,0.9,2.529751483355469,1.8691022338421936,0.45,Cosmetics,0.7,0.8,0.3,1.8627201645051965,2.518514
Virgin PET,Plastic,60.84916179636314,0.0,0.9,2.529751483355469,1.8691022338421936,0.45,Pharma,1.0,0.9,0.1,1.8638981214484576,2.518514
Virgin PET,Plastic,60.84916179636314,0.0,0.9,2.529751483355469,1.8691022338421936,0.45,E-commerce,0.3,0.5,1.5,1.8648220087534555,2.518514
Recycled PET,Recycled Plastic,54.09938308828136,0.0,1.0,1.2508738627077636,2.1776488164025904,0.5,Electronics,1.0,0.9,2.0,2.174008903012741,1.2031049
Recycled PET,Recycled Plastic,54.09938308828136,0.0,1.0,1.2508738627077636,2.1776488164025904,0.5,Food & Beverage,0.9,0.4,0.5,2.1704576234008317,1.1996934
Recycled PET,Recycled Plastic,54.09938308828136,0.0,1.0,1.2508738627077636,2.1776488164025904,0.5,Cosmetics,0.7,0.8,0.3,2.17640596734666,1.2031049
Recycled PET,Recycled Plastic,54.09938308828136,0.0,1.0,1.2508738627077636,2.1776488164025904,0.5,Pharma,1.0,0.9,0.1,2.17640596734666,1.2031049
Recycled PET,Recycled Plastic,54.09938308828136,0.0,1.0,1.2508738627077636,2.1776488164025904,0.5,E-commerce,0.3,0.5,1.5,2.1754116881019185,1.2031049
Aluminum,Metal,202.2710137380592,0.0,1.0,12.152916501424134,2.4087195930293808,0.5,Electronics,1.0,0.9,2.0,2.409110300457772,12.148666
Aluminum,Metal,202.2710137380592,0.0,1.0,12.152916501424134,2.4087195930293808,0.5,Food & Beverage,0.9,0.4,0.5,2.4108188477247645,12.115821
Aluminum,Metal,202.2710137380592,0.0,1.0,12.152916501424134,2.4087195930293808,0.5,Cosmetics,0.7,0.8,0.3,2.409129608577244,12.148666
Aluminum,Metal,202.2710137380592,0.0,1.0,12.152916501424134,2.4087195930293808,0.5,Pharma,1.0,0.9,0.1,2.4103465760642053,12.115821
Aluminum,Metal,202.2710137380592,0.0,1.0,12.152916501424134,2.4087195930293808,0.5,E-commerce,0.3,0.5,1.5,2.411174683005506,12.115821
Cardboard,Paper,14.817395753761378,1.0,1.0,0.8098821915427493,0.6669660075950922,1.0,Electronics,1.0,0.9,2.0,0.673740025098545,0.8042747
Cardboard,Paper,14.817395753761378,1.0,1.0,0.8098821915427493,0.6669660075950922,1.0,Food & Beverage,0.9,0.4,0.5,0.6705572325226243,0.81061214
Cardboard,Paper,14.817395753761378,1.0,1.0,0.8098821915427493,0.6669660075950922,1.0,Cosmetics,0.7,0.8,0.3,0.6686885546397409,0.81061214
Cardboard,Paper,14.817395753761378,1.0,1.0,0.8098821915427493,0.6669660075950922,1.0,Pharma,1.0,0.9,0.1,0.6705678532328896,0.81061214
Cardboard,Paper,14.817395753761378,1.0,1.0,0.8098821915427493,0.6669660075950922,1.0,E-commerce,0.3,0.5,1.5,0.6765662749492303,0.8042747
PLA (Bio-plastic),Biopolymer,49.2461889585228,0.95,0.2,0.5180711709988595,3.631530529677759,0.575,Electronics,1.0,0.9,2.0,3.6336662789806815,0.49868873
PLA (Bio-plastic),Biopolymer,49.2461889585228,0.95,0.2,0.5180711709988595,3.631530529677759,0.575,Food & Beverage,0.9,0.4,0.5,3.634989205742343,0.49868873
PLA (Bio-plastic),Biopolymer,49.2461889585228,0.95,0.2,0.5180711709988595,3.631530529677759,0.575,Cosmetics,0.7,0.8,0.3,3.632611365947942,0.49868873
PLA (Bio-plastic),Biopolymer,49.2461889585228,0.95,0.2,0.5180711709988595,3.631530529677759,0.575,Pharma,1.0,0.9,0.1,3.631694850456913,0.49868873
PLA (Bio-plastic),Biopolymer,49.2461889585228,0.95,0.2,0.5180711709988595,3.631530529677759,0.575,E-commerce,0.3,0.5,1.5,3.633450111726646,0.49868873
Recycled PET,Recycled Plastic,54.24758540566352,0.0,1.0,1.15128570156903,2.187610960158753,0.5,Electronics,1.0,0.9,2.0,2.18101162111183,1.1950759
Recycled PET,Recycled Plastic,54.24758540566352,0.0,1.0,1.15128570156903,2.187610960158753,0.5,Food & Beverage,0.9,0.4,0.5,2.179972336835285,1.1950759
Recycled PET,Recycled Plastic,54.24758540566352,0.0,1.0,1.15128570156903,2.187610960158753,0.5,Cosmetics,0.7,0.8,0.3,2.182226477181388,1.1950759
Recycled PET,Recycled Plastic,54.24758540566352,0.0,1.0,1.15128570156903,2.187610960158753,0.5,Pharma,1.0,0.9,0.1,2.1753659006631274,1.1950759
Recycled PET,Recycled Plastic,54.24758540566352,0.0,1.0,1.15128570156903,2.187610960158753,0.5,E-commerce,0.3,0.5,1.5,2.177369311449272,1.1950759
Cardboard,Paper,14.455201795339264,1.0,1.0,0.7921510778730876,0.6871837599250791,1.0,Electronics,1.0,0.9,2.0,0.6863383733467293,0.8011514
Cardboard,Paper,14.455201795339264,1.0,1.0,0.7921510778730876,0.6871837599250791,1.0,Food & Beverage,0.9,0.4,0.5,0.6863447857486823,0.8011514
Cardboard,Paper,14.455201795339264,1.0,1.0,0.7921510778730876,0.6871837599250791,1.0,Cosmetics,0.7,0.8,0.3,0.687576910021452,0.8011514
Cardboard,Paper,14.455201795339264,1.0,1.0,0.7921510778730876,0.6871837599250791,1.0,Pharma,1.0,0.9,0.1,0.687674432872983,0.8011514
Cardboard,Paper,14.455201795339264,1.0,1.0,0.7921510778730876,0.6871837599250791,1.0,E-commerce,0.3,0.5,1.5,0.6875275028354403,0.8011514
Aluminum,Metal,190.84259593861924,0.0,1.0,12.3504807088323,2.38733412951753,0.5,Electronics,1.0,0.9,2.0,2.3989190468239268,12.275965
Aluminum,Metal,190.84259593861924,0.0,1.0,12.3504807088323,2.38733412951753,0.5,Food & Beverage,0.9,0.4,0.5,2.3963545141258407,12.275965
Aluminum,Metal,190.84259593861924,0.0,1.0,12.3504807088323,2.38733412951753,0.5,Cosmetics,0.7,0.8,0.3,2.394461986060972,12.275965
Aluminum,Metal,190.84259593861924,0.0,1.0,12.3504807088323,2.38733412951753,0.5,Pharma,1.0,0.9,0.1,2.3878925860098787,12.275965
Aluminum,Metal,190.84259593861924,0.0,1.0,12.3504807088323,2.38733412951753,0.5,E-commerce,0.3,0.5,1.5,2.3941228281732334,12.275965
Cardboard,Paper,15.50019031247832,1.0,1.0,0.8168130380893288,0.6656740470633786,1.0,Electronics,1.0,0.9,2.0,0.6662362716689381,0.81061214
Cardboard,Paper,15.50019031247832,1.0,1.0,0.8168130380893288,0.6656740470633786,1.0,Food & Beverage,0.9,0.4,0.5,0.6663149424434522,0.81061214
Cardboard,Paper,15.50019031247832,1.0,1.0,0.8168130380893288,0.6656740470633786,1.0,Cosmetics,0.7,0.8,0.3,0.665988730161434,0.81061214
Cardboard,Paper,15.50019031247832,1.0,1.0,0.8168130380893288,0.6656740470633786,1.0,Pharma,1.0,0.9,0.1,0.6660340358602287,0.81061214
Cardboard,Paper,15.50019031247832,1.0,1.0,0.8168130380893288,0.6656740470633786,1.0,E-commerce,0.3,0.5,1.5,0.6668829298265436,0.81061214
Glass,Glass,41.70866728317677,0.0,1.0,0.973438377700966,0.5210169165274978,0.5,Electronics,1.0,0.9,2.0,0.5197157977479993,1.0090929
Glass,Glass,41.70866728317677,0.0,1.0,0.973438377700966,0.5210169165274978,0.5,Food & Beverage,0.9,0.4,0.5,0.5205484979623288,1.0090929
Glass,Glass,41.70866728317677,0.0,1.0,0.973438377700966,0.5210169165274978,0.5,Cosmetics,0.7,0.8,0.3,0.5198227139402499,1.0090929
Glass,Glass,41.70866728317677,0.0,1.0,0.973438377700966,0.5210169165274978,0.5,Pharma,1.0,0.9,0.1,0.5203923584406056,1.0090929
Glass,Glass,41.70866728317677,0.0,1.0,0.973438377700966,0.5210169165274978,0.5,E-commerce,0.3,0.5,1.5,0.5195104348968035,1.0090929
Mushroom Packaging,Bio-composite,4.902003426143455,1.0,1.0,0.2060342172019971,4.074566763422747,1.0,Electronics,1.0,0.9,2.0,4.067382788290357,0.20205694
Mushroom Packaging,Bio-composite,4.902003426143455,1.0,1.0,0.2060342172019971,4.074566763422747,1.0,Food & Beverage,0.9,0.4,0.5,4.074115318544469,0.20174213
Mushroom Packaging,Bio-composite,4.902003426143455,1.0,1.0,0.2060342172019971,4.074566763422747,1.0,Cosmetics,0.7,0.8,0.3,4.072687631629435,0.20174213
Mushroom Packaging,Bio-composite,4.902003426143455,1.0,1.0,0.2060342172019971,4.074566763422747,1.0,Pharma,1.0,0.9,0.1,4.073150097609559,0.20174213
Mushroom Packaging,Bio-composite,4.902003426143455,1.0,1.0,0.2060342172019971,4.074566763422747,1.0,E-commerce,0.3,0.5,1.5,4.0752438005079,0.20174213
PLA (Bio-plastic),Biopolymer,50.631443881846025,0.95,0.2,0.4793373515351912,3.6451570047304727,0.575,Electronics,1.0,0.9,2.0,3.6204175566265167,0.4969623
PLA (Bio-plastic),Biopolymer,50.631443881846025,0.95,0.2,0.4793373515351912,3.6451570047304727,0.575,Food & Beverage,0.9,0.4,0.5,3.627317972294557,0.4969623
PLA (Bio-plastic),Biopolymer,50.631443881846025,0.95,0.2,0.4793373515351912,3.6451570047304727,0.575,Cosmetics,0.7,0.8,0.3,3.622756862300921,0.4969623
PLA (Bio-plastic),Biopolymer,50.631443881846025,0.95,0.2,0.4793373515351912,3.6451570047304727,0.575,Pharma,1.0,0.9,0.1,3.6022848986055287,0.4969623
PLA (Bio-plastic),Biopolymer,50.631443881846025,0.95,0.2,0.4793373515351912,3.6451570047304727,0.575,E-commerce,0.3,0.5,1.5,3.627720250065484,0.4969623
Aluminum,Metal,190.7018663180797,0.0,1.0,12.459442741796266,2.6014332960962703,0.5,Electronics,1.0,0.9,2.0,2.558463515868284,12.420207
Aluminum,Metal,190.7018663180797,0.0,1.0,12.459442741796266,2.6014332960962703,0.5,Food & Beverage,0.9,0.4,0.5,2.5562271820869835,12.2932625
