Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,Avoid
Bioplastic (PLA),60.9,1.1,88.1,2.12,41.4,8,Consider as Option
Mushroom Mycelium,14.3,4,100,0.25,100,5,Highly Recommended
Mushroom Mycelium,16.3,1.7,100,0.32,100,5,Highly Recommended
Aluminum Foil,34.4,0.7,0,11.43,90.1,10,Avoid
Virgin Plastic (PP),66.9,2.2,1,5.04,29.9,10,Avoid
Edible Seaweed Film,7.3,10,100,0.32,0.2,4,Consider as Option
Bagasse (Sugarcane),37,3.7,98.3,1.1,59.1,6,Highly Recommended
Edible Seaweed Film,12,6.6,100,0.26,4.5,3,Consider as Option
Bamboo Fiber,43.1,7,95.4,1.01,47.9,8,Highly Recommended
Mushroom Mycelium,11,4.4,100,0.31,100,5,Highly Recommended
Aluminum Foil,37.7,2.7,0,8.66,90.7,10,Avoid
Bagasse (Sugarcane),30.3,7.4,97.6,0.99,56.9,7,Highly Recommended
Bagasse (Sugarcane),21.7,9.8,99.8,1.13,69.4,7,Highly Recommended
Edible Seaweed Film,10.9,8.7,100,0.35,1.5,4,Consider as Option
Edible Seaweed Film,14.5,9.3,100,0.37,4.4,3,Consider as Option
Bioplastic (PLA),53.9,2.4,92.9,2.29,59.6,9,Highly Recommended
Bagasse (Sugarcane),27.6,3.3,98,1.26,56.8,6,Highly Recommended
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,Highly Recommended
Edible Seaweed Film,12.4,0.9,100,0.4,1.9,4,Consider as Option
Edible Seaweed Film,14.7,6.5,100,0.37,5.5,2,Consider as Option
Recycled Cardboard,21.4,2.6,91.1,1.01,81.3,4,Highly Recommended
Edible Seaweed Film,8.4,2,100,0.47,7.8,3,Consider as Option
Bioplastic (PLA),59.4,8.8,84.3,2.25,49.3,8,Consider as Option
Aluminum Foil,24.5,9.1,0,9.5,94.2,10,Avoid
Bagasse (Sugarcane),36.2,1.6,98.7,1.28,64.2,5,Highly Recommended
Bamboo Fiber,50.9,3.9,96.5,0.93,47.4,6,Highly Recommended
Bagasse (Sugarcane),38.9,4.7,98.9,1.33,57.6,6,Highly Recommended
Aluminum Foil,33.3,7.9,0,8.77,90,10,Avoid
Aluminum Foil,30.7,4.2,0,9.69,96.4,10,Avoid
Virgin Plastic (PP),79.6,7.9,2.6,3.99,12.3,10,Avoid
Recycled Cardboard,15.1,7,95.7,1.05,82.7,5,Highly Recommended
Bamboo Fiber,51.2,8.7,99.9,1.16,36.4,8,Highly Recommended
Bagasse (Sugarcane),25,9.6,99.5,1.15,56.2,7,Highly Recommended
Aluminum Foil,23.7,1.3,0,10.76,91.4,10,Avoid
Mushroom Mycelium,12.2,2.7,100,0.39,100,6,Highly Recommended
Mushroom Mycelium,17.4,1.1,100,0.2,100,6,Highly Recommended
Bamboo Fiber,52.7,5.9,98.6,0.93,43.1,8,Highly Recommended
Bamboo Fiber,55.7,9.6,99.1,0.89,46.5,7,Highly Recommended
Virgin Plastic (PP),72.5,3.2,1.9,5.21,18.2,10,Avoid
Bamboo Fiber,45.1,4.7,99.3,1.03,34,6,Highly Recommended
Recycled Cardboard,16.4,5.1,95.9,0.91,84.3,5,Highly Recommended
Edible Seaweed Film,6.2,7.5,100,0.24,3.1,4,Consider as Option
Mushroom Mycelium,16.7,5.8,100,0.23,100,6,Highly Recommended
Bamboo Fiber,58.6,1.5,98.5,0.93,36.5,6,Highly Recommended
Aluminum Foil,34,5,0,9.17,98.1,10,Avoid
Mushroom Mycelium,17.2,0.7,100,0.24,100,5,Highly Recommended
Edible Seaweed Film,14.3,7.9,100,0.41,2.2,3,Consider as Option
Virgin Plastic (PP),83.4,5,2.1,4.87,21.8,10,Avoid
Bagasse (Sugarcane),39,5,97.2,1.3,53.9,5,Highly Recommended
Recycled Cardboard,34.4,3.6,99.3,1.13,95.7,5,Highly Recommended
Virgin Plastic (PP),66.7,5.5,0.7,5.54,14.9,10,Avoid
Recycled Cardboard,25.1,4.1,97.4,1.06,92.2,4,Highly Recommended
Mushroom Mycelium,13.2,2.9,100,0.29,100,5,Highly Recommended
Bamboo Fiber,59.3,3.8,95.5,1.06,49.6,6,Highly Recommended
Bamboo Fiber,47.2,4.3,98.4,1.02,34.5,6,Highly Recommended
Aluminum Foil,43.6,3.2,0,8.94,90.4,10,Avoid
Aluminum Foil,21.1,2.9,0,10.69,99.5,10,Avoid
Mushroom Mycelium,18.4,5.1,100,0.17,100,6,Highly Recommended
Aluminum Foil,28,1.7,0,10.8,90.3,10,Avoid
Mushroom Mycelium,19.7,5,100,0.16,100,6,Highly Recommended
Bagasse (Sugarcane),30.8,5.8,95.5,0.92,65.2,5,Highly Recommended
Bioplastic (PLA),59.1,4.1,81.3,2.36,59.6,9,Highly Recommended
Bamboo Fiber,58.9,2.4,99,0.68,34.3,7,Highly Recommended
Edible Seaweed Film,7.3,4.1,100,0.38,8.7,2,Consider as Option
Bamboo Fiber,47.2,6.3,98.5,0.84,32.8,6,Highly Recommended
Edible Seaweed Film,7.7,7.5,100,0.3,3.6,2,Consider as Option
Aluminum Foil,43.1,1.3,0,11.69,92.3,10,Avoid
Aluminum Foil,26.1,3.7,0,11.74,94.3,10,Avoid
Edible Seaweed Film,9.3,1.3,100,0.3,6.3,4,Consider as Option
Bagasse (Sugarcane),38.6,8.7,99.5,1.18,68.6,6,Highly Recommended
Mushroom Mycelium,13.5,2.8,100,0.25,100,4,Highly Recommended
Aluminum Foil,42.1,3.1,0,8.92,98.6,10,Avoid
Aluminum Foil,22.3,7.7,0,10.86,97.8,10,Avoid
Edible Seaweed Film,5.2,4.5,100,0.36,4.8,2,Consider as Option
Recycled Cardboard,25.4,6.5,99.2,1,81.6,5,Highly Recommended
Bagasse (Sugarcane),26.8,0.9,95.4,1.26,51,6,Highly Recommended
Aluminum Foil,24.5,8.4,0,11.34,90.9,10,Avoid
Virgin Plastic (PP),78.8,3.4,1.5,4.7,20.6,10,Avoid
Bagasse (Sugarcane),33.7,1.3,98.8,1.05,60.7,5,Highly Recommended
Virgin Plastic (PP),66.5,7.8,0.1,3.7,25.9,10,Avoid
Edible Seaweed Film,5.6,5.5,100,0.31,9.6,2,Consider as Option
Virgin Plastic (PP),87,2.2,1.8,4.15,23,10,Avoid
Recycled Cardboard,18.4,9,92,1.4,86,3,Highly Recommended
Virgin Plastic (PP),75.6,5.5,3.8,3.64,28.8,10,Avoid
Bamboo Fiber,44.8,7.6,95.4,0.86,32.3,8,Highly Recommended
Mushroom Mycelium,19,6.3,100,0.36,100,6,Highly Recommended
Bioplastic (PLA),61.2,2.8,92.8,2.33,53.9,9,Highly Recommended
Aluminum Foil,40.1,0.7,0,10.34,96.8,10,Avoid
Aluminum Foil,29.9,9,0,8.78,99.1,10,Avoid
Aluminum Foil,39.9,8,0,11.38,93.5,10,Avoid
Virgin Plastic (PP),84,5.5,1.2,4.15,27.4,10,Avoid
Bioplastic (PLA),70.5,3.1,84.4,1.68,56.1,9,Highly Recommended
Virgin Plastic (PP),69,3.8,1.2,5.71,28.2,10,Avoid
Edible Seaweed Film,14.9,6.2,100,0.31,9.2,4,Consider as Option
Bagasse (Sugarcane),33.5,2.7,95.8,1.37,64.2,7,Highly Recommended
Bamboo Fiber,47,9.1,95.3,0.81,45,7,Highly Recommended
Recycled Cardboard,30.3,1.6,99,1.25,87,4,Highly Recommended
Bamboo Fiber,47.2,5.2,97.6,0.96,32.2,7,Highly Recommended
Bioplastic (PLA),68.1,9.1,86.2,1.97,44.2,8,Consider as Option
Bioplastic (PLA),57.9,2.2,82,2.24,49.5,8,Consider as Option
Virgin Plastic (PP),74.6,7.1,2,5.88,11.7,10,Avoid
Mushroom Mycelium,23.7,6.2,100,0.28,100,5,Highly Recommended
Edible Seaweed Film,6.9,8,100,0.4,4.1,4,Consider as Option
Bamboo Fiber,57.9,6.1,96.9,1.19,48.9,7,Highly Recommended
Edible Seaweed Film,7.2,8.4,100,0.37,4.5,2,Consider as Option
Bioplastic (PLA),58.5,9.9,82.6,2.09,45.2,8,Consider as Option
Mushroom Mycelium,17.6,8.9,100,0.37,100,6,Highly Recommended
Bioplastic (PLA),64.7,5,87,2.31,44.3,9,Highly Recommended
Mushroom Mycelium,13.8,1.8,100,0.23,100,6,Highly Recommended
Bioplastic (PLA),59.3,7.3,82.4,2.33,47,9,Consider as Option
Bamboo Fiber,46,8.9,95.8,0.52,30.1,8,Highly Recommended
Aluminum Foil,21.6,2.1,0,11.76,91.1,10,Avoid
Virgin Plastic (PP),85.7,6.5,2.1,4.39,10.9,10,Avoid
Bioplastic (PLA),50.3,7.4,82.5,2.23,49.4,9,Consider as Option
Bamboo Fiber,53.6,9.3,95.7,0.8,31.5,7,Highly Recommended
Bioplastic (PLA),64.7,8.1,82.3,1.66,40.7,8,Consider as Option
Mushroom Mycelium,18.3,3.1,100,0.33,100,5,Highly Recommended
Bioplastic (PLA),74.5,8,86.6,2.1,46.6,9,Highly Recommended
Aluminum Foil,23.6,1.5,0,10.68,90.5,10,Avoid
Edible Seaweed Film,13,4.9,100,0.47,9.9,4,Consider as Option
Bamboo Fiber,46,3.2,95.6,0.51,35.1,6,Highly Recommended
Bamboo Fiber,42.8,3.3,96.5,1.15,35.3,8,Highly Recommended
Bamboo Fiber,42.6,3.3,99.6,1.05,41.4,6,Highly Recommended
Bamboo Fiber,54.1,1.5,95.1,0.7,48,8,Highly Recommended
Bioplastic (PLA),63.9,5.6,90.2,2.09,42.4,8,Highly Recommended
Virgin Plastic (PP),63.1,5.4,3.2,5.47,17,10,Avoid
Mushroom Mycelium,23.3,7.5,100,0.32,100,6,Highly Recommended
Recycled Cardboard,24.2,4.2,93.7,1.17,96.9,5,Highly Recommended
Edible Seaweed Film,9.7,1.4,100,0.21,9.5,2,Consider as Option
Virgin Plastic (PP),61.9,7.3,3.2,5.39,24,10,Avoid
Recycled Cardboard,28.8,3.7,95.8,1.49,85,4,Highly Recommended
Bamboo Fiber,59.6,4.9,98.6,0.85,47.4,8,Highly Recommended
Bagasse (Sugarcane),23.8,1.5,98.4,1.07,59.4,6,Highly Recommended
Bioplastic (PLA),54.5,3.7,80.5,2.33,57.5,9,Highly Recommended
Virgin Plastic (PP),60.2,6.5,4.7,4.16,16,10,Avoid
Aluminum Foil,33.5,4.7,0,10.18,94.9,10,Avoid
Virgin Plastic (PP),67.3,6.2,0.9,5.13,22.8,10,Avoid
Bamboo Fiber,48,2.6,97.1,0.85,43.9,7,Highly Recommended
Edible Seaweed Film,14.4,5.6,100,0.52,2.1,2,Consider as Option
Bagasse (Sugarcane),23.4,8.2,98.1,1.35,68.8,5,Highly Recommended
Bagasse (Sugarcane),28.1,8.3,97.7,1.04,68.1,5,Highly Recommended
Bagasse (Sugarcane),34.9,9.5,95.1,0.93,64.7,6,Highly Recommended
Aluminum Foil,41.3,8,0,10.88,97.5,10,Avoid
Recycled Cardboard,25.3,4.4,93.8,1.31,87.8,4,Highly Recommended
Recycled Cardboard,16.6,3.7,93.1,1.02,97.4,4,Highly Recommended
Aluminum Foil,35,4.3,0,9.61,94.5,10,Avoid
Bagasse (Sugarcane),37.2,7.1,97.9,0.99,54.6,7,Highly Recommended
Recycled Cardboard,21.6,6.5,94,1.28,91.9,4,Highly Recommended
Aluminum Foil,37.3,8,0,8.12,93.6,10,Avoid
Bamboo Fiber,41.6,5.8,99.9,1.15,49.7,8,Highly Recommended
Bamboo Fiber,51.5,2.1,99.8,0.58,48.2,7,Highly Recommended
Virgin Plastic (PP),64.1,2,1.5,5.07,23.9,10,Avoid
Bamboo Fiber,44.8,5.5,99.1,0.98,47.1,6,Highly Recommended
Aluminum Foil,27,4.2,0,11.8,92.2,10,Avoid
Edible Seaweed Film,5.8,2.5,100,0.37,6.1,3,Consider as Option
Recycled Cardboard,33.6,7.8,91.2,1.31,99,4,Highly Recommended
Mushroom Mycelium,11.9,2.9,100,0.38,100,6,Highly Recommended
Bamboo Fiber,43,4.2,99.5,1.09,40.1,8,Highly Recommended
Edible Seaweed Film,9.2,6.9,100,0.45,1.2,3,Consider as Option
Recycled Cardboard,29.4,7.3,94.5,1.46,85.7,5,Highly Recommended
Bagasse (Sugarcane),23.8,5.8,99.5,1.05,54.2,7,Highly Recommended
Virgin Plastic (PP),86.6,8.2,4.8,4.3,12,10,Avoid
Bagasse (Sugarcane),29.3,7.4,95.8,1.16,69.5,7,Highly Recommended
Edible Seaweed Film,5.4,8.2,100,0.52,8.1,2,Consider as Option
Bamboo Fiber,47.8,3.3,96.1,0.65,36.5,7,Highly Recommended
Edible Seaweed Film,12.6,1.7,100,0.47,3.9,2,Consider as Option
Aluminum Foil,32.9,4.5,0,8.53,98.6,10,Avoid
Bagasse (Sugarcane),26.1,1.6,98.5,1.34,51.1,5,Highly Recommended
Edible Seaweed Film,9.3,4,100,0.32,9.2,3,Consider as Option
Bamboo Fiber,47.9,9.9,97.5,0.93,33.5,8,Highly Recommended
Bamboo Fiber,52.3,9.7,95.8,1.18,47.6,7,Highly Recommended
Bagasse (Sugarcane),31.2,5.4,98.9,1.29,57.8,6,Highly Recommended
Virgin Plastic (PP),81.6,1.7,1.9,5.1,27.7,10,Avoid
Bagasse (Sugarcane),38.3,4.4,97.5,1.14,63.5,5,Highly Recommended
Recycled Cardboard,29.3,5.6,97.7,1.26,95.7,3,Highly Recommended
Aluminum Foil,32.9,3.5,0,11.81,99.9,10,Avoid
Aluminum Foil,41.7,7.8,0,8.96,90.2,10,Avoid
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,Highly Recommended
Mushroom Mycelium,24,7,100,0.24,100,4,Highly Recommended
Bagasse (Sugarcane),21.4,3.2,95.6,0.91,65,7,Highly Recommended
Mushroom Mycelium,15.8,6.5,100,0.15,100,6,Highly Recommended
Mushroom Mycelium,13.9,3.2,100,0.12,100,4,Highly Recommended
Edible Seaweed Film,6.4,2.5,100,0.59,5.5,3,Consider as Option
Mushroom Mycelium,18,9.2,100,0.17,100,6,Highly Recommended
Bioplastic (PLA),55.8,8,85.6,2.46,48.5,8,Consider as Option
Mushroom Mycelium,16.9,2.3,100,0.31,100,4,Highly Recommended
Mushroom Mycelium,23.2,7.9,100,0.27,100,5,Highly Recommended
Virgin Plastic (PP),77.5,4.6,3.4,5.79,27.1,10,Avoid
Edible Seaweed Film,9.1,4.9,100,0.22,10,4,Consider as Option
Recycled Cardboard,15.3,6.2,96.7,1.02,99.7,5,Highly Recommended
Bagasse (Sugarcane),20.8,1.7,98.3,1.09,64,7,Highly Recommended
Edible Seaweed Film,13.4,4.7,100,0.32,0.1,4,Consider as Option
Recycled Cardboard,26,6.1,99.1,1.4,88,3,Highly Recommended
Bagasse (Sugarcane),25,7.9,97.8,1.12,63.2,6,Highly Recommended
Recycled Cardboard,29.8,7.8,96.1,0.97,99.9,3,Highly Recommended
Bagasse (Sugarcane),32.6,4.2,100,1.34,56.5,7,Highly Recommended
Bagasse (Sugarcane),24.2,1.4,96.4,1.04,58.7,7,Highly Recommended
Mushroom Mycelium,21.3,2.5,100,0.28,100,4,Highly Recommended
Bagasse (Sugarcane),23,9.7,98.5,1.24,66,6,Highly Recommended
Mushroom Mycelium,14.1,6.5,100,0.23,100,4,Highly Recommended
Edible Seaweed Film,11.2,6.7,100,0.25,2.9,2,Consider as Option
Bamboo Fiber,41.2,1.2,96.8,0.56,37.3,8,Highly Recommended
Edible Seaweed Film,8.8,1.9,100,0.46,5,3,Consider as Option
Virgin Plastic (PP),62.6,8.9,3.5,4.82,25.5,10,Avoid
Mushroom Mycelium,14,6.4,100,0.32,100,6,Highly Recommended
Virgin Plastic (PP),65.2,1.1,4.3,4.71,22.2,10,Avoid
Mushroom Mycelium,16.7,2.9,100,0.27,100,5,Highly Recommended
Bamboo Fiber,46.8,7.2,99.8,0.77,31.5,7,Highly Recommended
Aluminum Foil,23.6,0.9,0,11.97,93.4,10,Avoid
Bioplastic (PLA),56.5,5.3,86.6,1.51,44.7,8,Highly Recommended
Mushroom Mycelium,17.6,2.1,100,0.18,100,6,Highly Recommended
Edible Seaweed Film,11,8.5,100,0.43,5.3,4,Consider as Option
Mushroom Mycelium,16,5.5,100,0.15,100,6,Highly Recommended
Virgin Plastic (PP),75,6.9,0.2,3.83,24.8,10,Avoid
Bagasse (Sugarcane),30.1,2.6,99.4,0.93,53.3,5,Highly Recommended
Virgin Plastic (PP),70.4,9.2,0.8,5.48,20.5,10,Avoid
Edible Seaweed Film,11.2,9.4,100,0.57,0.8,3,Consider as Option
Bioplastic (PLA),62,2.9,90.5,2.09,55.7,9,Highly Recommended
Edible Seaweed Film,8.8,9.3,100,0.33,9.2,4,Consider as Option
Aluminum Foil,41.4,0.5,0,11.21,95.2,10,Avoid
Recycled Cardboard,18.4,5.2,98.1,1.47,88.7,5,Highly Recommended
Recycled Cardboard,15.4,6.6,90.6,1.23,86.5,4,Highly Recommended
Bioplastic (PLA),63.2,4.3,91.6,1.56,52.4,8,Highly Recommended
Bioplastic (PLA),74.5,2.1,91.7,2.3,54,8,Highly Recommended
Recycled Cardboard,22.6,1.5,95.2,1.36,84.2,5,Highly Recommended
Virgin Plastic (PP),63,8.1,1.3,3.54,23.4,10,Avoid
Bioplastic (PLA),50.2,1.5,91.3,1.83,53.5,8,Highly Recommended
Bagasse (Sugarcane),37.4,8.9,98.6,1.19,53.2,6,Highly Recommended
Recycled Cardboard,15,6.3,96.8,1.29,90.5,4,Highly Recommended
Virgin Plastic (PP),89.4,5.9,2.8,4.94,22.9,10,Avoid
Bamboo Fiber,41.5,5.2,95.5,1.11,35.8,8,Highly Recommended
Bagasse (Sugarcane),31.8,5.1,96.4,1,54.4,5,Highly Recommended
Recycled Cardboard,29.3,5.7,98.8,1.02,83.4,5,Highly Recommended
Mushroom Mycelium,22.2,9.6,100,0.29,100,4,Highly Recommended
Bamboo Fiber,57.6,5.3,96.3,0.73,33.4,8,Highly Recommended
Bioplastic (PLA),65.2,9,84.1,1.85,47.9,8,Consider as Option
Bamboo Fiber,58.1,7,97.7,1.01,46.7,7,Highly Recommended
Bioplastic (PLA),69.8,3.9,90.8,2.31,58.3,9,Highly Recommended
Bagasse (Sugarcane),32.4,4.3,95.6,0.99,59.8,6,Highly Recommended
Edible Seaweed Film,7,4,100,0.28,4.5,2,Consider as Option
Recycled Cardboard,26.7,7.7,92.5,1.35,97.9,4,Highly Recommended
Mushroom Mycelium,20.7,2.4,100,0.35,100,5,Highly Recommended
Recycled Cardboard,33,9.4,96.8,1.3,89,4,Highly Recommended
Bagasse (Sugarcane),22.6,6.1,95.7,1.17,50.9,7,Highly Recommended
Bagasse (Sugarcane),23.3,0.7,98.8,0.96,66.7,6,Highly Recommended
Virgin Plastic (PP),78.4,1.1,1.6,3.94,19.2,10,Avoid
Bioplastic (PLA),51.4,3.3,90.8,1.75,46.2,8,Highly Recommended
Bamboo Fiber,42.1,1.2,97.6,0.59,43.6,6,Highly Recommended
Edible Seaweed Film,12.7,3.9,100,0.21,0.4,4,Consider as Option
Mushroom Mycelium,19.1,3.9,100,0.36,100,4,Highly Recommended
Mushroom Mycelium,21.8,7.5,100,0.27,100,6,Highly Recommended
Virgin Plastic (PP),60,2.1,0.5,5.55,23.9,10,Avoid
Recycled Cardboard,15.2,2.5,90.5,1.21,96.9,3,Highly Recommended
Recycled Cardboard,33,8.5,91.9,1.38,98.1,4,Highly Recommended
Aluminum Foil,29.7,1.2,0,10.87,91.7,10,Avoid
Recycled Cardboard,28.6,6.9,92.7,1.21,83.2,3,Highly Recommended
Edible Seaweed Film,14.1,7.8,100,0.33,9.9,4,Consider as Option
Edible Seaweed Film,13.8,9.4,100,0.48,8.5,4,Consider as Option
Bagasse (Sugarcane),23.3,7.8,98,0.94,60.7,6,Highly Recommended
Mushroom Mycelium,17.7,1.5,100,0.13,100,6,Highly Recommended
Mushroom Mycelium,11,7.2,100,0.2,100,5,Highly Recommended
Bagasse (Sugarcane),25.4,5,99.7,1.28,53.5,7,Highly Recommended
Mushroom Mycelium,18.4,9.9,100,0.23,100,5,Highly Recommended
Aluminum Foil,30.8,4.9,0,9.28,98.6,10,Avoid
Virgin Plastic (PP),72.9,8.3,1.4,5.86,16.6,10,Avoid
Virgin Plastic (PP),60,5.1,3.5,3.58,24.4,10,Avoid
Aluminum Foil,24.3,1.6,0,8.9,99.7,10,Avoid
Virgin Plastic (PP),61.3,6,2.7,4.85,29.8,10,Avoid
Bagasse (Sugarcane),30,3.8,99.7,1.37,66.6,7,Highly Recommended
Bagasse (Sugarcane),27.7,2,96.8,1.34,52.1,7,Highly Recommended
Mushroom Mycelium,12.9,9.8,100,0.16,100,6,Highly Recommended
Edible Seaweed Film,11.2,6,100,0.45,8.8,3,Consider as Option
Mushroom Mycelium,15.7,2.3,100,0.13,100,6,Highly Recommended
Bamboo Fiber,51.4,8.1,95,0.64,45.5,6,Highly Recommended
Aluminum Foil,20.9,1.8,0,9.23,91.6,10,Avoid
Bioplastic (PLA),74.8,9.1,91.4,2.49,47.6,8,Consider as Option
Virgin Plastic (PP),61.7,9.9,1,3.7,24.4,10,Avoid
Virgin Plastic (PP),86.7,8.1,2.9,4.05,12.6,10,Avoid
Edible Seaweed Film,12.4,6.2,100,0.26,6.2,2,Consider as Option
Recycled Cardboard,28.2,2.9,92.7,1.46,81.7,4,Highly Recommended
Virgin Plastic (PP),86.9,4.7,0.9,4.81,16.4,10,Avoid
Bagasse (Sugarcane),26.3,6.5,98.5,1.21,53.7,5,Highly Recommended
Mushroom Mycelium,23.2,5.7,100,0.27,100,4,Highly Recommended
Bagasse (Sugarcane),23.2,3.3,96.6,0.96,59.7,6,Highly Recommended
Edible Seaweed Film,10.6,6.9,100,0.47,6.6,3,Consider as Option
Mushroom Mycelium,25,4.3,100,0.25,100,6,Highly Recommended
Bamboo Fiber,44.6,8.3,96.8,1.12,44.4,6,Highly Recommended
Edible Seaweed Film,8.2,3.7,100,0.32,1.5,3,Consider as Option
Aluminum Foil,27.6,2.2,0,8.29,97,10,Avoid
