product_id,product_name,category,material_type,weight_kg,volume_m3,shelf_life_days,packaging_required
P00131,Smartphone,Electronics,Bagasse,0.179,0.0016,538,True
P00132,Smartphone,Electronics,Mushroom Mycelium,0.221,0.0009,536,True
P00133,Smartphone,Electronics,Bioplastic (PLA),0.213,0.0012,375,True
P00134,Smartphone,Electronics,Bamboo Fiber,0.23,0.002,83,True
P00135,Smartphone,Electronics,Bamboo Fiber,0.214,0.0019,676,True
P00136,Smartphone,Electronics,Mushroom Mycelium,0.202,0.0017,419,True
P00137,Smartphone,Electronics,Recycled Cardboard,0.237,0.0018,525,True
P00138,Smartphone,Electronics,Bagasse,0.231,0.0015,439,True
P00139,Smartphone,Electronics,Recycled Cardboard,0.248,0.0014,533,True
P00140,Smartphone,Electronics,Bamboo Fiber,0.153,0.0011,539,True
P00141,Smartphone,Electronics,Mushroom Mycelium,0.237,0.0006,202,True
P00142,Smartphone,Electronics,Mushroom Mycelium,0.185,0.0006,215,True
P00143,Smartphone,Electronics,Bagasse,0.161,0.001,546,True
P00144,Smartphone,Electronics,Recycled Cardboard,0.22,0.0015,680,True
P00145,Smartphone,Electronics,Recycled Cardboard,0.17,0.0007,208,True
P00146,Smartphone,Electronics,Bagasse,0.167,0.0008,604,True
P00147,Smartphone,Electronics,Recycled Cardboard,0.226,0.0017,248,True
P00148,Smartphone,Electronics,Recycled Cardboard,0.247,0.0017,657,True
P00149,Smartphone,Electronics,Bagasse,0.213,0.0017,455,True
P00150,Smartphone,Electronics,Bagasse,0.172,0.0016,121,True
P00151,Smartphone,Electronics,Mushroom Mycelium,0.212,0.0006,572,True
P00152,Smartphone,Electronics,Recycled Cardboard,0.249,0.0011,629,True
P00153,Smartphone,Electronics,Bagasse,0.208,0.0011,696,True
P00154,Smartphone,Electronics,Bagasse,0.151,0.0013,693,True
P00155,Smartphone,Electronics,Bioplastic (PLA),0.173,0.0016,179,True
P00156,Smartphone,Electronics,Bamboo Fiber,0.222,0.0019,516,True
P00157,Smartphone,Electronics,Bamboo Fiber,0.173,0.0007,438,True
P00158,Smartphone,Electronics,Bamboo Fiber,0.196,0.0016,316,True
P00159,Smartphone,Electronics,Bagasse,0.219,0.0006,400,True
P00160,Smartphone,Electronics,Bamboo Fiber,0.201,0.0019,660,True
P00161,Smartphone,Electronics,Mushroom Mycelium,0.215,0.0019,374,True
P00162,Smartphone,Electronics,Bamboo Fiber,0.208,0.0015,653,True
P00163,Smartphone,Electronics,Bagasse,0.205,0.0007,365,True
P00164,Smartphone,Electronics,Bioplastic (PLA),0.217,0.002,152,True
P00165,Smartphone,Electronics,Bagasse,0.17,0.0017,483,True
P00166,Smartphone,Electronics,Bagasse,0.244,0.0007,387,True
P00167,Smartphone,Electronics,Bioplastic (PLA),0.152,0.0006,397,True
P00168,Smartphone,Electronics,Bamboo Fiber,0.182,0.0011,544,True
P00169,Smartphone,Electronics,Mushroom Mycelium,0.161,0.0006,239,True
P00170,Smartphone,Electronics,Mushroom Mycelium,0.179,0.0014,519,True
P00171,Smartphone,Electronics,Recycled Cardboard,0.238,0.0018,385,True
P00172,Smartphone,Electronics,Bagasse,0.202,0.0016,548,True
P00173,Smartphone,Electronics,Recycled Cardboard,0.231,0.0011,578,True
P00174,Smartphone,Electronics,Recycled Cardboard,0.215,0.0019,190,True
P00175,Smartphone,Electronics,Bioplastic (PLA),0.191,0.0018,88,True
P00176,Smartphone,Electronics,Recycled Cardboard,0.153,0.0012,361,True
P00177,Smartphone,Electronics,Bioplastic (PLA),0.15,0.0016,341,True
P00178,Smartphone,Electronics,Bioplastic (PLA),0.191,0.0018,134,True
P00179,Smartphone,Electronics,Recycled Cardboard,0.172,0.0016,672,True
P00180,Smartphone,Electronics,Bioplastic (PLA),0.195,0.0019,85,True
P00181,Smartphone,Electronics,Bioplastic (PLA),0.181,0.0005,370,True
P00182,Smartphone,Electronics,Mushroom Mycelium,0.182,0.0019,469,True
P00183,Smartphone,Electronics,Recycled Cardboard,0.228,0.0011,180,True
P00184,Smartphone,Electronics,Mushroom Mycelium,0.199,0.0016,315,True
P00185,Smartphone,Electronics,Mushroom Mycelium,0.233,0.0006,161,True
P00186,Smartphone,Electronics,Bamboo Fiber,0.224,0.0012,92,True
P00187,Smartphone,Electronics,Bioplastic (PLA),0.228,0.0008,98,True
P00188,Smartphone,Electronics,Bamboo Fiber,0.157,0.0017,524,True
P00189,Smartphone,Electronics,Bagasse,0.215,0.0007,537,True
P00190,Smartphone,Electronics,Bamboo Fiber,0.179,0.0005,729,True
P00191,Smartphone,Electronics,Bioplastic (PLA),0.222,0.0017,194,True
P00192,Smartphone,Electronics,Mushroom Mycelium,0.158,0.0016,462,True
P00193,Smartphone,Electronics,Bamboo Fiber,0.249,0.0011,79,True
P00194,Smartphone,Electronics,Bioplastic (PLA),0.164,0.0011,529,True
P00195,Smartphone,Electronics,Mushroom Mycelium,0.229,0.0019,287,True
P00196,Smartphone,Electronics,Bagasse,0.227,0.0018,168,True
P00197,Smartphone,Electronics,Bagasse,0.197,0.0009,698,True
P00198,Smartphone,Electronics,Recycled Cardboard,0.16,0.0017,447,True
P00199,Smartphone,Electronics,Mushroom Mycelium,0.167,0.0019,63,True
P00200,Smartphone,Electronics,Mushroom Mycelium,0.16,0.0008,615,True
P00201,Smartphone,Electronics,Recycled Cardboard,0.179,0.0009,148,True
P00202,Smartphone,Electronics,Recycled Cardboard,0.182,0.0018,614,True
P00203,Smartphone,Electronics,Bamboo Fiber,0.21,0.001,671,True
P00204,Smartphone,Electronics,Mushroom Mycelium,0.232,0.0006,639,True
P00205,Smartphone,Electronics,Bagasse,0.243,0.001,142,True
P00206,Smartphone,Electronics,Bamboo Fiber,0.24,0.0007,66,True
P00207,Smartphone,Electronics,Bamboo Fiber,0.156,0.0009,625,True
P00208,Smartphone,Electronics,Bioplastic (PLA),0.198,0.0014,306,True
P00209,Smartphone,Electronics,Bagasse,0.151,0.0016,556,True
P00210,Smartphone,Electronics,Mushroom Mycelium,0.164,0.0016,71,True
P00211,Smartphone,Electronics,Bioplastic (PLA),0.235,0.0009,390,True
P00212,Smartphone,Electronics,Mushroom Mycelium,0.243,0.0012,582,True
P00213,Smartphone,Electronics,Bioplastic (PLA),0.209,0.0019,196,True
P00214,Smartphone,Electronics,Bioplastic (PLA),0.175,0.0009,300,True
P00215,Smartphone,Electronics,Bagasse,0.213,0.0008,715,True
P00216,Smartphone,Electronics,Bioplastic (PLA),0.224,0.0016,386,True
P00217,Smartphone,Electronics,Bagasse,0.156,0.0012,620,True
P00218,Smartphone,Electronics,Bioplastic (PLA),0.163,0.0006,566,True
P00219,Smartphone,Electronics,Bamboo Fiber,0.241,0.0014,663,True
P00220,Smartphone,Electronics,Bioplastic (PLA),0.166,0.0008,562,True
P00221,Smartphone,Electronics,Bagasse,0.177,0.0015,228,True
P00222,Smartphone,Electronics,Bamboo Fiber,0.247,0.0005,559,True
P00223,Smartphone,Electronics,Mushroom Mycelium,0.201,0.0017,657,True
P00224,Smartphone,Electronics,Bagasse,0.226,0.0008,331,True
P00225,Smartphone,Electronics,Bagasse,0.245,0.0008,634,True
P00226,Smartphone,Electronics,Recycled Cardboard,0.2,0.0015,108,True
P00227,Smartphone,Electronics,Mushroom Mycelium,0.169,0.0011,335,True
P00228,Smartphone,Electronics,Bamboo Fiber,0.189,0.0018,338,True
P00229,Smartphone,Electronics,Recycled Cardboard,0.237,0.001,192,True
P00230,Smartphone,Electronics,Bagasse,0.19,0.0008,60,True
P00231,Smartphone,Electronics,Mushroom Mycelium,0.171,0.0019,145,True
P00232,Smartphone,Electronics,Bamboo Fiber,0.176,0.0008,660,True
P00233,Smartphone,Electronics,Recycled Cardboard,0.176,0.0008,423,True
P00234,Smartphone,Electronics,Bioplastic (PLA),0.161,0.0012,494,True
P00235,Smartphone,Electronics,Bamboo Fiber,0.198,0.0007,615,True
P00236,Smartphone,Electronics,Bagasse,0.191,0.0009,229,True
P00237,Smartphone,Electronics,Bagasse,0.153,0.0019,145,True
P00238,Smartphone,Electronics,Bagasse,0.2,0.0007,611,True
P00239,Smartphone,Electronics,Bioplastic (PLA),0.174,0.0019,614,True
P00240,Smartphone,Electronics,Bioplastic (PLA),0.243,0.0008,719,True
P00241,Smartphone,Electronics,Bioplastic (PLA),0.232,0.0015,679,True
P00242,Smartphone,Electronics,Recycled Cardboard,0.185,0.0013,433,True
P00243,Smartphone,Electronics,Bamboo Fiber,0.249,0.0016,182,True
P00244,Smartphone,Electronics,Bamboo Fiber,0.249,0.0012,343,True
P00245,Smartphone,Electronics,Bamboo Fiber,0.161,0.0007,437,True
P00246,Smartphone,Electronics,Bioplastic (PLA),0.162,0.0012,547,True
P00247,Smartphone,Electronics,Bagasse,0.199,0.0009,459,True
P00248,Smartphone,Electronics,Bamboo Fiber,0.205,0.0014,327,True
P00249,Smartphone,Electronics,Bagasse,0.246,0.0013,450,True
P00250,Smartphone,Electronics,Bagasse,0.222,0.0017,531,True
P00251,Smartphone,Electronics,Mushroom Mycelium,0.196,0.0014,408,True
P00252,Smartphone,Electronics,Mushroom Mycelium,0.185,0.0016,702,True
P00253,Smartphone,Electronics,Bioplastic (PLA),0.203,0.0015,304,True
P00254,Smartphone,Electronics,Mushroom Mycelium,0.237,0.001,143,True
P00255,Smartphone,Electronics,Bagasse,0.2,0.001,227,True
P00256,Smartphone,Electronics,Bagasse,0.161,0.0009,280,True
P00257,Smartphone,Electronics,Bagasse,0.198,0.002,55,True
P00258,Smartphone,Electronics,Bagasse,0.23,0.0016,523,True
P00259,Smartphone,Electronics,Bioplastic (PLA),0.172,0.0014,303,True
P00260,Smartphone,Electronics,Bamboo Fiber,0.199,0.0013,106,True
P00261,Smartphone,Electronics,Bioplastic (PLA),0.237,0.0018,295,True
P00262,Smartphone,Electronics,Bagasse,0.207,0.001,131,True
P00263,Smartphone,Electronics,Bamboo Fiber,0.151,0.0016,356,True
P00264,Smartphone,Electronics,Recycled Cardboard,0.19,0.0005,52,True
P00265,Smartphone,Electronics,Mushroom Mycelium,0.248,0.0015,301,True
P00266,Smartphone,Electronics,Bamboo Fiber,0.219,0.0009,499,True
P00267,Smartphone,Electronics,Recycled Cardboard,0.207,0.0013,432,True
P00268,Smartphone,Electronics,Bamboo Fiber,0.225,0.0011,278,True
P00269,Smartphone,Electronics,Bamboo Fiber,0.2,0.0009,718,True
P00270,Smartphone,Electronics,Bagasse,0.213,0.0007,241,True
P00271,Smartphone,Electronics,Recycled Cardboard,0.223,0.0009,205,True
P00272,Smartphone,Electronics,Bamboo Fiber,0.181,0.0012,70,True
P00273,Smartphone,Electronics,Recycled Cardboard,0.161,0.0006,404,True
P00274,Smartphone,Electronics,Recycled Cardboard,0.2,0.0019,424,True
P00275,Smartphone,Electronics,Recycled Cardboard,0.184,0.0009,355,True
P00276,Smartphone,Electronics,Mushroom Mycelium,0.219,0.0009,335,True
P00277,Smartphone,Electronics,Bagasse,0.219,0.0005,453,True
P00278,Smartphone,Electronics,Mushroom Mycelium,0.156,0.0012,678,True
P00279,Smartphone,Electronics,Recycled Cardboard,0.213,0.001,283,True
P00280,Smartphone,Electronics,Recycled Cardboard,0.224,0.0005,33,True
P00281,Smartphone,Electronics,Recycled Cardboard,0.237,0.0015,589,True
P00282,Smartphone,Electronics,Mushroom Mycelium,0.151,0.0019,536,True
P00283,Smartphone,Electronics,Bagasse,0.187,0.0015,690,True
P00284,Smartphone,Electronics,Bamboo Fiber,0.229,0.0005,385,True
P00285,Smartphone,Electronics,Recycled Cardboard,0.153,0.001,691,True
P00286,Smartphone,Electronics,Bamboo Fiber,0.162,0.0007,113,True
P00287,Smartphone,Electronics,Bagasse,0.178,0.0016,684,True
P00288,Smartphone,Electronics,Bamboo Fiber,0.152,0.0009,31,True
P00289,Smartphone,Electronics,Mushroom Mycelium,0.162,0.001,404,True
P00290,Smartphone,Electronics,Recycled Cardboard,0.219,0.002,320,True
P00291,Smartphone,Electronics,Recycled Cardboard,0.201,0.0007,207,True
P00292,Smartphone,Electronics,Bagasse,0.236,0.001,172,True
P00293,Smartphone,Electronics,Recycled Cardboard,0.231,0.0007,283,True
P00294,Smartphone,Electronics,Bioplastic (PLA),0.246,0.0018,616,True
P00295,Smartphone,Electronics,Bagasse,0.219,0.0015,429,True
P00296,Smartphone,Electronics,Bagasse,0.22,0.0012,236,True
P00297,Smartphone,Electronics,Bamboo Fiber,0.205,0.0008,59,True
P00298,Smartphone,Electronics,Recycled Cardboard,0.198,0.0012,655,True
P00299,Smartphone,Electronics,Bamboo Fiber,0.156,0.0011,706,True
P00300,Smartphone,Electronics,Bagasse,0.184,0.0008,714,True
P00301,Smartphone,Electronics,Bagasse,0.189,0.0014,200,True
P00302,Smartphone,Electronics,Mushroom Mycelium,0.234,0.0015,394,True
P00303,Smartphone,Electronics,Recycled Cardboard,0.182,0.0012,78,True
P00304,Smartphone,Electronics,Recycled Cardboard,0.224,0.0007,562,True
P00305,Smartphone,Electronics,Recycled Cardboard,0.167,0.0012,320,True
P00306,Smartphone,Electronics,Bioplastic (PLA),0.246,0.0011,242,True
P00307,Smartphone,Electronics,Bamboo Fiber,0.18,0.0007,233,True
P00308,Smartphone,Electronics,Bagasse,0.205,0.0019,538,True
P00309,Smartphone,Electronics,Bamboo Fiber,0.196,0.0011,309,True
P00310,Smartphone,Electronics,Mushroom Mycelium,0.198,0.0011,616,True
P00311,Smartphone,Electronics,Bagasse,0.22,0.0014,587,True
P00312,Smartphone,Electronics,Mushroom Mycelium,0.21,0.0013,625,True
P00313,Smartphone,Electronics,Bamboo Fiber,0.242,0.0014,570,True
P00314,Smartphone,Electronics,Mushroom Mycelium,0.183,0.0019,261,True
P00315,Smartphone,Electronics,Bamboo Fiber,0.175,0.0019,719,True
P00316,Smartphone,Electronics,Recycled Cardboard,0.17,0.0012,46,True
P00317,Smartphone,Electronics,Bioplastic (PLA),0.159,0.0011,74,True
P00318,Smartphone,Electronics,Recycled Cardboard,0.221,0.0007,123,True
P00319,Smartphone,Electronics,Bamboo Fiber,0.193,0.0012,495,True
P00320,Smartphone,Electronics,Bagasse,0.21,0.0012,510,True
P00321,Smartphone,Electronics,Bagasse,0.225,0.0014,395,True
P00322,Smartphone,Electronics,Mushroom Mycelium,0.16,0.0011,548,True
P00323,Smartphone,Electronics,Bagasse,0.157,0.0013,140,True
P00324,Smartphone,Electronics,Mushroom Mycelium,0.239,0.0017,391,True
P00325,Smartphone,Electronics,Recycled Cardboard,0.241,0.0018,492,True
P00326,Smartphone,Electronics,Bamboo Fiber,0.216,0.001,545,True
P00327,Smartphone,Electronics,Recycled Cardboard,0.154,0.0005,119,True
P00328,Smartphone,Electronics,Bagasse,0.247,0.0013,144,True
P00329,Smartphone,Electronics,Bamboo Fiber,0.211,0.001,535,True
P00330,Smartphone,Electronics,Bioplastic (PLA),0.173,0.002,492,True
P00331,Smartphone,Electronics,Bagasse,0.241,0.0008,502,True
P00332,Smartphone,Electronics,Bagasse,0.222,0.0011,245,True
P00333,Smartphone,Electronics,Bagasse,0.157,0.0018,75,True
P00334,Smartphone,Electronics,Mushroom Mycelium,0.227,0.0016,446,True
P00335,Smartphone,Electronics,Bamboo Fiber,0.157,0.0016,206,True
P00336,Smartphone,Electronics,Recycled Cardboard,0.23,0.0009,396,True
P00337,Smartphone,Electronics,Bagasse,0.233,0.0018,664,True
P00338,Smartphone,Electronics,Recycled Cardboard,0.23,0.0013,62,True
P00339,Smartphone,Electronics,Bagasse,0.227,0.0008,232,True
P00340,Smartphone,Electronics,Mushroom Mycelium,0.152,0.0015,557,True
P00341,Smartphone,Electronics,Recycled Cardboard,0.218,0.0009,81,True
P00342,Smartphone,Electronics,Bagasse,0.155,0.0016,396,True
P00343,Smartphone,Electronics,Recycled Cardboard,0.182,0.0019,577,True
P00344,Smartphone,Electronics,Bioplastic (PLA),0.185,0.0007,349,True
P00345,Smartphone,Electronics,Bamboo Fiber,0.18,0.0016,580,True
P00346,Smartphone,Electronics,Bioplastic (PLA),0.224,0.0019,467,True
P00347,Smartphone,Electronics,Bagasse,0.216,0.0019,529,True
P00348,Smartphone,Electronics,Bioplastic (PLA),0.151,0.0016,601,True
P00349,Smartphone,Electronics,Bamboo Fiber,0.169,0.002,426,True
P00350,Smartphone,Electronics,Recycled Cardboard,0.217,0.0015,383,True
P00351,Smartphone,Electronics,Bagasse,0.244,0.0013,490,True
P00352,Smartphone,Electronics,Bioplastic (PLA),0.177,0.0018,338,True
P00353,Smartphone,Electronics,Bagasse,0.24,0.0009,443,True
P00354,Smartphone,Electronics,Mushroom Mycelium,0.241,0.0009,590,True
P00355,Smartphone,Electronics,Mushroom Mycelium,0.204,0.0009,653,True
P00356,Smartphone,Electronics,Recycled Cardboard,0.213,0.0017,51,True
P00357,Smartphone,Electronics,Mushroom Mycelium,0.195,0.0006,219,True
P00358,Smartphone,Electronics,Bamboo Fiber,0.154,0.001,482,True
P00359,Smartphone,Electronics,Mushroom Mycelium,0.236,0.001,532,True
P00360,Smartphone,Electronics,Bagasse,0.225,0.0012,432,True
P00361,Smartphone,Electronics,Bamboo Fiber,0.188,0.0015,527,True
P00362,Smartphone,Electronics,Bagasse,0.233,0.0005,99,True
P00363,Smartphone,Electronics,Bamboo Fiber,0.203,0.001,156,True
P00364,Smartphone,Electronics,Bamboo Fiber,0.194,0.0017,527,True
P00365,Smartphone,Electronics,Bamboo Fiber,0.191,0.0005,80,True
P00366,Smartphone,Electronics,Mushroom Mycelium,0.223,0.0012,222,True
P00367,Smartphone,Electronics,Recycled Cardboard,0.234,0.0011,418,True
P00368,Smartphone,Electronics,Bioplastic (PLA),0.163,0.0012,121,True
P00369,Smartphone,Electronics,Recycled Cardboard,0.244,0.0015,36,True
P00370,Smartphone,Electronics,Mushroom Mycelium,0.192,0.0011,380,True
P00371,Smartphone,Electronics,Bagasse,0.23,0.0019,680,True
P00372,Smartphone,Electronics,Recycled Cardboard,0.193,0.0011,276,True
P00373,Smartphone,Electronics,Bamboo Fiber,0.164,0.0016,610,True
