material_id,material_type,tensile_strength_mpa,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,moisture_barrier_grade,cost_per_unit,heat_resistance_c,flexibility_score
M00073,Mushroom Mycelium,28.74,6.96,95.59,0.45,96.52,4,10.27,82,5
M00074,Mushroom Mycelium,15.23,7.77,98.54,0.32,97.98,4,9.77,99,6
M00075,Mushroom Mycelium,16.06,6.77,98.36,0.38,100.0,3,8.71,80,6
M00076,Mushroom Mycelium,14.98,8.46,97.2,0.27,98.65,2,8.8,88,5
M00077,Mushroom Mycelium,16.58,7.24,98.71,0.25,96.86,4,9.31,87,4
M00078,Mushroom Mycelium,22.87,8.23,95.5,0.34,97.67,2,10.89,114,6
M00079,Mushroom Mycelium,19.52,7.75,98.69,0.34,99.9,4,8.75,70,5
M00080,Mushroom Mycelium,17.9,8.53,97.42,0.31,96.82,4,9.74,93,6
M00081,Mushroom Mycelium,18.6,9.69,97.81,0.35,97.68,4,9.06,78,6
M00082,Mushroom Mycelium,19.24,7.44,98.66,0.47,97.88,2,9.52,94,4
M00083,Mushroom Mycelium,17.19,6.52,99.33,0.33,97.54,4,9.67,93,6
M00084,Mushroom Mycelium,19.18,8.16,96.83,0.33,97.12,4,10.32,102,7
M00085,Mushroom Mycelium,21.58,9.6,97.23,0.37,98.38,3,9.36,82,4
M00086,Mushroom Mycelium,18.3,6.77,96.5,0.3,96.6,4,9.23,82,5
M00087,Mushroom Mycelium,25.12,8.0,98.58,0.36,96.21,3,10.66,101,8
M00088,Mushroom Mycelium,16.7,8.28,100.0,0.36,95.63,5,9.07,78,6
M00089,Mushroom Mycelium,17.9,8.16,98.3,0.32,97.43,3,8.59,74,5
M00090,Mushroom Mycelium,24.12,8.69,100.0,0.46,96.88,5,10.31,88,6
M00091,Mushroom Mycelium,24.62,8.9,95.92,0.41,97.88,2,9.51,83,4
M00092,Mushroom Mycelium,14.55,9.51,100.0,0.31,98.34,3,8.65,82,4
M00093,Mushroom Mycelium,12.38,8.45,98.61,0.24,96.88,2,9.14,100,6
M00094,Mushroom Mycelium,17.07,5.27,98.73,0.35,99.86,4,9.16,83,7
M00095,Mushroom Mycelium,17.18,5.0,98.27,0.3,100.0,3,8.82,80,5
M00096,Mushroom Mycelium,13.31,6.17,100.0,0.32,99.85,4,9.53,98,5
M00097,Mushroom Mycelium,10.0,7.3,95.5,0.21,96.61,3,8.75,93,5
M00098,Mushroom Mycelium,23.32,7.92,100.0,0.32,96.19,4,10.53,98,6
M00099,Mushroom Mycelium,27.4,8.48,95.53,0.32,98.93,2,10.34,94,6
M00100,Mushroom Mycelium,16.37,8.16,95.69,0.28,100.0,3,10.44,114,6
M00101,Mushroom Mycelium,19.2,8.2,98.64,0.26,99.05,4,9.12,78,5
M00102,Mushroom Mycelium,24.03,7.24,98.92,0.31,96.8,4,11.0,106,7
M00103,Mushroom Mycelium,24.21,8.49,96.66,0.41,96.38,2,10.02,94,7
M00104,Mushroom Mycelium,24.61,8.81,96.76,0.5,96.43,4,9.96,84,4
M00105,Mushroom Mycelium,19.09,6.98,97.94,0.33,100.0,3,8.91,78,5
M00106,Mushroom Mycelium,24.82,6.75,100.0,0.44,97.66,2,9.73,87,6
M00107,Mushroom Mycelium,14.21,8.2,96.9,0.26,95.65,4,9.77,101,8
M00108,Mushroom Mycelium,25.81,6.64,97.97,0.4,98.64,3,9.93,85,5
M00109,Mushroom Mycelium,23.03,9.95,99.89,0.38,96.84,4,9.9,86,6
M00110,Mushroom Mycelium,24.15,9.92,99.38,0.42,97.84,3,10.62,102,7
M00111,Mushroom Mycelium,20.81,7.36,95.0,0.42,97.02,3,9.18,80,6
M00112,Mushroom Mycelium,26.27,9.17,100.0,0.36,97.85,5,10.08,79,4
M00113,Mushroom Mycelium,18.9,7.67,98.1,0.35,98.88,4,9.79,92,6
M00114,Mushroom Mycelium,25.02,6.06,97.68,0.36,96.21,3,9.25,73,4
M00115,Mushroom Mycelium,19.23,8.61,100.0,0.31,97.65,3,9.17,83,4
M00116,Mushroom Mycelium,21.18,8.63,100.0,0.38,96.51,4,9.02,72,6
M00117,Mushroom Mycelium,17.82,9.19,98.59,0.33,97.49,5,10.33,101,7
M00118,Mushroom Mycelium,20.58,8.15,95.0,0.35,99.04,3,9.61,89,6
M00119,Mushroom Mycelium,10.0,6.9,98.54,0.26,100.0,3,7.95,77,6
M00120,Mushroom Mycelium,16.36,7.31,98.44,0.36,99.64,4,9.79,97,5
M00121,Mushroom Mycelium,20.19,6.26,96.75,0.31,97.31,3,10.07,99,8
M00122,Mushroom Mycelium,16.33,5.0,97.07,0.34,96.66,2,8.63,82,6
M00123,Mushroom Mycelium,22.79,9.06,95.58,0.41,98.65,2,9.58,88,6
M00124,Mushroom Mycelium,25.76,8.52,100.0,0.5,97.87,4,10.18,86,6
M00125,Mushroom Mycelium,20.89,7.04,96.85,0.3,96.33,4,11.09,114,5
M00126,Mushroom Mycelium,17.95,7.05,95.77,0.39,98.43,5,9.7,88,6
M00127,Mushroom Mycelium,22.77,9.77,99.72,0.46,99.98,4,9.93,87,6
M00128,Mushroom Mycelium,17.1,6.03,97.85,0.25,98.15,2,9.21,92,6
M00129,Mushroom Mycelium,21.99,8.53,97.62,0.32,99.56,4,9.7,84,5
M00130,Mushroom Mycelium,21.62,7.24,97.88,0.37,99.0,5,10.51,97,5
M00131,Mushroom Mycelium,18.31,7.96,100.0,0.31,95.75,4,9.83,94,6
M00132,Mushroom Mycelium,23.9,5.87,96.44,0.42,96.51,4,10.49,96,4
M00133,Mushroom Mycelium,20.01,7.73,97.7,0.32,98.08,2,9.6,94,6
M00134,Mushroom Mycelium,22.74,7.6,96.53,0.33,95.0,4,9.97,88,4
M00135,Mushroom Mycelium,17.97,8.29,99.35,0.32,96.9,4,9.85,95,6
M00136,Mushroom Mycelium,21.4,7.87,97.68,0.34,95.75,4,9.54,82,7
M00137,Mushroom Mycelium,17.86,7.36,98.36,0.2,95.76,5,9.69,88,4
M00138,Mushroom Mycelium,14.77,6.36,97.63,0.35,98.24,4,9.48,94,4
M00139,Mushroom Mycelium,20.03,5.0,97.91,0.3,97.11,3,10.2,102,6
M00140,Mushroom Mycelium,27.87,7.65,98.53,0.44,97.39,3,10.44,91,6
M00141,Mushroom Mycelium,10.0,7.21,96.22,0.24,97.48,4,8.55,85,5
M00142,Mushroom Mycelium,15.8,8.78,96.32,0.32,97.23,4,9.93,101,6
M00143,Mushroom Mycelium,17.07,7.2,98.88,0.41,97.12,4,9.46,89,6
M00144,Mushroom Mycelium,21.93,7.85,98.89,0.29,95.57,5,9.94,85,6
M00145,Mushroom Mycelium,21.67,7.88,97.39,0.31,100.0,6,9.37,70,6
M00146,Mushroom Mycelium,24.36,5.19,98.91,0.31,99.03,4,10.74,100,6
M00147,Mushroom Mycelium,20.58,7.43,98.94,0.43,96.27,3,9.81,93,6
M00148,Mushroom Mycelium,20.02,8.4,99.21,0.37,97.4,5,9.6,82,4
M00149,Mushroom Mycelium,20.49,5.59,97.08,0.37,97.19,2,10.05,102,4
M00150,Mushroom Mycelium,22.35,8.69,100.0,0.4,97.54,2,9.34,84,7
M00151,Mushroom Mycelium,19.41,7.86,97.02,0.33,98.64,3,10.44,108,4
M00152,Mushroom Mycelium,24.52,7.15,97.64,0.43,99.06,3,10.95,108,6
M00153,Mushroom Mycelium,27.09,6.23,97.37,0.42,97.16,3,10.51,94,5
M00154,Mushroom Mycelium,17.64,6.25,96.04,0.32,98.14,4,8.91,77,4
M00155,Mushroom Mycelium,19.86,7.99,95.93,0.3,95.58,5,9.79,86,4
M00156,Mushroom Mycelium,20.69,6.47,99.3,0.42,98.02,3,9.82,93,5
M00157,Mushroom Mycelium,19.84,5.63,98.13,0.33,100.0,4,10.18,98,6
M00158,Mushroom Mycelium,24.1,7.17,98.67,0.39,99.15,5,10.41,90,5
M00159,Mushroom Mycelium,20.62,7.52,98.55,0.33,99.22,6,9.86,82,6
M00160,Mushroom Mycelium,20.5,5.66,98.87,0.27,96.42,4,8.85,70,4
M00161,Mushroom Mycelium,20.78,7.82,98.94,0.33,99.32,3,9.48,86,6
M00162,Mushroom Mycelium,13.9,7.84,97.93,0.24,98.15,5,9.89,100,6
M00163,Mushroom Mycelium,21.13,7.87,100.0,0.34,98.83,3,10.16,99,5
M00164,Mushroom Mycelium,19.32,9.33,98.78,0.35,98.03,4,9.68,89,5
M00165,Mushroom Mycelium,18.67,6.41,95.95,0.32,97.13,4,8.92,75,5
M00166,Mushroom Mycelium,17.22,9.09,98.89,0.3,96.59,3,9.02,84,6
M00167,Mushroom Mycelium,18.89,7.14,97.08,0.34,100.0,4,9.79,92,6
M00168,Mushroom Mycelium,17.88,8.11,97.67,0.32,100.0,3,9.04,83,6
M00169,Mushroom Mycelium,21.19,8.71,95.36,0.43,98.86,2,8.77,75,5
M00170,Mushroom Mycelium,21.52,6.51,95.55,0.36,98.15,2,9.4,87,6
M00171,Mushroom Mycelium,21.48,7.14,95.35,0.37,98.74,2,10.15,102,5
M00172,Mushroom Mycelium,17.14,8.32,98.5,0.28,97.72,6,10.46,101,5
M00173,Mushroom Mycelium,26.14,6.26,98.19,0.37,97.22,3,10.76,101,5
M00174,Mushroom Mycelium,18.14,8.27,96.48,0.22,98.0,4,9.11,80,6
M00175,Mushroom Mycelium,15.64,6.89,98.85,0.4,99.82,3,10.21,111,5
M00176,Mushroom Mycelium,13.74,7.29,96.33,0.26,99.16,4,8.77,82,4
M00177,Mushroom Mycelium,17.78,10.0,95.64,0.34,99.46,5,9.53,85,7
M00178,Mushroom Mycelium,18.99,6.77,97.22,0.36,99.88,2,8.9,82,6
M00179,Mushroom Mycelium,24.53,5.58,96.3,0.41,96.33,4,9.7,79,6
M00180,Mushroom Mycelium,20.4,8.64,98.8,0.39,97.94,2,10.04,102,5
M00181,Mushroom Mycelium,19.95,5.0,99.86,0.36,95.28,3,10.2,102,6
M00182,Mushroom Mycelium,19.85,7.51,95.57,0.31,98.12,3,10.08,100,5
M00183,Mushroom Mycelium,22.47,6.56,99.13,0.37,99.6,3,10.35,100,5
M00184,Mushroom Mycelium,20.95,6.36,96.43,0.36,98.86,4,10.15,95,4
M00185,Mushroom Mycelium,16.18,8.15,100.0,0.28,95.96,3,8.92,84,6
M00186,Mushroom Mycelium,23.65,7.54,97.25,0.38,98.77,3,9.37,78,5
M00187,Mushroom Mycelium,13.22,6.56,97.4,0.3,98.42,4,8.57,79,6
M00188,Mushroom Mycelium,24.7,8.35,97.74,0.42,99.28,3,9.77,84,4
M00189,Mushroom Mycelium,23.56,7.82,95.0,0.35,96.64,4,9.81,83,6
M00190,Mushroom Mycelium,22.33,7.95,98.73,0.4,99.66,2,9.43,86,6
M00191,Mushroom Mycelium,24.61,8.84,95.38,0.39,99.68,3,11.11,111,5
M00192,Mushroom Mycelium,19.25,7.94,98.85,0.4,100.0,3,9.47,89,6
M00193,Mushroom Mycelium,21.07,7.05,99.25,0.38,97.16,3,9.26,81,5
M00194,Mushroom Mycelium,21.15,7.17,100.0,0.41,96.88,4,10.27,97,5
M00195,Mushroom Mycelium,21.18,7.23,97.46,0.26,99.34,3,9.22,80,5
M00196,Mushroom Mycelium,13.12,9.58,99.46,0.35,96.19,3,9.41,100,4
M00197,Mushroom Mycelium,22.93,9.8,98.84,0.44,98.24,2,9.84,93,6
M00198,Mushroom Mycelium,26.87,7.8,100.0,0.46,96.28,4,10.89,98,7
M00199,Mushroom Mycelium,18.98,7.08,96.24,0.34,99.28,3,9.55,91,5
M00200,Mushroom Mycelium,26.78,10.0,97.29,0.41,97.09,4,9.98,80,5
M00201,Mushroom Mycelium,21.81,6.86,99.27,0.38,100.0,4,10.33,97,4
M00202,Mushroom Mycelium,30.0,6.01,98.42,0.36,97.28,4,10.85,91,7
M00203,Mushroom Mycelium,25.68,6.18,97.54,0.29,98.77,4,11.42,111,5
M00204,Mushroom Mycelium,17.4,6.18,98.61,0.28,99.71,4,9.24,84,5
M00205,Mushroom Mycelium,22.31,7.09,99.3,0.36,98.24,6,9.93,80,6
M00206,Mushroom Mycelium,17.36,8.31,98.63,0.31,97.29,2,8.49,77,6
M00207,Mushroom Mycelium,22.66,8.24,100.0,0.42,97.74,4,9.92,87,7
M00208,Mushroom Mycelium,21.93,6.51,97.06,0.33,99.32,4,10.64,103,6
M00209,Mushroom Mycelium,20.06,6.97,96.55,0.36,98.39,5,9.56,81,7
M00210,Mushroom Mycelium,25.3,7.8,95.49,0.28,97.72,4,10.68,97,6
M00211,Mushroom Mycelium,16.31,8.82,97.67,0.35,95.0,2,9.58,101,5
M00212,Mushroom Mycelium,16.31,8.79,100.0,0.33,99.16,2,9.03,90,5
M00213,Mushroom Mycelium,17.35,9.72,100.0,0.31,98.64,2,8.94,86,6
M00214,Mushroom Mycelium,22.49,9.2,97.24,0.39,99.29,2,9.25,82,5
M00215,Mushroom Mycelium,20.4,7.48,96.91,0.37,98.74,3,9.59,89,4
M00216,Mushroom Mycelium,22.29,6.17,96.88,0.4,96.53,4,9.03,70,5
M00217,Mushroom Mycelium,16.72,7.94,99.7,0.28,97.23,5,9.52,87,5
M00218,Mushroom Mycelium,16.33,8.0,95.4,0.26,99.71,5,8.63,70,6
M00219,Mushroom Mycelium,17.65,8.44,96.59,0.41,100.0,2,9.56,98,5
M00220,Mushroom Mycelium,17.53,6.22,98.04,0.33,97.07,2,9.5,97,6
M00221,Mushroom Mycelium,22.41,8.67,99.27,0.36,99.94,2,10.29,103,6
M00222,Mushroom Mycelium,21.65,8.08,98.96,0.36,99.23,4,10.42,99,5
M00223,Mushroom Mycelium,14.81,8.37,97.37,0.28,98.3,3,8.63,81,6
M00224,Mushroom Mycelium,24.52,6.41,99.36,0.41,97.43,3,9.9,87,5
M00225,Mushroom Mycelium,22.57,7.71,96.79,0.4,96.89,3,9.66,86,5
M00226,Mushroom Mycelium,19.08,9.93,96.89,0.33,98.84,4,10.41,104,4
M00227,Mushroom Mycelium,17.5,6.55,95.2,0.42,99.37,2,9.75,102,7
M00228,Mushroom Mycelium,20.26,7.1,97.47,0.34,98.8,4,9.33,80,7
M00229,Mushroom Mycelium,20.35,5.9,99.69,0.31,97.12,4,9.99,93,5
M00230,Mushroom Mycelium,23.14,6.8,99.9,0.43,97.2,2,9.81,92,6
M00231,Mushroom Mycelium,16.08,9.18,97.25,0.41,97.34,2,8.76,85,5
M00232,Mushroom Mycelium,21.48,6.57,98.34,0.28,100.0,3,9.8,91,6
M00233,Mushroom Mycelium,26.69,8.82,96.52,0.49,99.04,4,11.02,101,5
M00234,Mushroom Mycelium,17.89,7.25,100.0,0.34,99.75,5,8.99,74,5
M00235,Mushroom Mycelium,22.11,7.24,99.35,0.38,95.94,2,9.51,88,5
M00236,Mushroom Mycelium,19.33,8.52,100.0,0.36,98.22,5,9.98,91,5
M00237,Mushroom Mycelium,16.1,7.52,98.37,0.21,99.06,2,8.61,82,6
M00238,Mushroom Mycelium,21.41,8.74,100.0,0.38,99.98,4,9.74,86,5
M00239,Mushroom Mycelium,25.29,5.63,99.16,0.46,95.0,2,8.93,70,5
M00240,Mushroom Mycelium,26.54,9.21,98.12,0.42,97.41,4,9.6,73,4
M00241,Mushroom Mycelium,20.17,6.43,98.81,0.37,97.83,3,9.97,97,5
M00242,Mushroom Mycelium,23.44,6.39,96.59,0.29,97.76,4,10.64,100,7
M00243,Mushroom Mycelium,29.71,8.99,97.18,0.45,96.93,3,10.97,98,4
M00244,Mushroom Mycelium,21.56,8.51,97.15,0.38,99.72,4,10.11,93,6
M00245,Mushroom Mycelium,25.79,7.12,100.0,0.35,99.65,4,11.03,103,6
M00246,Mushroom Mycelium,19.73,7.52,100.0,0.29,98.86,4,10.22,99,7
M00247,Mushroom Mycelium,20.67,6.17,97.27,0.38,99.4,4,10.42,101,6
M00248,Mushroom Mycelium,23.55,7.62,99.71,0.4,96.5,4,9.76,82,4
M00249,Mushroom Mycelium,12.15,6.11,96.66,0.29,97.12,4,9.32,96,7
M00250,Mushroom Mycelium,23.67,8.35,99.12,0.32,97.66,3,9.72,85,6
M00251,Mushroom Mycelium,20.35,9.21,98.15,0.38,96.41,3,9.69,91,6
M00252,Mushroom Mycelium,26.61,7.82,99.07,0.41,98.23,4,10.76,96,5
M00253,Mushroom Mycelium,20.37,5.83,98.22,0.32,98.06,5,10.54,100,5
M00254,Mushroom Mycelium,21.5,7.8,95.28,0.4,98.4,5,9.9,85,5
M00255,Mushroom Mycelium,26.03,8.0,97.28,0.46,99.75,3,11.2,110,5
M00256,Mushroom Mycelium,24.95,6.12,98.58,0.48,97.6,2,9.75,87,5
M00257,Mushroom Mycelium,22.34,5.82,97.79,0.37,96.84,2,10.03,98,7
M00258,Mushroom Mycelium,22.11,6.88,96.98,0.36,97.87,2,10.56,109,6
M00259,Mushroom Mycelium,18.81,8.74,97.13,0.38,96.77,5,9.83,89,4
M00260,Mushroom Mycelium,25.19,6.21,95.0,0.44,95.0,5,10.52,90,6
M00261,Mushroom Mycelium,17.78,7.97,100.0,0.31,99.37,3,9.93,101,6
M00262,Mushroom Mycelium,25.34,7.81,96.76,0.44,97.54,3,10.53,98,5
M00263,Mushroom Mycelium,19.4,5.68,99.18,0.35,96.17,2,8.64,76,5
M00264,Mushroom Mycelium,21.88,7.68,97.89,0.32,98.74,3,9.64,87,5
M00265,Mushroom Mycelium,15.87,8.08,96.74,0.28,97.53,4,9.79,98,7
M00266,Mushroom Mycelium,23.65,8.1,99.24,0.37,100.0,6,11.37,106,5
M00267,Mushroom Mycelium,26.87,7.86,97.63,0.42,96.45,5,10.39,84,5
M00268,Mushroom Mycelium,13.17,8.82,98.46,0.3,97.64,2,8.17,79,6
M00269,Mushroom Mycelium,22.39,8.37,99.87,0.23,97.88,6,9.44,70,6
M00270,Mushroom Mycelium,20.47,5.71,95.74,0.33,97.72,2,9.9,99,5
M00271,Mushroom Mycelium,28.46,5.0,97.86,0.47,95.0,3,11.2,105,6
M00272,Mushroom Mycelium,14.94,6.8,99.5,0.35,97.21,5,9.64,93,8
M00273,Mushroom Mycelium,19.07,7.61,100.0,0.23,100.0,2,9.21,88,6
M00274,Mushroom Mycelium,13.35,6.98,99.03,0.28,100.0,5,9.38,91,6
M00275,Mushroom Mycelium,28.29,7.63,97.6,0.44,95.15,3,10.93,100,7
M00276,Mushroom Mycelium,22.26,8.1,98.45,0.45,96.13,3,9.48,83,7
M00277,Mushroom Mycelium,21.08,7.2,99.43,0.38,98.77,3,9.66,89,5
M00278,Mushroom Mycelium,19.02,8.31,99.38,0.22,98.97,2,9.45,93,6
M00279,Mushroom Mycelium,19.7,7.92,97.54,0.39,96.48,4,9.92,93,4
M00280,Mushroom Mycelium,29.21,7.62,99.63,0.36,97.07,3,10.67,93,5
M00281,Mushroom Mycelium,26.4,8.92,99.01,0.4,97.88,5,10.29,83,5
M00282,Mushroom Mycelium,22.56,7.1,96.44,0.35,98.72,2,10.01,97,6
M00283,Mushroom Mycelium,19.16,6.34,98.42,0.39,99.35,2,9.42,92,5
M00284,Mushroom Mycelium,17.41,7.61,96.6,0.4,98.34,3,9.19,87,5
M00285,Mushroom Mycelium,10.0,7.78,99.43,0.35,100.0,3,8.5,88,6
M00286,Mushroom Mycelium,15.72,7.92,97.79,0.33,96.76,4,9.82,99,6
M00287,Mushroom Mycelium,23.31,8.08,98.98,0.34,97.23,4,10.18,91,5
M00288,Mushroom Mycelium,10.7,6.75,98.99,0.27,98.19,4,8.32,79,6
M00289,Mushroom Mycelium,23.12,5.32,98.32,0.38,99.0,3,9.86,89,4
M00290,Mushroom Mycelium,18.26,7.13,99.64,0.27,98.67,2,9.03,86,4
M00291,Mushroom Mycelium,19.89,7.6,96.4,0.28,96.9,4,10.44,103,5
M00292,Mushroom Mycelium,17.42,7.02,97.45,0.39,96.95,5,9.59,87,6
M00293,Mushroom Mycelium,13.73,6.87,99.74,0.25,96.82,3,8.77,86,5
M00294,Mushroom Mycelium,19.52,9.04,99.72,0.29,99.1,2,9.3,89,6
M00295,Mushroom Mycelium,19.16,6.59,97.93,0.36,97.52,4,10.42,104,4
M00296,Mushroom Mycelium,22.32,7.8,97.6,0.41,98.54,3,9.98,93,7
M00297,Mushroom Mycelium,19.99,7.62,97.41,0.34,96.16,3,9.3,84,7
M00298,Mushroom Mycelium,16.73,8.87,96.23,0.32,99.64,2,9.67,102,5
M00299,Mushroom Mycelium,16.07,7.21,98.96,0.35,98.27,5,9.61,90,5
M00300,Mushroom Mycelium,20.4,8.57,98.76,0.37,98.2,3,9.49,87,7
M00301,Mushroom Mycelium,18.07,5.3,95.99,0.25,100.0,5,9.91,92,4
M00302,Mushroom Mycelium,17.99,9.21,96.37,0.32,98.5,4,9.15,81,6
M00303,Mushroom Mycelium,14.47,8.98,97.88,0.28,99.63,4,9.35,92,6
M00304,Mushroom Mycelium,13.33,8.64,96.39,0.3,98.31,4,8.88,85,6
M00305,Mushroom Mycelium,19.03,6.93,97.06,0.28,96.84,6,9.75,83,6
M00306,Mushroom Mycelium,14.95,6.21,99.56,0.29,96.89,3,9.35,95,5
M00307,Mushroom Mycelium,22.33,8.8,97.05,0.38,97.26,4,10.68,103,6
