material_id,material_name,material_type,recommended_product_category,max_weight_capacity_kg,moisture_resistance_level,suitable_for_fragile,suitable_for_liquid,suitable_for_moisture_sensitive,suitable_for_temperature_sensitive,recyclable_percent,biodegradable_days,co2_per_kg,cost_per_kg_inr,suitability_score,strength_rating_per_kg
70,Starch-based Bioplastic Variant 12-2,Starch-based Bioplastic,Industrial Goods,48.0,2,False,True,False,False,54,579,2.362,170.44,0.515,9.5
71,Starch-based Bioplastic Variant 12-3,Starch-based Bioplastic,Apparel & Fashion,2.1,2,False,True,True,True,65,301,1.365,317.5,0.39,1.0
72,Starch-based Bioplastic Variant 12-4,Starch-based Bioplastic,Home & Living,12.1,5,True,False,True,False,55,694,2.268,232.9,0.355,1.9
73,PLA Bioplastic Variant 13-1,PLA Bioplastic,Cosmetics & Beauty,23.8,3,False,False,True,False,36,299,2.355,233.79,0.347,4.5
74,PLA Bioplastic Variant 13-2,PLA Bioplastic,Cosmetics & Beauty,29.4,2,True,False,True,False,78,267,0.945,232.92,0.56,5.6
75,PLA Bioplastic Variant 13-3,PLA Bioplastic,Food & Beverages,25.6,1,True,True,False,False,78,548,2.222,225.55,0.483,4.7
76,PLA Bioplastic Variant 13-4,PLA Bioplastic,Industrial Goods,15.4,3,True,False,False,False,67,383,2.408,322.36,0.356,1.0
77,PLA Bioplastic Variant 13-5,PLA Bioplastic,Industrial Goods,14.3,2,True,True,True,False,32,562,1.812,251.1,0.316,2.8
78,Bubble Wrap Variant 14-1,Bubble Wrap,Industrial Goods,28.9,3,False,True,True,True,43,467,3.491,225.47,0.373,5.8
79,Bubble Wrap Variant 14-2,Bubble Wrap,Food & Beverages,33.7,5,True,True,True,False,77,560,2.929,229.0,0.516,7.4
80,Bubble Wrap Variant 14-3,Bubble Wrap,Pharmaceuticals,45.6,5,True,True,True,False,41,711,2.228,186.11,0.478,9.6
81,Bubble Wrap Variant 14-4,Bubble Wrap,Pharmaceuticals,22.4,4,True,False,False,True,52,307,2.454,110.96,0.434,4.8
82,Bubble Wrap Variant 14-5,Bubble Wrap,Pharmaceuticals,37.3,2,False,True,True,False,33,845,1.515,169.37,0.443,7.5
83,Paperboard Variant 15-1,Paperboard,Pharmaceuticals,1.9,2,False,False,False,True,71,146,0.968,48.53,0.52,1.0
84,Paperboard Variant 15-2,Paperboard,Electronics,14.1,3,False,False,False,True,76,249,0.856,81.51,0.52,1.0
85,Paperboard Variant 15-3,Paperboard,Pharmaceuticals,37.2,3,True,False,True,False,98,291,1.371,85.31,0.694,8.3
86,Paperboard Variant 15-4,Paperboard,Food & Beverages,46.9,5,True,True,False,True,76,260,0.928,101.67,0.669,9.3
87,Paperboard Variant 15-5,Paperboard,Cosmetics & Beauty,36.7,1,False,False,False,True,76,116,1.022,75.68,0.63,7.0
88,Starch-based Bioplastic Variant 16-1,Starch-based Bioplastic,Apparel & Fashion,43.8,5,False,False,False,False,47,208,1.978,279.33,0.456,8.1
89,Starch-based Bioplastic Variant 16-2,Starch-based Bioplastic,Home & Living,33.8,2,False,False,False,False,36,256,0.996,188.52,0.448,6.0
90,Starch-based Bioplastic Variant 16-3,Starch-based Bioplastic,Industrial Goods,40.0,4,False,True,False,True,60,271,1.005,196.0,0.549,7.6
91,Starch-based Bioplastic Variant 16-4,Starch-based Bioplastic,Food & Beverages,35.1,2,False,True,True,False,47,280,1.847,327.2,0.421,6.4
92,LDPE Plastic Film Variant 17-1,LDPE Plastic Film,Cosmetics & Beauty,2.2,2,False,True,True,True,41,-1,4.495,227.81,0.269,1.5
93,LDPE Plastic Film Variant 17-2,LDPE Plastic Film,Industrial Goods,38.6,5,True,False,False,True,48,-1,3.831,183.6,0.415,6.9
94,LDPE Plastic Film Variant 17-3,LDPE Plastic Film,Cosmetics & Beauty,23.9,2,True,True,True,True,55,-1,2.274,107.22,0.445,4.6
95,LDPE Plastic Film Variant 17-4,LDPE Plastic Film,Apparel & Fashion,7.1,3,False,False,True,False,34,-1,2.162,218.94,0.334,3.7
96,LDPE Plastic Film Variant 17-5,LDPE Plastic Film,Food & Beverages,42.1,5,False,True,True,True,50,-1,3.949,129.83,0.454,7.8
97,LDPE Plastic Film Variant 17-6,LDPE Plastic Film,Apparel & Fashion,3.8,1,False,False,False,True,26,-1,4.04,124.62,0.247,1.0
98,LDPE Plastic Film Variant 17-7,LDPE Plastic Film,Apparel & Fashion,12.0,1,False,False,True,False,12,-1,3.192,143.67,0.302,5.6
99,Bubble Wrap Variant 18-1,Bubble Wrap,Food & Beverages,42.8,2,False,False,False,True,37,430,2.488,202.98,0.399,6.8
100,Bubble Wrap Variant 18-2,Bubble Wrap,Industrial Goods,11.8,5,False,False,True,False,58,294,2.043,220.2,0.357,1.1
101,Bubble Wrap Variant 18-3,Bubble Wrap,Home & Living,28.7,5,False,False,False,True,42,542,3.79,120.58,0.389,5.5
102,Bubble Wrap Variant 18-4,Bubble Wrap,Cosmetics & Beauty,35.3,4,True,False,False,True,52,605,2.005,101.91,0.491,6.8
103,Bubble Wrap Variant 18-5,Bubble Wrap,Home & Living,8.9,4,False,False,True,True,70,196,2.13,99.69,0.436,1.5
104,Bubble Wrap Variant 18-6,Bubble Wrap,Cosmetics & Beauty,41.1,3,False,False,False,True,89,514,1.308,238.44,0.608,7.6
105,Bubble Wrap Variant 18-7,Bubble Wrap,Food & Beverages,34.7,2,False,True,False,False,85,389,3.92,228.16,0.501,6.2
106,Bubble Wrap Variant 18-8,Bubble Wrap,Apparel & Fashion,37.7,3,False,True,True,False,76,258,1.758,219.19,0.549,7.5
107,PET Plastic Variant 19-1,PET Plastic,Cosmetics & Beauty,8.8,2,False,False,False,True,41,-1,3.701,113.18,0.329,2.4
108,PET Plastic Variant 19-2,PET Plastic,Electronics,14.4,1,False,True,False,False,46,-1,2.994,202.16,0.357,3.9
109,PET Plastic Variant 19-3,PET Plastic,Pharmaceuticals,49.2,1,True,False,False,True,27,-1,3.183,238.3,0.412,10.0
110,PET Plastic Variant 19-4,PET Plastic,Electronics,10.1,1,True,True,False,False,16,-1,2.328,200.2,0.259,2.7
111,PET Plastic Variant 19-5,PET Plastic,Pharmaceuticals,46.1,3,True,False,True,False,18,-1,3.229,132.08,0.367,7.8
112,PET Plastic Variant 19-6,PET Plastic,Electronics,29.5,5,False,False,False,True,30,-1,2.981,111.59,0.39,6.5
113,PET Plastic Variant 19-7,PET Plastic,Apparel & Fashion,30.4,3,False,False,False,True,26,-1,3.427,116.45,0.34,5.1
114,PET Plastic Variant 19-8,PET Plastic,Industrial Goods,24.6,4,False,False,True,True,11,-1,4.206,185.48,0.259,4.9
115,HDPE Plastic Variant 20-1,HDPE Plastic,Home & Living,41.4,2,True,True,False,False,53,-1,3.591,116.73,0.471,7.7
116,HDPE Plastic Variant 20-2,HDPE Plastic,Electronics,2.5,1,True,False,False,False,59,-1,3.959,200.05,0.326,1.1
117,HDPE Plastic Variant 20-3,HDPE Plastic,Cosmetics & Beauty,24.7,3,False,False,False,False,51,-1,3.812,170.18,0.395,5.3
118,HDPE Plastic Variant 20-4,HDPE Plastic,Cosmetics & Beauty,32.9,1,False,True,False,True,17,-1,3.084,239.49,0.359,8.8
119,HDPE Plastic Variant 20-5,HDPE Plastic,Home & Living,8.9,2,False,True,False,False,38,-1,2.509,166.94,0.306,1.6
120,HDPE Plastic Variant 20-6,HDPE Plastic,Cosmetics & Beauty,9.5,5,False,False,False,True,53,-1,3.262,222.84,0.313,1.1
121,HDPE Plastic Variant 20-7,HDPE Plastic,Home & Living,26.2,1,True,False,False,False,51,-1,2.71,258.74,0.392,5.1
122,Starch-based Bioplastic Variant 21-1,Starch-based Bioplastic,Pharmaceuticals,19.8,2,False,False,True,False,77,597,1.204,185.94,0.533,4.8
123,Starch-based Bioplastic Variant 21-2,Starch-based Bioplastic,Electronics,9.9,5,True,False,True,False,49,249,1.909,169.05,0.394,3.5
124,Starch-based Bioplastic Variant 21-3,Starch-based Bioplastic,Industrial Goods,20.6,3,False,True,False,True,74,422,2.302,196.93,0.498,5.9
125,Starch-based Bioplastic Variant 21-4,Starch-based Bioplastic,Industrial Goods,17.2,5,True,False,False,True,49,403,2.052,157.33,0.421,4.9
126,Starch-based Bioplastic Variant 21-5,Starch-based Bioplastic,Electronics,24.3,1,False,False,False,False,49,453,1.703,161.42,0.448,5.7
127,Starch-based Bioplastic Variant 21-6,Starch-based Bioplastic,Industrial Goods,2.9,3,True,False,True,False,60,303,1.631,253.12,0.381,1.5
128,Starch-based Bioplastic Variant 21-7,Starch-based Bioplastic,Home & Living,7.8,5,True,False,False,True,50,248,1.065,296.17,0.384,1.9
129,Starch-based Bioplastic Variant 21-8,Starch-based Bioplastic,Pharmaceuticals,48.2,2,False,False,True,True,76,707,2.152,172.62,0.597,10.0
130,Starch-based Bioplastic Variant 22-1,Starch-based Bioplastic,Electronics,30.4,5,False,False,True,True,35,694,1.492,345.43,0.382,5.6
131,Starch-based Bioplastic Variant 22-2,Starch-based Bioplastic,Food & Beverages,39.3,5,True,True,False,False,63,713,1.339,325.58,0.518,7.7
132,Starch-based Bioplastic Variant 22-3,Starch-based Bioplastic,Cosmetics & Beauty,19.4,1,True,False,False,False,48,724,1.204,239.74,0.431,4.6
133,Starch-based Bioplastic Variant 22-4,Starch-based Bioplastic,Apparel & Fashion,12.1,2,False,True,False,False,37,569,0.844,245.84,0.444,5.6
134,Starch-based Bioplastic Variant 22-5,Starch-based Bioplastic,Cosmetics & Beauty,19.6,2,False,True,False,True,52,445,2.016,299.38,0.386,4.0
135,Starch-based Bioplastic Variant 22-6,Starch-based Bioplastic,Electronics,41.3,3,True,False,False,True,63,453,1.237,247.17,0.543,8.1
136,Starch-based Bioplastic Variant 23-1,Starch-based Bioplastic,Pharmaceuticals,16.1,4,False,True,False,False,78,708,1.007,232.71,0.52,3.8
137,Starch-based Bioplastic Variant 23-2,Starch-based Bioplastic,Apparel & Fashion,34.4,2,False,True,True,False,30,291,1.876,158.68,0.394,6.1
138,Starch-based Bioplastic Variant 23-3,Starch-based Bioplastic,Home & Living,30.5,5,False,True,True,False,71,703,1.746,303.99,0.49,5.9
139,Starch-based Bioplastic Variant 23-4,Starch-based Bioplastic,Electronics,15.8,3,False,False,False,False,34,680,2.267,297.37,0.302,2.9
140,Starch-based Bioplastic Variant 23-5,Starch-based Bioplastic,Pharmaceuticals,5.7,5,False,False,False,True,43,196,1.645,268.9,0.317,1.0
141,Starch-based Bioplastic Variant 23-6,Starch-based Bioplastic,Industrial Goods,7.7,5,False,False,False,False,67,673,2.113,331.1,0.382,1.9
142,Starch-based Bioplastic Variant 23-7,Starch-based Bioplastic,Food & Beverages,32.6,4,True,True,True,True,33,680,1.938,316.37,0.403,7.7
143,Starch-based Bioplastic Variant 23-8,Starch-based Bioplastic,Pharmaceuticals,32.4,2,False,True,False,True,67,328,1.559,349.1,0.489,6.3
144,Molded Pulp Variant 24-1,Molded Pulp,Apparel & Fashion,29.4,2,False,True,False,True,75,165,1.34,47.73,0.597,5.4
145,Molded Pulp Variant 24-2,Molded Pulp,Apparel & Fashion,18.0,4,False,False,True,True,60,180,0.912,93.72,0.53,4.5
146,Molded Pulp Variant 24-3,Molded Pulp,Food & Beverages,39.6,1,False,False,True,True,95,210,1.232,61.05,0.718,8.7
147,Molded Pulp Variant 24-4,Molded Pulp,Pharmaceuticals,46.9,1,False,False,True,False,96,303,1.917,56.68,0.712,9.7
148,Molded Pulp Variant 24-5,Molded Pulp,Apparel & Fashion,41.1,3,False,False,False,True,66,73,1.284,46.47,0.658,9.6
149,Molded Pulp Variant 24-6,Molded Pulp,Home & Living,35.1,2,False,False,False,False,90,329,1.878,51.14,0.609,5.1
150,Molded Pulp Variant 24-7,Molded Pulp,Pharmaceuticals,16.6,3,True,True,True,True,93,84,0.896,58.6,0.625,3.1
151,Molded Pulp Variant 24-8,Molded Pulp,Home & Living,7.0,4,True,False,False,True,61,119,1.264,69.18,0.454,1.0
152,Corrugated Cardboard Variant 25-1,Corrugated Cardboard,Food & Beverages,10.4,1,True,False,True,False,38,262,0.89,53.65,0.457,2.7
153,Corrugated Cardboard Variant 25-2,Corrugated Cardboard,Cosmetics & Beauty,14.0,4,False,False,True,True,65,303,1.669,107.84,0.448,2.2
154,Corrugated Cardboard Variant 25-3,Corrugated Cardboard,Electronics,20.8,5,True,False,False,True,51,824,1.299,40.88,0.499,3.7
155,Corrugated Cardboard Variant 25-4,Corrugated Cardboard,Electronics,1.9,5,False,True,False,True,64,676,1.345,83.84,0.449,1.0
156,Corrugated Cardboard Variant 25-5,Corrugated Cardboard,Food & Beverages,5.8,2,True,False,True,False,64,924,1.831,89.13,0.438,1.7
157,Corrugated Cardboard Variant 25-6,Corrugated Cardboard,Pharmaceuticals,47.9,1,False,False,True,False,39,421,1.882,43.07,0.521,8.0
158,Corrugated Cardboard Variant 25-7,Corrugated Cardboard,Pharmaceuticals,32.2,2,True,False,True,False,52,352,1.685,52.01,0.519,6.0
159,Corrugated Cardboard Variant 25-8,Corrugated Cardboard,Food & Beverages,34.3,5,True,False,False,False,60,545,1.965,119.33,0.46,4.4
160,PLA Bioplastic Variant 26-1,PLA Bioplastic,Apparel & Fashion,39.4,3,True,True,False,False,39,669,1.675,166.52,0.466,8.1
161,PLA Bioplastic Variant 26-2,PLA Bioplastic,Home & Living,39.3,1,False,False,True,True,54,497,2.323,245.65,0.462,7.6
162,PLA Bioplastic Variant 26-3,PLA Bioplastic,Electronics,7.1,3,False,False,False,False,61,407,1.018,281.3,0.41,1.3
163,PLA Bioplastic Variant 26-4,PLA Bioplastic,Electronics,46.5,1,True,False,False,False,75,232,1.286,279.16,0.591,9.1
164,Wooden Crate Variant 27-1,Wooden Crate,Pharmaceuticals,43.2,1,True,False,False,True,37,481,2.553,167.42,0.438,8.4
165,Wooden Crate Variant 27-2,Wooden Crate,Home & Living,9.7,3,True,False,False,True,79,786,1.301,138.61,0.477,1.3
166,Wooden Crate Variant 27-3,Wooden Crate,Pharmaceuticals,21.3,5,False,False,True,False,58,209,2.273,184.8,0.426,4.5
167,Wooden Crate Variant 27-4,Wooden Crate,Apparel & Fashion,8.8,2,False,False,False,False,71,670,2.485,117.31,0.411,1.0
168,PET Plastic Variant 28-1,PET Plastic,Home & Living,31.1,2,True,False,False,True,35,-1,4.082,234.39,0.336,5.6
169,PET Plastic Variant 28-2,PET Plastic,Apparel & Fashion,37.7,5,True,True,True,True,29,-1,2.543,224.86,0.367,6.7
170,PET Plastic Variant 28-3,PET Plastic,Food & Beverages,33.5,5,True,True,True,True,26,-1,3.202,194.11,0.309,4.6
171,PET Plastic Variant 28-4,PET Plastic,Home & Living,4.2,2,False,False,False,False,28,-1,2.193,179.72,0.269,1.0
172,PET Plastic Variant 28-5,PET Plastic,Pharmaceuticals,17.4,2,False,False,False,False,45,-1,3.839,119.58,0.374,4.3
173,PET Plastic Variant 28-6,PET Plastic,Home & Living,19.2,1,False,False,False,False,13,-1,2.446,179.39,0.254,2.8
174,PET Plastic Variant 28-7,PET Plastic,Cosmetics & Beauty,49.6,4,True,False,False,True,19,-1,2.065,153.52,0.434,10.0
175,LDPE Plastic Film Variant 29-1,LDPE Plastic Film,Pharmaceuticals,41.8,5,False,False,False,True,14,-1,2.465,234.71,0.346,7.9
176,LDPE Plastic Film Variant 29-2,LDPE Plastic Film,Industrial Goods,23.5,5,False,False,True,False,44,-1,3.824,169.9,0.372,5.2
177,LDPE Plastic Film Variant 29-3,LDPE Plastic Film,Industrial Goods,8.8,4,True,True,False,False,23,-1,2.68,139.93,0.254,1.0
178,LDPE Plastic Film Variant 29-4,LDPE Plastic Film,Apparel & Fashion,23.0,5,True,True,False,True,27,-1,2.348,245.03,0.301,3.6
179,LDPE Plastic Film Variant 29-5,LDPE Plastic Film,Industrial Goods,21.1,2,False,False,True,False,23,-1,4.453,216.93,0.295,5.4
180,LDPE Plastic Film Variant 29-6,LDPE Plastic Film,Food & Beverages,33.1,2,True,True,True,False,21,-1,2.285,155.92,0.356,6.2
181,LDPE Plastic Film Variant 29-7,LDPE Plastic Film,Cosmetics & Beauty,12.0,2,True,False,False,False,52,-1,3.77,110.83,0.352,1.9
182,LDPE Plastic Film Variant 29-8,LDPE Plastic Film,Industrial Goods,5.0,2,True,True,False,False,11,-1,4.155,115.61,0.204,1.0
183,Aluminum Foil Variant 30-1,Aluminum Foil,Home & Living,37.7,4,True,False,False,False,99,-1,7.792,286.21,0.521,6.9
184,Aluminum Foil Variant 30-2,Aluminum Foil,Cosmetics & Beauty,1.9,5,False,True,True,False,87,-1,7.86,396.25,0.355,1.0
185,Aluminum Foil Variant 30-3,Aluminum Foil,Electronics,4.2,3,False,False,False,True,97,-1,6.205,173.35,0.444,1.9
186,Aluminum Foil Variant 30-4,Aluminum Foil,Apparel & Fashion,10.1,4,False,False,False,False,94,-1,8.485,198.96,0.431,2.5
187,Aluminum Foil Variant 30-5,Aluminum Foil,Apparel & Fashion,22.9,4,True,False,True,False,80,-1,5.818,158.35,0.453,4.6
188,Aluminum Foil Variant 30-6,Aluminum Foil,Electronics,41.2,5,True,False,True,False,91,-1,5.598,334.93,0.504,7.0
189,Aluminum Foil Variant 30-7,Aluminum Foil,Food & Beverages,24.8,5,False,False,True,False,84,-1,6.637,289.94,0.419,3.8
190,Corrugated Cardboard Variant 31-1,Corrugated Cardboard,Home & Living,44.6,5,False,True,True,False,35,390,1.986,100.77,0.479,8.7
191,Corrugated Cardboard Variant 31-2,Corrugated Cardboard,Apparel & Fashion,32.9,1,True,False,False,True,85,397,1.088,48.05,0.676,7.1
192,Corrugated Cardboard Variant 31-3,Corrugated Cardboard,Home & Living,18.0,2,False,False,False,True,34,799,1.975,77.7,0.371,2.8
193,Corrugated Cardboard Variant 31-4,Corrugated Cardboard,Apparel & Fashion,7.2,2,True,False,True,True,37,938,1.571,62.34,0.371,1.0
194,Corrugated Cardboard Variant 31-5,Corrugated Cardboard,Electronics,26.1,5,True,True,False,False,41,580,1.746,101.29,0.446,5.7
