Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Strength_to_Weight_Ratio,Strength_to_Weight_Ratio_Normalized,Environmental_Impact_Raw,Environmental_Impact_Score,CO2_Impact_Index_Raw,CO2_Impact_Index,Cost_Efficiency_Raw,Cost_Efficiency_Index,Durability_Score,Durability_Score_Normalized,Material_Suitability_Score
Bamboo Fiber,46.6,9.6,96.1,0.78,45.9,6,Highly Recommended,4.804123711340207,2.86896551724138,87.62,75.663673147143,1.1363636363636365,21.42528911694876,14.77627471383975,3.456460518986622,51.96,49.349397590361455,36.43602251745577
Virgin Plastic (PP),66.3,8.0,2.0,3.63,25.0,10,Avoid,8.185185185185185,5.130779054916986,53.785000000000004,8.881871114181394,0.2680965147453083,3.7673545627226135,3.370786516853933,0.5386469510170722,79.78,82.86746987951808,16.657327752557897
Bamboo Fiber,41.0,4.9,97.0,1.14,35.2,6,Highly Recommended,8.2,5.140689655172413,85.57000000000001,71.61748741734925,0.8064516129032259,14.71587357665027,26.92464358452138,6.564321831660763,48.599999999999994,45.30120481927711,33.786328674108304
Recycled Cardboard,26.6,9.6,97.0,1.2,92.4,5,Highly Recommended,2.742268041237114,1.4896551724137934,96.98,94.13796506464027,0.7692307692307692,13.958913874667871,19.708636836628514,4.718284026709466,35.96,30.072289156626507,37.3345836841363
Edible Seaweed Film,12.8,9.4,100.0,0.22,1.2,3,Consider as Option,1.3473684210526315,0.5565154264972777,80.13,60.880292114872184,3.125,61.86815501263689,10.75451647183847,2.4275926123321834,19.68,10.457831325301203,35.840971151532216
Bamboo Fiber,43.8,5.5,99.5,0.76,46.0,8,Highly Recommended,7.821428571428571,4.88743842364532,88.67,77.73610974045198,1.1627906976744187,21.96273583981505,26.406533575317606,6.431776131867298,58.28,56.96385542168675,39.131194264080364
Recycled Cardboard,15.5,7.9,93.4,1.4,89.0,5,Highly Recommended,1.9375,0.9512931034482759,95.11999999999999,90.46679167077862,0.6666666666666666,11.87306936253861,23.059418457648547,5.5754990716296,29.299999999999997,22.04819277108433,34.62576288220164
Mushroom Mycelium,16.0,1.1,100.0,0.27,100.0,4,Highly Recommended,13.333333333333332,8.57471264367816,99.86500000000001,99.8322313233988,2.7027027027027026,53.279901637104665,180.18018018018017,45.770980619264705,25.6,17.590361445783135,55.919866411384035
Bagasse (Sugarcane),24.5,3.8,97.0,1.08,60.4,7,Highly Recommended,6.282051282051282,3.8576480990274096,90.64,81.62439553932694,0.8474576271186439,15.549812231376631,41.31233595800526,10.245058972769522,42.7,38.192771084337366,36.53846398674949
Mushroom Mycelium,17.2,3.2,100.0,0.27,100.0,6,Highly Recommended,5.212121212121211,3.1419017763845343,99.86500000000001,99.8322313233988,2.7027027027027026,53.279901637104665,62.30529595015577,15.61559133745396,34.32,28.09638554216868,50.92141108275035
Recycled Cardboard,32.9,1.2,94.3,0.99,80.9,5,Highly Recommended,25.307692307692307,16.585145888594162,93.97500000000001,88.2068489095036,0.9174311926605504,16.972863513753737,144.79338842975207,36.71814050290748,39.739999999999995,34.62650602409638,44.90138914434489
Bagasse (Sugarcane),37.7,3.9,97.3,0.97,69.8,7,Highly Recommended,9.425,5.960172413793105,92.66499999999999,85.62123754070856,0.9345794392523364,17.321607130203372,42.73657289002558,10.609414954072491,50.620000000000005,47.73493975903615,39.89491424081264
Mushroom Mycelium,21.1,6.9,100.0,0.25,100.0,5,Highly Recommended,3.0142857142857147,1.6716256157635474,99.875,99.85196881476364,2.857142857142857,56.42074858587074,28.94356005788712,7.080811943863114,32.66,26.096385542168676,49.558560572571054
Virgin Plastic (PP),79.2,5.9,4.1,5.23,25.0,10,Avoid,13.200000000000001,8.485517241379311,53.614999999999995,8.546333760978975,0.18761726078799248,2.130649263203149,4.9238578680203045,0.9359620489938183,87.52000000000001,92.19277108433738,17.96122224068178
Mushroom Mycelium,22.0,7.7,100.0,0.28,100.0,5,Highly Recommended,2.8205128205128207,1.5419982316534044,99.86,99.82236257771635,2.6315789473684212,51.83345896333083,25.940337224383917,6.312511264410619,33.2,26.746987951807235,48.33382378296616
Aluminum Foil,32.6,1.6,0.0,8.67,98.7,10,Avoid,19.176470588235293,12.483569979716025,65.405,31.816836080134216,0.11402508551881414,0.6340063727246616,61.30434782608695,15.359523384307202,59.56,58.506024096385545,22.799717706512304
Mushroom Mycelium,13.3,6.9,100.0,0.22,100.0,6,Highly Recommended,1.9000000000000001,0.9262068965517243,99.89,99.8815750518109,3.125,61.86815501263689,28.94356005788712,7.080811943863114,31.98,25.27710843373494,50.73186061219052
Bamboo Fiber,56.4,8.6,95.7,0.85,33.3,8,Highly Recommended,6.482758620689656,3.99191438763377,84.945,70.38389420704627,1.0526315789473684,19.722431605551364,14.982578397212544,3.50923824108591,65.84,66.07228915662652,37.05765862397626
Virgin Plastic (PP),85.6,7.6,0.5,4.43,12.2,10,Avoid,11.116883116883118,7.091983878190774,50.37499999999999,2.1513865587683645,0.22075055187637974,2.804480473711716,1.6688567674113008,0.10325009391742665,91.35999999999999,96.81927710843374,16.599276058926062
Virgin Plastic (PP),61.4,6.7,3.4,4.11,17.9,10,Avoid,9.029411764705882,5.69553752535497,52.545,6.434422184940303,0.23752969121140144,3.145717561788737,3.1743666169895675,0.4883977517767515,76.84,79.32530120481928,15.282784529543015
Recycled Cardboard,19.6,9.8,97.9,0.84,92.8,5,Highly Recommended,1.97979797979798,0.9795889933820969,97.51,95.1840521069772,1.0638297872340425,19.950169388230652,19.439347604485217,4.6493930014692255,31.759999999999998,25.012048192771086,38.322402707698544
Virgin Plastic (PP),69.4,0.7,1.3,3.52,18.6,10,Avoid,86.75000000000001,57.687931034482766,52.35,6.049541103325762,0.27624309392265195,3.9330314130520785,28.02816901408451,6.846631664906626,81.64,85.10843373493977,22.702504680931316
Bamboo Fiber,41.6,9.2,99.5,0.62,37.2,7,Highly Recommended,4.473118279569893,2.6475342973674456,86.97999999999999,74.40047369979273,1.3888888888888888,26.560891135448838,14.84256243213898,3.47341860096459,52.96,50.55421686746988,37.50293457385017
Bagasse (Sugarcane),32.0,3.9,95.2,1.03,66.0,5,Highly Recommended,8.0,5.006896551724138,91.245,82.81851376690024,0.8849557522123893,16.312411001185406,41.22762148337596,10.223386858502453,39.2,33.975903614457835,36.565409449408
Aluminum Foil,34.3,1.4,0.0,8.98,97.2,10,Avoid,22.866666666666664,14.952183908045974,64.95,30.91878022303365,0.11013215859030837,0.5548359800927077,68.93617021276596,17.31193739093172,60.58,59.734939759036145,23.332189894779635
Bioplastic (PLA),53.7,5.0,84.6,1.92,54.2,8,Highly Recommended,10.529411764705884,6.698985801217039,85.26,71.005625185039,0.49504950495049505,8.382893891748061,27.704590818363275,6.763852143901639,64.22,64.12048192771084,35.03815232650737
Recycled Cardboard,17.1,2.0,91.9,1.27,98.5,3,Highly Recommended,8.142857142857142,5.102463054187192,96.635,93.45702161255305,0.7299270072992701,13.15959389739206,94.72636815920399,23.909725069027274,22.259999999999998,13.566265060240964,38.65413603637425
Mushroom Mycelium,13.4,1.3,100.0,0.25,100.0,5,Highly Recommended,9.571428571428571,6.058128078817734,99.875,99.85196881476364,2.857142857142857,56.42074858587074,152.67175572519082,38.73362695916928,28.04,20.530120481927707,55.492834062901565
Bioplastic (PLA),67.2,5.5,91.3,2.02,47.0,8,Highly Recommended,12.000000000000002,7.682758620689656,85.78,72.03197473601104,0.4716981132075471,7.90799701165138,25.099818511796737,6.097485229456036,72.32,73.87951807228916,36.6562922925197
Bamboo Fiber,46.7,9.7,99.0,0.51,32.3,6,Highly Recommended,4.7653061224489806,2.842997888810697,85.90499999999999,72.27869337807162,1.639344262295082,31.654398055436626,13.522142121524205,3.1356215482481145,52.019999999999996,49.421686746987945,37.921884637859534
Recycled Cardboard,21.0,9.3,90.5,1.3,85.8,5,Highly Recommended,2.234042553191489,1.1496698459280996,93.66,87.5851179315109,0.7142857142857142,12.841497171741482,18.936627282491944,4.520784374545774,32.6,26.024096385542173,34.40864798972193
Recycled Cardboard,34.6,3.9,98.0,1.38,83.6,4,Highly Recommended,8.65,5.441724137931035,95.43,91.0786539030889,0.6756756756756757,12.056285434549965,46.44501278772379,11.558128070303944,36.760000000000005,31.036144578313262,37.84888724416505
Virgin Plastic (PP),65.8,8.9,2.0,5.93,22.2,10,Avoid,7.311111111111111,4.546053639846743,52.074999999999996,5.506760090792451,0.1658374792703151,1.6877141951014376,2.7160493827160495,0.37114856248286754,79.47999999999999,82.50602409638553,14.978695266952172
Bamboo Fiber,57.6,7.4,95.8,0.83,42.3,6,Highly Recommended,7.680000000000001,4.792827586206897,86.785,74.0155926181782,1.0752688172043012,20.18280475763423,18.63697705802969,4.444126236333667,58.56,57.30120481927712,37.21366770364101
Bamboo Fiber,47.4,7.6,98.5,0.57,44.7,6,Highly Recommended,6.155844155844156,3.7732198835647117,88.205,76.81831639198657,1.492537313432836,28.66878748632574,18.817345597897503,4.490269089999523,52.44,49.9277108433735,38.97722422203981
Virgin Plastic (PP),67.8,4.7,0.7,4.66,25.2,10,Avoid,14.125,9.104310344827587,52.92,7.174578111122076,0.21008403361344538,2.587555662534601,5.498938428874735,1.0830822628904966,80.68,83.95180722891567,16.51908092036848
Edible Seaweed Film,11.8,7.0,100.0,0.5,2.1,3,Consider as Option,1.6619718309859157,0.7669742593491988,80.17,60.95924208033159,1.6666666666666667,32.21005335579893,14.56490727532097,3.402387359707035,19.08,9.734939759036143,28.557701824780963
Edible Seaweed Film,13.8,4.2,100.0,0.33,9.4,2,Consider as Option,3.2093023255813957,1.8020850040096232,81.715,64.00868449620054,2.325581395348837,45.61039164593169,25.985748218527316,6.3241285501031,16.28,6.361445783132533,33.00445433823455
Bagasse (Sugarcane),40.0,1.3,97.5,1.02,61.5,7,Highly Recommended,28.57142857142857,18.76847290640394,91.04,82.41389519392087,0.8928571428571428,16.473101456252255,121.37404580152672,30.726877832395722,52.0,49.397590361445786,44.274305333575725
Bagasse (Sugarcane),36.5,8.7,95.9,1.11,64.5,6,Highly Recommended,4.147727272727273,2.4298589341692796,91.11500000000001,82.56192637915723,0.8264462809917354,15.122504821516841,18.41561423650976,4.387496004210367,45.9,42.04819277108434,35.97691812904803
Recycled Cardboard,25.1,2.8,98.1,0.9,85.5,3,Highly Recommended,8.655172413793105,5.445184304399526,96.07999999999998,92.36159084180397,1.0,18.65206402695872,65.33807829181495,16.39145408987259,27.060000000000002,19.34939759036145,39.09671214624955
Virgin Plastic (PP),85.4,1.2,0.4,4.95,15.6,10,Avoid,65.6923076923077,43.60106100795756,50.76499999999999,2.921148721997424,0.19801980198019803,2.3422055769182646,13.223140495867769,3.0591293380842512,91.24000000000001,96.67469879518075,20.935032798518513
Bamboo Fiber,50.0,1.1,96.6,0.81,47.3,8,Highly Recommended,41.66666666666666,27.528735632183903,88.03499999999998,76.48277903878413,1.0989010989010988,20.66341409222622,129.6396396396396,32.84142667341288,62.0,61.44578313253013,46.64871360247227
Edible Seaweed Film,5.6,1.4,100.0,0.46,2.2,2,Consider as Option,3.733333333333333,2.1526436781609193,80.21000000000001,61.03819204579099,1.7857142857142856,34.63112287880611,72.4822695035461,18.219119656636046,11.36,0.433734939759034,30.893386873545982
Recycled Cardboard,19.3,2.4,95.7,1.1,95.9,5,Highly Recommended,7.720000000000001,4.8195862068965525,97.34,94.84851475377478,0.8333333333333333,15.262566694748664,79.5020746887967,20.014964118553962,31.58,24.795180722891565,40.47442465265378
Bioplastic (PLA),51.4,9.8,95.0,2.19,44.4,9,Highly Recommended,5.191919191919191,3.128387321490769,86.285,73.02871804993585,0.4366812227074236,7.195859070056618,14.209989806320081,3.311590456613146,66.84,67.27710843373494,34.77430327102685
Mushroom Mycelium,11.3,4.3,100.0,0.3,100.0,4,Highly Recommended,2.568181818181819,1.37319749216301,99.85,99.8026250863515,2.5,49.1575400168492,46.40371229698376,11.547562355784429,22.78,14.19277108433735,46.80592041314154
Virgin Plastic (PP),86.6,9.3,0.1,4.12,16.6,10,Avoid,9.212765957446807,5.818195157740278,51.29,3.957367018651925,0.23696682464454977,3.1342705534283333,1.7937701396348016,0.1352061071980228,91.96,97.54216867469879,17.210963782371113
Bioplastic (PLA),60.9,1.1,88.1,2.12,41.4,8,Consider as Option,50.74999999999999,33.6051724137931,83.64999999999999,67.82788907529851,0.4504504504504504,7.475883634266109,116.66666666666666,29.52261068731189,68.53999999999999,69.32530120481928,41.88117219072066
Mushroom Mycelium,14.3,4.0,100.0,0.25,100.0,5,Highly Recommended,3.487804878048781,1.988393608074012,99.875,99.85196881476364,2.857142857142857,56.42074858587074,49.87531172069826,12.435685663276551,28.58,21.180722891566266,49.923862718094426
Mushroom Mycelium,16.3,1.7,100.0,0.32,100.0,5,Highly Recommended,9.055555555555555,5.713026819923372,99.84,99.78288759498668,2.380952380952381,46.73647049384201,116.95906432748538,29.597413435536634,29.78,22.626506024096386,51.50374517467063
Aluminum Foil,34.4,0.7,0.0,11.43,90.1,10,Avoid,43.0,28.420689655172417,62.30499999999999,25.698213757031453,0.08673026886383348,0.07891212331334468,126.90140845070422,32.140917587144706,60.64,59.807228915662655,25.970528978233354
Virgin Plastic (PP),66.9,2.2,1.0,5.04,29.9,10,Avoid,29.08695652173913,19.11334332833583,53.75999999999999,8.83252738576925,0.19455252918287938,2.2716917055389287,13.981900452488688,3.2532394066778596,80.14,83.30120481927712,18.27484407917623
Edible Seaweed Film,7.3,10.0,100.0,0.32,0.2,4,Consider as Option,0.7227722772277227,0.1386821440764766,79.88000000000001,60.38685483075101,2.380952380952381,46.73647049384201,10.00999000999001,2.2371238332168883,20.38,11.301204819277109,31.956647776628397
Bagasse (Sugarcane),37.0,3.7,98.3,1.1,59.1,6,Highly Recommended,9.736842105263158,6.168784029038112,90.75999999999999,81.8612454357051,0.8333333333333333,15.262566694748664,42.42587601078167,10.529930800994043,46.2,42.409638554216876,37.458325650633846
Edible Seaweed Film,12.0,6.6,100.0,0.26,4.5,3,Consider as Option,1.7910447761194033,0.8533196088522906,80.77000000000001,62.14349156222245,2.7777777777777777,54.806702237199275,15.809379727685327,3.7207550212888227,19.2,9.879518072289157,34.65613370395292
Bamboo Fiber,43.1,7.0,95.4,1.01,47.9,8,Highly Recommended,6.070422535211268,3.7160757649344345,87.695,75.81170433237934,0.9009009009009008,16.63668723483382,20.44222539229672,4.905954611612754,57.86,56.457831325301214,36.72415630603343
Mushroom Mycelium,11.0,4.4,100.0,0.31,100.0,5,Highly Recommended,2.4444444444444446,1.2904214559386975,99.845,99.79275634066909,2.4390243902439024,47.91748001726015,45.35147392290249,11.278373053967087,26.6,18.795180722891565,47.12119077133679
Aluminum Foil,37.7,2.7,0.0,8.66,90.7,10,Avoid,13.464285714285714,8.66231527093596,63.81,28.66870620744104,0.11415525114155252,0.6366535489107646,33.46863468634687,8.2384409658706,62.620000000000005,62.19277108433736,20.602610632378322
Bagasse (Sugarcane),30.3,7.4,97.6,0.99,56.9,7,Highly Recommended,4.04,2.357793103448276,90.16499999999999,80.68686469949667,0.9174311926605504,16.972863513753737,20.850202429149796,5.010325499819408,46.18,42.385542168674704,36.04495102389735
Bagasse (Sugarcane),21.7,9.8,99.8,1.13,69.4,7,Highly Recommended,2.1919191919191916,1.1214907697666316,93.255,86.78574953123457,0.8130081300813008,14.849213361552316,17.247706422018346,4.088715521656249,41.019999999999996,36.16867469879518,36.10322158588564
Edible Seaweed Film,10.9,8.7,100.0,0.35,1.5,4,Consider as Option,1.2386363636363638,0.4837774294670848,80.125,60.87042336918977,2.2222222222222223,43.50837779649911,11.653272101033297,2.6575171297102917,22.54,13.903614457831322,31.803644797445173
Edible Seaweed Film,14.5,9.3,100.0,0.37,4.4,3,Consider as Option,1.5425531914893615,0.6870873074101247,80.695,61.99546037698607,2.127659574468085,41.5852587427629,11.21374865735768,2.545075869393497,20.7,11.686746987951807,31.325688751599028
Bioplastic (PLA),53.9,2.4,92.9,2.29,59.6,9,Highly Recommended,21.56,14.07806896551724,88.645,77.68676601203985,0.41841004184100417,6.824278357238281,63.278008298755196,15.864435862077203,68.34,69.0843373493976,39.955444064298334
Bagasse (Sugarcane),27.6,3.3,98.0,1.26,56.8,6,Highly Recommended,8.11764705882353,5.085598377281948,90.13,80.6177834797197,0.7352941176470588,13.268744734625102,46.76737160120847,11.640595642361816,40.56,35.61445783132531,35.68136886847154
Recycled Cardboard,22.3,0.7,92.9,1.05,91.9,4,Highly Recommended,27.875000000000004,18.302586206896553,95.725,91.66090989835189,0.8695652173913042,15.999413940881283,260.2816901408451,66.26298135973656,29.380000000000003,22.144578313253014,49.90266809435081
Edible Seaweed Film,12.4,0.9,100.0,0.4,1.9,4,Consider as Option,12.4,7.950344827586207,80.17999999999999,60.97897957169642,2.0,38.98904802021904,111.97802197802199,28.32313628940482,23.439999999999998,14.987951807228914,36.74881038828761
Edible Seaweed Film,14.7,6.5,100.0,0.37,5.5,2,Consider as Option,2.227272727272727,1.145141065830721,80.91499999999999,62.42968518701271,2.127659574468085,41.5852587427629,16.20583717357911,3.822178905542821,16.82,7.012048192771084,31.055977358401837
Recycled Cardboard,21.4,2.6,91.1,1.01,81.3,4,Highly Recommended,7.925925925925925,4.957343550446998,93.085,86.45021217803215,0.9009009009009008,16.63668723483382,66.0536398467433,16.574512910120117,28.839999999999996,21.493975903614455,37.12896878472898
Edible Seaweed Film,8.4,2.0,100.0,0.47,7.8,3,Consider as Option,4.0,2.331034482758621,81.325,63.238922332971484,1.7543859649122808,33.99399932012001,53.63184079601991,13.396701212557668,17.04,7.277108433734939,31.47418648576908
Bioplastic (PLA),59.4,8.8,84.3,2.25,49.3,8,Consider as Option,6.674157303370786,4.119953506392871,84.02499999999999,68.56804500148029,0.425531914893617,6.9691157755113,15.164585698070374,3.5558003314357856,67.64,68.24096385542168,33.671992439561606
Aluminum Foil,24.5,9.1,0.0,9.5,94.2,10,Avoid,2.6630434782608696,1.436656671664168,64.09,29.22135596565676,0.10416666666666667,0.4335158663296826,10.340285400658617,2.3216217832989683,54.7,52.65060240963856,17.38036614155144
Bagasse (Sugarcane),36.2,1.6,98.7,1.28,64.2,5,Highly Recommended,21.294117647058822,13.900202839756592,91.81,83.93368202901411,0.7246376811594202,13.052024956350802,101.18012422360248,25.560759788790012,41.72,37.01204819277108,40.49709031844126
Bamboo Fiber,50.9,3.9,96.5,0.93,47.4,6,Highly Recommended,12.725,8.167758620689655,87.965,76.34461659923024,0.970873786407767,18.059724687349192,36.80306905370844,9.091473968102171,54.54,52.45783132530121,37.92206150609095
Bagasse (Sugarcane),38.9,4.7,98.9,1.33,57.6,6,Highly Recommended,8.104166666666666,5.076580459770115,90.52499999999999,81.39741438863118,0.6993006993006993,12.536747161852468,33.2271762208068,8.176669757599118,47.34,43.7831325301205,36.263872984067376
Aluminum Foil,33.3,7.9,0.0,8.77,90.0,10,Avoid,4.1625,2.4397413793103446,63.615,28.2838251258265,0.11273957158962797,0.6078628965236893,11.378002528445005,2.587096181489982,59.98,59.01204819277108,18.250313865023564
Aluminum Foil,30.7,4.2,0.0,9.69,96.4,10,Avoid,7.1395348837209305,4.431275060144347,64.435,29.902299417744004,0.10214504596527069,0.392402198484949,22.897862232779097,5.534168885952971,58.42,57.13253012048194,19.188631176221758
Virgin Plastic (PP),79.6,7.9,2.6,3.99,12.3,10,Avoid,9.95,6.311379310344827,51.245000000000005,3.8685483075101113,0.24449877750611249,3.2874477582119246,1.883691529709229,0.15821028268602905,87.75999999999999,92.48192771084337,16.517495576004208
Recycled Cardboard,15.1,7.0,95.7,1.05,82.7,5,Highly Recommended,2.126760563380282,1.0779018941233611,94.72500000000001,89.68716076186718,0.8695652173913042,15.999413940881283,25.44935805991441,6.1869063237945685,29.06,21.75903614457831,35.51502858963847
Bamboo Fiber,51.2,8.7,99.9,1.16,36.4,8,Highly Recommended,5.818181818181819,3.547335423197493,86.67,73.78861146748248,0.7936507936507936,14.455543520412936,15.648679678530428,3.679643867105922,62.72,62.3132530120482,36.18811958789614
Bagasse (Sugarcane),25.0,9.6,99.5,1.15,56.2,7,Highly Recommended,2.577319587628866,1.3793103448275865,90.51499999999999,81.37767689726631,0.8,14.584667228306655,16.201873048907387,3.821164781767275,43.0,38.55421686746988,34.744766397213255
Aluminum Foil,23.7,1.3,0.0,10.76,91.4,10,Avoid,16.928571428571427,10.979802955665024,62.9,26.87259449323991,0.09208103130755065,0.1877304934829592,69.77099236641222,17.525506101422724,54.22,52.0722891566265,20.522635860687735
Mushroom Mycelium,12.2,2.7,100.0,0.39,100.0,6,Highly Recommended,4.357142857142857,2.569950738916256,99.805,99.71380637520973,2.0408163265306123,39.819128999535785,73.80073800738008,18.556417387604192,31.32,24.481927710843372,47.50949187048583
Mushroom Mycelium,17.4,1.1,100.0,0.2,100.0,6,Highly Recommended,14.499999999999996,9.3551724137931,99.9,99.90131254317576,3.333333333333333,66.10502667789946,180.18018018018017,45.770980619264705,34.44,28.240963855421686,60.822508375973094
Bamboo Fiber,52.7,5.9,98.6,0.93,43.1,8,Highly Recommended,8.783333333333333,5.530919540229886,87.735,75.89065429783875,0.970873786407767,18.059724687349192,23.976311336717426,5.810063558192206,63.620000000000005,63.3975903614458,38.50687068106722
