product_id,category,sub_category,physical_state,product_weight_kg,fragility_level_1_to_10,moisture_sensitivity_0_to_1,leakage_risk_0_to_1,compression_tolerance_index,shipping_stress_index_1_to_10,shelf_life_months,regulatory_requirement_level_1_to_5
74,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),1.81,2,0.53,0.22,15.17,7,54,4
75,Cosmetics,Lotion,Liquid,3.15,5,0.48,0.72,16.12,9,71,5
76,Agriculture & Raw Materials,Grains,Granular Solid,7.4,3,0.79,0.3,11.15,7,4,3
77,Luxury & Specialty Items,Premium Perfume,Liquid,7.27,3,0.54,0.86,37.68,8,34,3
78,Cosmetics,Perfume,Liquid (Volatile),5.24,5,0.42,0.84,5.95,5,13,2
79,Electronics & Consumer Goods,Smartphone,Solid (Fragile),3.02,8,0.5,0.28,2,5,48,2
80,Luxury & Specialty Items,Watch,Solid (Fragile),0.54,9,0.24,0.15,6.05,4,7,4
81,Food & Beverages,Sauce/Ketchup,Viscous Liquid,7.42,5,0.42,0.76,3.92,4,26,1
82,Luxury & Specialty Items,Watch,Solid (Fragile),0.11,8,0.41,0.28,11.13,6,11,3
83,Clothing & Textiles,Fabric Roll,Solid (Roll Form),2.91,4,0.2,0.11,23.81,7,64,1
84,Automotive Parts & Accessories,Engine Oil,Liquid,0.65,3,0.69,0.75,5.84,6,28,4
85,Clothing & Textiles,Bedding,Compressible Solid,8.81,2,0.58,0.07,9.25,7,3,2
86,Food & Beverages,Sauce/Ketchup,Viscous Liquid,8.69,4,0.52,0.89,12.69,4,15,2
87,E-commerce & Logistics Goods,Books,Solid,2.68,6,0.46,0.17,20.91,9,42,1
88,Cosmetics,Nail Polish,Liquid (Flammable),5.1,3,0.6,0.8,22.05,5,24,3
89,Chemical Products,Fertilizer,Granular Solid,7.53,3,0.79,0.12,19.97,8,58,2
90,Agriculture & Raw Materials,Grains,Granular Solid,3.04,5,0.72,0.07,12.14,5,38,1
91,E-commerce & Logistics Goods,Home Decor,Fragile Solid,3.23,9,0.36,0.05,5.63,8,9,2
92,Chemical Products,Fertilizer,Granular Solid,18.39,3,0.86,0.18,13.09,8,10,1
93,Food & Beverages,Snacks,Fragile Solid,4.48,7,0.41,0.12,13.25,3,24,2
94,Luxury & Specialty Items,Watch,Solid (Fragile),3.43,9,0.28,0.24,5.25,5,61,3
95,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,4.52,5,0.28,0.07,25.79,6,33,1
96,Food & Beverages,Flour,Powder,5.81,4,0.75,0.22,5.92,4,48,4
97,Chemical Products,Paint,Liquid,9.16,4,0.64,1,27.82,6,35,3
98,Agriculture & Raw Materials,Grains,Granular Solid,1.72,2,0.88,0.12,30.7,3,52,5
99,Food & Beverages,Ready-to-Eat Meal,Semi-solid,7.95,6,0.37,0.06,24,5,12,3
100,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,2.59,3,0.3,0.28,15.01,9,36,4
101,Food & Beverages,Edible Oil,Liquid,4.95,5,0.75,0.72,4.54,4,58,3
102,Cosmetics,Lipstick,Solid,1.35,6,0.57,0.23,8.03,7,35,2
103,Agriculture & Raw Materials,Seeds,Granular Solid,8.82,5,0.82,0.08,17.35,4,6,4
104,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),6.72,3,0.29,0.12,13.73,5,49,5
105,Luxury & Specialty Items,Premium Perfume,Liquid,9.52,4,0.44,0.87,31.99,6,34,4
106,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),12.26,3,0.53,0.29,15.94,8,7,4
107,Luxury & Specialty Items,Watch,Solid (Fragile),4.25,9,0.36,0.23,7.37,3,56,5
108,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),5.53,5,0.63,0.84,12.17,8,48,3
109,Automotive Parts & Accessories,Engine Oil,Liquid,2.9,5,0.62,0.85,11.87,5,37,4
110,Electronics & Consumer Goods,Smartphone,Solid (Fragile),4.52,9,0.26,0.23,9.86,3,56,5
111,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),1.8,9,0.33,0.29,7.1,5,68,2
112,Electronics & Consumer Goods,Tablet,Solid (Fragile),2.27,7,0.22,0.28,12.82,7,47,5
113,Food & Beverages,Edible Oil,Liquid,8.82,4,0.52,0.78,6.87,6,15,2
114,Agriculture & Raw Materials,Animal Feed,Granular Solid,18.23,2,0.8,0.25,18.64,9,32,4
115,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),9.97,2,0.42,0.09,30.83,9,59,2
116,Clothing & Textiles,T-shirt,Solid (Flexible),11.03,3,0.44,0.2,38.65,6,53,3
117,Chemical Products,Pesticide Liquid,Liquid,1.11,3,0.65,0.9,31.37,4,71,5
118,Food & Beverages,Ready-to-Eat Meal,Semi-solid,5.43,3,0.57,0.08,13.89,3,4,2
119,Pharmaceuticals & Healthcare,Ointment,Semi-solid,6.53,2,0.49,0.24,10.96,3,39,3
120,Chemical Products,Solvent,Liquid (Flammable),4.49,4,0.71,0.76,17.89,4,17,3
121,Food & Beverages,Sauce/Ketchup,Viscous Liquid,8.18,5,0.61,0.89,25.59,5,44,4
122,Automotive Parts & Accessories,Engine Part,Solid (Heavy),41.64,2,0.57,0.08,38.23,8,50,4
123,Luxury & Specialty Items,Jewelry,Solid (Fragile),2.49,9,0.25,0.09,9.44,4,61,1
124,E-commerce & Logistics Goods,Home Decor,Fragile Solid,1.35,8,0.34,0.3,12.22,8,35,1
125,Luxury & Specialty Items,Artwork,Highly Fragile Solid,2.41,8,0.38,0.15,7.7,7,51,1
126,Luxury & Specialty Items,Premium Perfume,Liquid,9.63,5,0.75,0.9,22.28,3,33,4
127,Chemical Products,Industrial Acid,Liquid (Corrosive),5.19,3,0.47,0.99,33.69,4,30,1
128,Electronics & Consumer Goods,Home Appliance,Solid,14.32,3,0.25,0.11,39.07,3,36,1
129,Pharmaceuticals & Healthcare,Capsules,Solid,5.68,6,0.51,0.28,23.99,8,71,2
130,Electronics & Consumer Goods,Headphones,Solid,5.9,2,0.45,0.08,28.14,3,53,1
131,Food & Beverages,Juice,Liquid,3.44,5,0.63,0.94,5.67,9,53,2
132,Food & Beverages,Dry Grains,Granular Solid,24.42,3,0.96,0.06,24.86,3,8,2
133,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),2.34,3,0.31,0.18,39.97,3,9,5
134,Clothing & Textiles,Bedding,Compressible Solid,1.89,5,0.37,0.08,11.75,7,16,5
135,Clothing & Textiles,Shoes,Solid,1.22,3,0.24,0.27,38.06,4,15,2
136,E-commerce & Logistics Goods,Toys,Solid,9.13,2,0.59,0.18,23.38,5,15,1
137,Cosmetics,Cream,Semi-solid,2.38,3,0.5,0.23,26.75,7,53,3
138,E-commerce & Logistics Goods,Home Decor,Fragile Solid,4.34,7,0.34,0.29,9.87,3,38,2
139,Electronics & Consumer Goods,Smartphone,Solid (Fragile),4.87,9,0.21,0.12,3.07,9,16,3
140,Automotive Parts & Accessories,Engine Oil,Liquid,1.23,3,0.56,0.7,23.79,8,33,2
141,Chemical Products,Lubricant,Liquid,3.53,3,0.73,0.99,7.29,8,60,5
142,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),8.15,5,0.42,0.8,25.61,5,25,3
143,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),4.19,3,0.61,0.95,10.61,3,13,2
144,Cosmetics,Perfume,Liquid (Volatile),2.08,4,0.79,0.79,16.48,4,55,3
145,Chemical Products,Fertilizer,Granular Solid,8.95,2,0.79,0.27,19.12,5,38,1
146,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,0.33,5,0.54,0.2,28.72,4,52,5
147,Food & Beverages,Juice,Liquid,6.45,3,0.63,0.86,24.12,6,30,4
148,Electronics & Consumer Goods,Laptop,Solid (Fragile),0.44,7,0.21,0.13,19.31,9,71,3
149,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),0.35,5,0.47,0.24,3.41,8,14,2
150,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),9.58,3,0.41,0.2,27.32,3,32,4
151,E-commerce & Logistics Goods,Toys,Solid,5.17,5,0.47,0.12,4.43,9,12,5
152,Food & Beverages,Juice,Liquid,8.83,3,0.6,0.83,39.01,9,71,1
153,Agriculture & Raw Materials,Seeds,Granular Solid,12.95,3,0.98,0.15,39.16,4,20,1
154,Clothing & Textiles,Shoes,Solid,11.26,5,0.33,0.19,7.03,7,52,3
155,Cosmetics,Lipstick,Solid,11.72,3,0.44,0.27,12.49,8,24,1
156,Cosmetics,Lipstick,Solid,6.31,6,0.32,0.09,16.95,6,25,2
157,E-commerce & Logistics Goods,Books,Solid,5.14,3,0.58,0.14,23.04,9,51,2
158,Automotive Parts & Accessories,Spare Part,Solid,13.97,2,0.46,0.11,31.87,5,4,5
159,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),9.02,4,0.22,0.23,8.91,3,65,4
160,Cosmetics,Nail Polish,Liquid (Flammable),9.8,4,0.45,0.83,7.22,6,4,2
161,Food & Beverages,Flour,Powder,23.32,5,0.76,0.3,8.67,7,14,3
162,Clothing & Textiles,Jeans,Solid (Flexible),8.58,4,0.28,0.08,25.82,6,45,3
163,Clothing & Textiles,Bedding,Compressible Solid,3.78,4,0.34,0.08,34.55,6,17,5
164,Cosmetics,Nail Polish,Liquid (Flammable),9.95,3,0.67,0.93,8.1,3,21,4
165,Food & Beverages,Frozen Food,Solid (Temp-Sensitive),9.92,2,0.37,0.18,42.61,7,43,5
166,Electronics & Consumer Goods,Laptop,Solid (Fragile),0.45,8,0.5,0.08,9.61,5,42,2
167,Automotive Parts & Accessories,Spare Part,Solid,4.22,3,0.4,0.21,34.19,4,34,2
168,Pharmaceuticals & Healthcare,Ointment,Semi-solid,2.62,5,0.26,0.22,26.04,5,21,1
169,Cosmetics,Makeup Powder,Powder,6.75,4,0.79,0.15,32.65,8,34,4
170,Electronics & Consumer Goods,Smartphone,Solid (Fragile),0.24,9,0.35,0.22,8.03,7,37,4
171,Food & Beverages,Edible Oil,Liquid,5.89,4,0.57,0.79,34.43,8,53,2
172,Agriculture & Raw Materials,Seeds,Granular Solid,5.15,5,0.81,0.08,5.52,6,8,2
173,Cosmetics,Makeup Powder,Powder,21.04,5,0.85,0.07,20.15,6,63,5
174,Pharmaceuticals & Healthcare,Syrup,Liquid,7.95,5,0.69,0.88,5.52,5,18,1
175,E-commerce & Logistics Goods,Mixed Merchandise,Mixed,1.64,4,0.52,0.09,6.86,4,59,3
176,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),5.34,3,0.61,0.74,21.58,3,28,5
177,Automotive Parts & Accessories,Engine Part,Solid (Heavy),16.17,2,0.23,0.09,38.24,4,30,1
178,Food & Beverages,Milk,Liquid,4.74,3,0.72,0.8,34.81,7,7,2
179,Pharmaceuticals & Healthcare,Syrup,Liquid,2.21,4,0.71,0.75,25.8,6,15,3
180,Luxury & Specialty Items,Premium Perfume,Liquid,8.65,5,0.77,0.89,8.42,4,58,4
181,Cosmetics,Lipstick,Solid,14.86,6,0.4,0.25,5.2,5,54,4
182,Electronics & Consumer Goods,Home Appliance,Solid,4.63,6,0.57,0.2,6.52,7,35,1
183,Electronics & Consumer Goods,Tablet,Solid (Fragile),1.57,9,0.45,0.05,2.39,3,51,5
184,Pharmaceuticals & Healthcare,Tablets,Solid,9.39,4,0.34,0.21,5.86,7,23,4
185,Luxury & Specialty Items,Artwork,Highly Fragile Solid,1.45,7,0.45,0.08,17.13,6,58,5
186,Agriculture & Raw Materials,Grains,Granular Solid,18.33,6,0.72,0.16,13.84,3,23,1
187,Chemical Products,Paint,Liquid,6.2,5,0.5,0.85,26.34,9,40,2
188,Chemical Products,Fertilizer,Granular Solid,21.71,4,0.99,0.2,33.85,8,54,1
189,Luxury & Specialty Items,Jewelry,Solid (Fragile),4.31,7,0.3,0.14,13.45,4,53,1
190,Electronics & Consumer Goods,Home Appliance,Solid,10.6,2,0.32,0.17,22.24,6,23,3
191,E-commerce & Logistics Goods,Home Decor,Fragile Solid,2.62,8,0.47,0.15,5.95,9,36,5
192,Food & Beverages,Milk,Liquid,2.18,5,0.49,0.93,18.73,4,3,1
193,Automotive Parts & Accessories,Engine Oil,Liquid,8.68,5,0.73,0.81,10.68,8,23,5
194,Chemical Products,Fertilizer,Granular Solid,1.67,4,0.76,0.14,27.05,9,27,1
195,Luxury & Specialty Items,Artwork,Highly Fragile Solid,2.57,7,0.54,0.2,16.49,6,34,5
196,Cosmetics,Makeup Powder,Powder,4.87,4,0.79,0.21,33.6,9,65,3
197,Agriculture & Raw Materials,Grains,Granular Solid,4.35,4,0.99,0.29,21.93,6,55,2
198,Agriculture & Raw Materials,Seeds,Granular Solid,22.92,5,0.92,0.09,20.01,9,67,5
199,Agriculture & Raw Materials,Seeds,Granular Solid,7.81,3,0.99,0.26,23.9,6,41,2
200,Cosmetics,Perfume,Liquid (Volatile),3.39,3,0.4,0.88,10.17,8,36,2
201,Agriculture & Raw Materials,Grains,Granular Solid,11.48,4,0.99,0.1,30.06,6,56,5
202,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),6.63,2,0.29,0.22,29.01,3,25,2
203,Electronics & Consumer Goods,Smartphone,Solid (Fragile),1.65,9,0.5,0.08,4.07,5,7,1
204,Chemical Products,Pesticide Granular,Granular Solid,18.72,2,0.77,0.2,23.3,7,13,3
205,Cosmetics,Makeup Powder,Powder,4.51,4,0.75,0.08,9.06,3,38,1
206,Cosmetics,Lotion,Liquid,4.1,3,0.62,0.88,14.7,4,18,1
207,Chemical Products,Fertilizer,Granular Solid,7.27,4,0.71,0.2,16.44,4,43,5
208,Agriculture & Raw Materials,Raw Cotton,Compressible Solid,14.33,5,0.45,0.23,24.99,7,34,4
209,Clothing & Textiles,Fabric Roll,Solid (Roll Form),4.13,4,0.35,0.14,30.92,7,5,3
210,Electronics & Consumer Goods,Laptop,Solid (Fragile),1.59,7,0.36,0.23,10.23,7,45,4
211,Chemical Products,Adhesive,Viscous Liquid,5.42,3,0.79,0.81,4.3,8,32,5
212,Chemical Products,Adhesive,Viscous Liquid,9.46,4,0.56,0.98,33.37,5,11,1
213,Electronics & Consumer Goods,Power Bank,Solid (Battery Risk),14.26,6,0.29,0.13,23.44,8,5,5
214,Electronics & Consumer Goods,Home Appliance,Solid,10.29,4,0.52,0.2,16.15,4,29,5
215,E-commerce & Logistics Goods,Books,Solid,5.17,3,0.4,0.09,23.33,5,16,2
216,Agriculture & Raw Materials,Seeds,Granular Solid,8.45,3,0.92,0.06,26.96,7,5,2
217,Agriculture & Raw Materials,Seeds,Granular Solid,14.4,6,0.82,0.29,13.42,8,48,2
218,E-commerce & Logistics Goods,Home Decor,Fragile Solid,1.89,7,0.25,0.13,4.09,7,50,2
219,Pharmaceuticals & Healthcare,Capsules,Solid,13.39,4,0.35,0.08,31.23,7,67,1
220,Electronics & Consumer Goods,Headphones,Solid,0.16,3,0.28,0.05,5.09,8,41,2
221,Luxury & Specialty Items,Jewelry,Solid (Fragile),0.83,7,0.28,0.28,7.3,9,42,2
222,Luxury & Specialty Items,Premium Perfume,Liquid,0.3,3,0.65,0.97,39.35,6,23,4
223,Pharmaceuticals & Healthcare,Syrup,Liquid,9.18,5,0.45,0.78,21.08,6,57,5
224,Cosmetics,Cream,Semi-solid,7.59,5,0.41,0.21,8.63,6,42,1
225,Chemical Products,Industrial Acid,Liquid (Corrosive),6.73,3,0.8,0.76,10.53,5,8,3
226,Food & Beverages,Flour,Powder,19.64,5,0.85,0.14,21.94,8,22,2
227,Electronics & Consumer Goods,Home Appliance,Solid,4.31,3,0.33,0.17,31.62,6,68,5
228,Pharmaceuticals & Healthcare,Medical Device,Solid (Fragile),1.99,9,0.57,0.23,9.5,4,66,2
229,Electronics & Consumer Goods,Tablet,Solid (Fragile),2.08,8,0.28,0.09,1.7,9,46,4
230,Electronics & Consumer Goods,Tablet,Solid (Fragile),3.41,7,0.25,0.08,17.16,3,14,3
231,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,4.85,9,0.54,0.29,3.33,9,10,5
232,Automotive Parts & Accessories,Engine Part,Solid (Heavy),40.22,2,0.38,0.08,43,7,48,1
233,Cosmetics,Makeup Powder,Powder,9.83,5,0.8,0.2,18.92,9,38,3
234,Clothing & Textiles,Jeans,Solid (Flexible),7.78,6,0.24,0.1,15.01,6,56,4
235,Agriculture & Raw Materials,Grains,Granular Solid,0.5,5,0.99,0.22,15.43,5,20,1
236,Cosmetics,Nail Polish,Liquid (Flammable),7.29,3,0.41,0.71,35.36,7,33,2
237,Agriculture & Raw Materials,Seeds,Granular Solid,7.64,4,0.74,0.27,9.96,3,36,4
238,Cosmetics,Nail Polish,Liquid (Flammable),7.18,4,0.68,0.73,7.11,9,59,5
239,Automotive Parts & Accessories,Car Battery,Solid (Hazardous),3.84,5,0.45,0.28,4.26,8,5,5
240,E-commerce & Logistics Goods,Books,Solid,4.16,4,0.58,0.12,33.36,5,32,5
241,Luxury & Specialty Items,Premium Perfume,Liquid,9.07,5,0.77,0.99,5.62,5,59,1
242,Agriculture & Raw Materials,Grains,Granular Solid,18.64,5,0.8,0.08,26.97,6,15,3
243,Pharmaceuticals & Healthcare,Ointment,Semi-solid,8.71,5,0.57,0.18,15.05,9,5,2
244,Chemical Products,Industrial Acid,Liquid (Corrosive),4.66,3,0.59,0.82,25.9,6,68,5
245,Food & Beverages,Edible Oil,Liquid,3.26,4,0.67,0.74,28.48,4,55,3
246,Chemical Products,Pesticide Liquid,Liquid,2.39,4,0.45,0.79,18.29,6,5,1
247,Food & Beverages,Milk,Liquid,8.21,3,0.51,0.71,28.79,6,58,2
248,E-commerce & Logistics Goods,Books,Solid,5.89,5,0.24,0.19,15.48,4,22,4
249,Cosmetics,Lipstick,Solid,11.5,3,0.58,0.24,37.43,7,6,4
250,Luxury & Specialty Items,Artwork,Highly Fragile Solid,1.66,9,0.31,0.05,9.56,4,28,2
251,Chemical Products,Solvent,Liquid (Flammable),0.26,5,0.64,0.88,15.36,3,53,1
252,Pharmaceuticals & Healthcare,Injectable,Liquid (Sterile),0.55,4,0.44,0.84,22.13,5,23,3
253,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,1.57,7,0.52,0.25,8.17,4,60,1
254,Pharmaceuticals & Healthcare,Syrup,Liquid,4.72,4,0.59,0.71,18.37,9,33,4
255,Automotive Parts & Accessories,Engine Part,Solid (Heavy),41.06,3,0.38,0.1,28.99,3,8,2
256,Food & Beverages,Juice,Liquid,4.21,4,0.71,0.97,8.4,5,67,2
257,Chemical Products,Fertilizer,Granular Solid,9.16,3,0.99,0.27,35.01,8,16,2
258,Chemical Products,Pesticide Liquid,Liquid,3.02,4,0.41,0.71,14.42,7,13,5
259,Electronics & Consumer Goods,Laptop,Solid (Fragile),3.72,7,0.31,0.16,2.15,7,45,4
260,Chemical Products,Lubricant,Liquid,4.68,5,0.52,0.73,17.96,7,44,1
261,E-commerce & Logistics Goods,Kitchenware,Fragile Solid,0.46,7,0.42,0.1,2.55,6,51,4
262,Cosmetics,Cream,Semi-solid,11.94,5,0.59,0.09,17.23,3,21,3
263,Agriculture & Raw Materials,Grains,Granular Solid,24.03,5,0.93,0.28,8.71,5,8,4
264,Food & Beverages,Juice,Liquid,3.04,4,0.58,0.88,29.26,3,50,3
265,E-commerce & Logistics Goods,Toys,Solid,2.18,3,0.55,0.16,36.09,8,3,5
266,Automotive Parts & Accessories,Brake Fluid,Liquid,0.53,5,0.48,0.93,8.17,8,63,2
267,Luxury & Specialty Items,Artwork,Highly Fragile Solid,0.93,8,0.41,0.13,7.15,5,45,5
268,E-commerce & Logistics Goods,Home Decor,Fragile Solid,3.5,8,0.55,0.15,3.77,7,39,5
269,Cosmetics,Perfume,Liquid (Volatile),1.07,3,0.41,0.77,19.25,7,61,1
270,Agriculture & Raw Materials,Seeds,Granular Solid,18.62,6,0.92,0.13,17.61,4,70,3
271,Clothing & Textiles,Shoes,Solid,14.68,5,0.54,0.22,3.37,7,36,1
272,Agriculture & Raw Materials,Animal Feed,Granular Solid,4.67,5,0.86,0.23,25.8,8,13,5
273,Agriculture & Raw Materials,Grains,Granular Solid,14.87,2,0.81,0.09,35.93,5,49,3
