Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Virgin Plastic (PP),66.7,5.5,0.7,5.54,14.9,10,22.9382
Recycled Cardboard,25.1,4.1,97.4,1.06,92.2,4,8.9876
Mushroom Mycelium,13.2,2.9,100,0.29,100,5,4.888
Bamboo Fiber,59.3,3.8,95.5,1.06,49.6,6,19.2428
Bamboo Fiber,47.2,4.3,98.4,1.02,34.5,6,15.785
Aluminum Foil,43.6,3.2,0,8.94,90.4,10,15.8472
Aluminum Foil,21.1,2.9,0,10.69,99.5,10,9.339
Mushroom Mycelium,18.4,5.1,100,0.17,100,6,7.084
Aluminum Foil,28,1.7,0,10.8,90.3,10,11.0894
Mushroom Mycelium,19.7,5,100,0.16,100,6,7.442
Bagasse (Sugarcane),30.8,5.8,95.5,0.92,65.2,5,11.2336
Bioplastic (PLA),59.1,4.1,81.3,2.36,59.6,9,19.5128
Bamboo Fiber,58.9,2.4,99,0.68,34.3,7,18.6574
Edible Seaweed Film,7.3,4.1,100,0.38,8.7,2,3.6786
Bamboo Fiber,47.2,6.3,98.5,0.84,32.8,6,16.3524
Edible Seaweed Film,7.7,7.5,100,0.3,3.6,2,4.8128
Aluminum Foil,43.1,1.3,0,11.69,92.3,10,15.6734
Aluminum Foil,26.1,3.7,0,11.74,94.3,10,11.2994
Edible Seaweed Film,9.3,1.3,100,0.3,6.3,4,3.4274
Bagasse (Sugarcane),38.6,8.7,99.5,1.18,68.6,6,14.4888
Mushroom Mycelium,13.5,2.8,100,0.25,100,4,4.94
Aluminum Foil,42.1,3.1,0,8.92,98.6,10,15.3468
Aluminum Foil,22.3,7.7,0,10.86,97.8,10,11.1764
Edible Seaweed Film,5.2,4.5,100,0.36,4.8,2,3.1724
Recycled Cardboard,25.4,6.5,99.2,1,81.6,5,9.8068
Bagasse (Sugarcane),26.8,0.9,95.4,1.26,51,6,8.66
Aluminum Foil,24.5,8.4,0,11.34,90.9,10,12.1562
Virgin Plastic (PP),78.8,3.4,1.5,4.7,20.6,10,25.7588
Bagasse (Sugarcane),33.7,1.3,98.8,1.05,60.7,5,10.7886
Virgin Plastic (PP),66.5,7.8,0.1,3.7,25.9,10,23.1782
Edible Seaweed Film,5.6,5.5,100,0.31,9.6,2,3.5728
Virgin Plastic (PP),87,2.2,1.8,4.15,23,10,27.744
Recycled Cardboard,18.4,9,92,1.4,86,3,8.528
Virgin Plastic (PP),75.6,5.5,3.8,3.64,28.8,10,25.2004
Bamboo Fiber,44.8,7.6,95.4,0.86,32.3,8,16.0274
Mushroom Mycelium,19,6.3,100,0.36,100,6,7.662
Bioplastic (PLA),61.2,2.8,92.8,2.33,53.9,9,19.7582
Aluminum Foil,40.1,0.7,0,10.34,96.8,10,14.3144
Aluminum Foil,29.9,9,0,8.78,99.1,10,13.4278
Aluminum Foil,39.9,8,0,11.38,93.5,10,16.659
Virgin Plastic (PP),84,5.5,1.2,4.15,27.4,10,27.8252
Bioplastic (PLA),70.5,3.1,84.4,1.68,56.1,9,22.5038
Virgin Plastic (PP),69,3.8,1.2,5.71,28.2,10,23.1256
Edible Seaweed Film,14.9,6.2,100,0.31,9.2,4,6.5736
Bagasse (Sugarcane),33.5,2.7,95.8,1.37,64.2,7,11.2056
Bamboo Fiber,47,9.1,95.3,0.81,45,7,17.102
Recycled Cardboard,30.3,1.6,99,1.25,87,4,9.846
Bamboo Fiber,47.2,5.2,97.6,0.96,32.2,7,16.0476
Bioplastic (PLA),68.1,9.1,86.2,1.97,44.2,8,23.6656
Bioplastic (PLA),57.9,2.2,82,2.24,49.5,8,18.579
Virgin Plastic (PP),74.6,7.1,2,5.88,11.7,10,25.8626
Mushroom Mycelium,23.7,6.2,100,0.28,100,5,9.026
Edible Seaweed Film,6.9,8,100,0.4,4.1,4,4.7418
Bamboo Fiber,57.9,6.1,96.9,1.19,48.9,7,19.5402
Edible Seaweed Film,7.2,8.4,100,0.37,4.5,2,4.945
Bioplastic (PLA),58.5,9.9,82.6,2.09,45.2,8,21.0476
Mushroom Mycelium,17.6,8.9,100,0.37,100,6,8.024
Bioplastic (PLA),64.7,5,87,2.31,44.3,9,21.4834
Mushroom Mycelium,13.8,1.8,100,0.23,100,6,4.726
Bioplastic (PLA),59.3,7.3,82.4,2.33,47,9,20.552
Bamboo Fiber,46,8.9,95.8,0.52,30.1,8,16.7138
Aluminum Foil,21.6,2.1,0,11.76,91.1,10,9.4798
Virgin Plastic (PP),85.7,6.5,2.1,4.39,10.9,10,28.7162
Bioplastic (PLA),50.3,7.4,82.5,2.23,49.4,9,17.8572
Bamboo Fiber,53.6,9.3,95.7,0.8,31.5,7,19.167
Bioplastic (PLA),64.7,8.1,82.3,1.66,40.7,8,22.2906
Mushroom Mycelium,18.3,3.1,100,0.33,100,5,6.486
Bioplastic (PLA),74.5,8,86.6,2.1,46.6,9,25.2768
Aluminum Foil,23.6,1.5,0,10.68,90.5,10,9.685
Edible Seaweed Film,13,4.9,100,0.47,9.9,4,5.6442
Bamboo Fiber,46,3.2,95.6,0.51,35.1,6,14.9918
Bamboo Fiber,42.8,3.3,96.5,1.15,35.3,8,14.1894
Bamboo Fiber,42.6,3.3,99.6,1.05,41.4,6,14.0972
Bamboo Fiber,54.1,1.5,95.1,0.7,48,8,16.924
Bioplastic (PLA),63.9,5.6,90.2,2.09,42.4,8,21.3832
Virgin Plastic (PP),63.1,5.4,3.2,5.47,17,10,21.81
Mushroom Mycelium,23.3,7.5,100,0.32,100,6,9.304
Recycled Cardboard,24.2,4.2,93.7,1.17,96.9,5,8.7602
Edible Seaweed Film,9.7,1.4,100,0.21,9.5,2,3.553
Virgin Plastic (PP),61.9,7.3,3.2,5.39,24,10,21.99
Recycled Cardboard,28.8,3.7,95.8,1.49,85,4,10.078
Bamboo Fiber,59.6,4.9,98.6,0.85,47.4,8,19.6252
Bagasse (Sugarcane),23.8,1.5,98.4,1.07,59.4,6,7.8852
Bioplastic (PLA),54.5,3.7,80.5,2.33,57.5,9,18.011
Virgin Plastic (PP),60.2,6.5,4.7,4.16,16,10,21.01
Aluminum Foil,33.5,4.7,0,10.18,94.9,10,13.5062
Virgin Plastic (PP),67.3,6.2,0.9,5.13,22.8,10,23.2304
Bamboo Fiber,48,2.6,97.1,0.85,43.9,7,15.4622
Edible Seaweed Film,14.4,5.6,100,0.52,2.1,2,6.2998
Bagasse (Sugarcane),23.4,8.2,98.1,1.35,68.8,5,9.8124
Bagasse (Sugarcane),28.1,8.3,97.7,1.04,68.1,5,11.1918
Bagasse (Sugarcane),34.9,9.5,95.1,0.93,64.7,6,13.5766
Aluminum Foil,41.3,8,0,10.88,97.5,10,16.971
Recycled Cardboard,25.3,4.4,93.8,1.31,87.8,4,9.1964
Recycled Cardboard,16.6,3.7,93.1,1.02,97.4,4,6.2992
Aluminum Foil,35,4.3,0,9.61,94.5,10,13.723
Bagasse (Sugarcane),37.2,7.1,97.9,0.99,54.6,7,13.5788
Recycled Cardboard,21.6,6.5,94,1.28,91.9,4,8.7022
Aluminum Foil,37.3,8,0,8.12,93.6,10,15.2268
Bamboo Fiber,41.6,5.8,99.9,1.15,49.7,8,14.5506
Bamboo Fiber,51.5,2.1,99.8,0.58,48.2,7,16.2996
Virgin Plastic (PP),64.1,2,1.5,5.07,23.9,10,20.9962
Bamboo Fiber,44.8,5.5,99.1,0.98,47.1,6,15.3918
Aluminum Foil,27,4.2,0,11.8,92.2,10,11.7356
Edible Seaweed Film,5.8,2.5,100,0.37,6.1,3,2.7518
Recycled Cardboard,33.6,7.8,91.2,1.31,99,4,12.684
Mushroom Mycelium,11.9,2.9,100,0.38,100,6,4.516
Bamboo Fiber,43,4.2,99.5,1.09,40.1,8,14.4978
Edible Seaweed Film,9.2,6.9,100,0.45,1.2,3,5.1176
Recycled Cardboard,29.4,7.3,94.5,1.46,85.7,5,11.3306
Bagasse (Sugarcane),23.8,5.8,99.5,1.05,54.2,7,9.1816
Virgin Plastic (PP),86.6,8.2,4.8,4.3,12,10,29.476
Bagasse (Sugarcane),29.3,7.4,95.8,1.16,69.5,7,11.303
Edible Seaweed Film,5.4,8.2,100,0.52,8.1,2,4.3678
Bamboo Fiber,47.8,3.3,96.1,0.65,36.5,7,15.587
Edible Seaweed Film,12.6,1.7,100,0.47,3.9,2,4.5762
Aluminum Foil,32.9,4.5,0,8.53,98.6,10,12.9288
Bagasse (Sugarcane),26.1,1.6,98.5,1.34,51.1,5,8.6758
Edible Seaweed Film,9.3,4,100,0.32,9.2,3,4.2356
Bamboo Fiber,47.9,9.9,97.5,0.93,33.5,8,17.659
Bamboo Fiber,52.3,9.7,95.8,1.18,47.6,7,18.9408
Bagasse (Sugarcane),31.2,5.4,98.9,1.29,57.8,6,11.3224
Virgin Plastic (PP),81.6,1.7,1.9,5.1,27.7,10,26.1546
Bagasse (Sugarcane),38.3,4.4,97.5,1.14,63.5,5,13.111
Recycled Cardboard,29.3,5.6,97.7,1.26,95.7,3,10.7306
Aluminum Foil,32.9,3.5,0,11.81,99.9,10,13.2822
Aluminum Foil,41.7,7.8,0,8.96,90.2,10,16.6616
Bioplastic (PLA),57.5,4.9,83.7,1.61,53.8,9,19.1344
Mushroom Mycelium,24,7,100,0.24,100,4,9.348
Bagasse (Sugarcane),21.4,3.2,95.6,0.91,65,7,7.632
Mushroom Mycelium,15.8,6.5,100,0.15,100,6,6.72
Mushroom Mycelium,13.9,3.2,100,0.12,100,4,5.154
Edible Seaweed Film,6.4,2.5,100,0.59,5.5,3,2.977
Mushroom Mycelium,18,9.2,100,0.17,100,6,8.194
Bioplastic (PLA),55.8,8,85.6,2.46,48.5,8,19.735
Mushroom Mycelium,16.9,2.3,100,0.31,100,4,5.822
Mushroom Mycelium,23.2,7.9,100,0.27,100,5,9.384
Virgin Plastic (PP),77.5,4.6,3.4,5.79,27.1,10,25.9338
Edible Seaweed Film,9.1,4.9,100,0.22,10,4,4.424
Recycled Cardboard,15.3,6.2,96.7,1.02,99.7,5,6.6546
Bagasse (Sugarcane),20.8,1.7,98.3,1.09,64,7,7.04
Edible Seaweed Film,13.4,4.7,100,0.32,0.1,4,5.6938
Recycled Cardboard,26,6.1,99.1,1.4,88,3,9.934
Bagasse (Sugarcane),25,7.9,97.8,1.12,63.2,6,10.1676
Recycled Cardboard,29.8,7.8,96.1,0.97,99.9,3,11.4742
Bagasse (Sugarcane),32.6,4.2,100,1.34,56.5,7,11.395
Bagasse (Sugarcane),24.2,1.4,96.4,1.04,58.7,7,7.9706
Mushroom Mycelium,21.3,2.5,100,0.28,100,4,7.196
Bagasse (Sugarcane),23,9.7,98.5,1.24,66,6,10.126
Mushroom Mycelium,14.1,6.5,100,0.23,100,4,6.226
Edible Seaweed Film,11.2,6.7,100,0.25,2.9,2,5.6142
Bamboo Fiber,41.2,1.2,96.8,0.56,37.3,8,12.9574
Edible Seaweed Film,8.8,1.9,100,0.46,5,3,3.492
Virgin Plastic (PP),62.6,8.9,3.5,4.82,25.5,10,22.563
Mushroom Mycelium,14,6.4,100,0.32,100,6,6.184
Virgin Plastic (PP),65.2,1.1,4.3,4.71,22.2,10,20.9876
Mushroom Mycelium,16.7,2.9,100,0.27,100,5,5.934
Bamboo Fiber,46.8,7.2,99.8,0.77,31.5,7,16.491
Aluminum Foil,23.6,0.9,0,11.97,93.4,10,9.7572
Bioplastic (PLA),56.5,5.3,86.6,1.51,44.7,8,18.9526
Mushroom Mycelium,17.6,2.1,100,0.18,100,6,5.946
Edible Seaweed Film,11,8.5,100,0.43,5.3,4,6.1254
Mushroom Mycelium,16,5.5,100,0.15,100,6,6.48
Virgin Plastic (PP),75,6.9,0.2,3.83,24.8,10,25.4864
Bagasse (Sugarcane),30.1,2.6,99.4,0.93,53.3,5,10.0894
Virgin Plastic (PP),70.4,9.2,0.8,5.48,20.5,10,25.135
Edible Seaweed Film,11.2,9.4,100,0.57,0.8,3,6.4924
Bioplastic (PLA),62,2.9,90.5,2.09,55.7,9,19.9766
Edible Seaweed Film,8.8,9.3,100,0.33,9.2,4,5.6776
Aluminum Foil,41.4,0.5,0,11.21,95.2,10,14.8216
Recycled Cardboard,18.4,5.2,98.1,1.47,88.7,5,7.3966
Recycled Cardboard,15.4,6.6,90.6,1.23,86.5,4,6.873
Bioplastic (PLA),63.2,4.3,91.6,1.56,52.4,8,20.6572
Bioplastic (PLA),74.5,2.1,91.7,2.3,54,8,23.532
Recycled Cardboard,22.6,1.5,95.2,1.36,84.2,5,7.5336
Virgin Plastic (PP),63,8.1,1.3,3.54,23.4,10,22.1912
Bioplastic (PLA),50.2,1.5,91.3,1.83,53.5,8,15.969
Bagasse (Sugarcane),37.4,8.9,98.6,1.19,53.2,6,14.2216
Recycled Cardboard,15,6.3,96.8,1.29,90.5,4,6.667
Virgin Plastic (PP),89.4,5.9,2.8,4.94,22.9,10,29.7322
Bamboo Fiber,41.5,5.2,95.5,1.11,35.8,8,14.3604
Bagasse (Sugarcane),31.8,5.1,96.4,1,54.4,5,11.3612
Recycled Cardboard,29.3,5.7,98.8,1.02,83.4,5,10.7372
Mushroom Mycelium,22.2,9.6,100,0.29,100,4,9.598
Bamboo Fiber,57.6,5.3,96.3,0.73,33.4,8,19.1492
Bioplastic (PLA),65.2,9,84.1,1.85,47.9,8,22.7342
Bamboo Fiber,58.1,7,97.7,1.01,46.7,7,19.8386
Bioplastic (PLA),69.8,3.9,90.8,2.31,58.3,9,22.6554
Bagasse (Sugarcane),32.4,4.3,95.6,0.99,59.8,6,11.2884
Edible Seaweed Film,7,4,100,0.28,4.5,2,3.547
Recycled Cardboard,26.7,7.7,92.5,1.35,97.9,4,10.5942
Mushroom Mycelium,20.7,2.4,100,0.35,100,5,7
Recycled Cardboard,33,9.4,96.8,1.3,89,4,13.002
Bagasse (Sugarcane),22.6,6.1,95.7,1.17,50.9,7,8.9422
Bagasse (Sugarcane),23.3,0.7,98.8,0.96,66.7,6,7.4586
Virgin Plastic (PP),78.4,1.1,1.6,3.94,19.2,10,24.7996
Bioplastic (PLA),51.4,3.3,90.8,1.75,46.2,8,16.8676
Bamboo Fiber,42.1,1.2,97.6,0.59,43.6,6,13.2208
Edible Seaweed Film,12.7,3.9,100,0.21,0.4,4,5.2212
Mushroom Mycelium,19.1,3.9,100,0.36,100,4,6.972
Mushroom Mycelium,21.8,7.5,100,0.27,100,6,8.844
Virgin Plastic (PP),60,2.1,0.5,5.55,23.9,10,19.8922
Recycled Cardboard,15.2,2.5,90.5,1.21,96.9,3,5.5582
Recycled Cardboard,33,8.5,91.9,1.38,98.1,4,12.7298
Aluminum Foil,29.7,1.2,0,10.87,91.7,10,11.4606
Recycled Cardboard,28.6,6.9,92.7,1.21,83.2,3,10.9256
Edible Seaweed Film,14.1,7.8,100,0.33,9.9,4,6.8162
Edible Seaweed Film,13.8,9.4,100,0.48,8.5,4,7.239
Bagasse (Sugarcane),23.3,7.8,98,0.94,60.7,6,9.5966
Mushroom Mycelium,17.7,1.5,100,0.13,100,6,5.786
Mushroom Mycelium,11,7.2,100,0.2,100,5,5.5
Bagasse (Sugarcane),25.4,5,99.7,1.28,53.5,7,9.469
Mushroom Mycelium,18.4,9.9,100,0.23,100,5,8.536
Aluminum Foil,30.8,4.9,0,9.28,98.6,10,12.5688
Virgin Plastic (PP),72.9,8.3,1.4,5.86,16.6,10,25.6988
Virgin Plastic (PP),60,5.1,3.5,3.58,24.4,10,20.3972
Aluminum Foil,24.3,1.6,0,8.9,99.7,10,9.5506
Virgin Plastic (PP),61.3,6,2.7,4.85,29.8,10,21.3004
Bagasse (Sugarcane),30,3.8,99.7,1.37,66.6,7,10.4808
Bagasse (Sugarcane),27.7,2,96.8,1.34,52.1,7,9.2738
Mushroom Mycelium,12.9,9.8,100,0.16,100,6,6.842
Edible Seaweed Film,11.2,6,100,0.45,8.8,3,5.4324
Mushroom Mycelium,15.7,2.3,100,0.13,100,6,5.426
Bamboo Fiber,51.4,8.1,95,0.64,45.5,6,18.087
Aluminum Foil,20.9,1.8,0,9.23,91.6,10,8.6728
Bioplastic (PLA),74.8,9.1,91.4,2.49,47.6,8,25.7728
Virgin Plastic (PP),61.7,9.9,1,3.7,24.4,10,22.3712
Virgin Plastic (PP),86.7,8.1,2.9,4.05,12.6,10,29.4248
Edible Seaweed Film,12.4,6.2,100,0.26,6.2,2,5.8196
Recycled Cardboard,28.2,2.9,92.7,1.46,81.7,4,9.6586
Virgin Plastic (PP),86.9,4.7,0.9,4.81,16.4,10,28.6092
Bagasse (Sugarcane),26.3,6.5,98.5,1.21,53.7,5,10.1746
Mushroom Mycelium,23.2,5.7,100,0.27,100,4,8.724
Bagasse (Sugarcane),23.2,3.3,96.6,0.96,59.7,6,8.2226
Edible Seaweed Film,10.6,6.9,100,0.47,6.6,3,5.5308
Mushroom Mycelium,25,4.3,100,0.25,100,6,8.84
Bamboo Fiber,44.6,8.3,96.8,1.12,44.4,6,16.2052
Edible Seaweed Film,8.2,3.7,100,0.32,1.5,3,3.831
Aluminum Foil,27.6,2.2,0,8.29,97,10,10.604
Aluminum Foil,42.1,9.9,0,11.68,92.9,10,17.9502
Bagasse (Sugarcane),38.1,1.8,96.4,1.35,55.7,5,12.3286
Edible Seaweed Film,8.7,3.5,100,0.23,9.3,2,3.8874
Virgin Plastic (PP),65.3,2.3,1.3,4.89,27,10,21.404
Mushroom Mycelium,16.6,5.5,100,0.11,100,5,6.652
Aluminum Foil,29,6.8,0,11.44,93.5,10,13.041
Bagasse (Sugarcane),23.3,3.6,95.4,1.3,52.1,5,8.4258
Bioplastic (PLA),63,6.2,88.8,2.24,55,8,21.298
Bagasse (Sugarcane),38.3,3,97.8,1.34,61.6,6,12.7348
Aluminum Foil,26.6,9.6,0,9.1,92.3,10,12.6954
Aluminum Foil,32,3.5,0,11.09,90.1,10,12.8878
Bioplastic (PLA),53.4,7,82.6,2.08,54.1,8,18.6278
Aluminum Foil,21.4,9.9,0,11.71,93.1,10,11.7458
Bagasse (Sugarcane),32.9,7.9,97.8,0.98,52.5,7,12.531
Aluminum Foil,30.5,1,0,10.64,94.3,10,11.5894
Bioplastic (PLA),54.8,2.7,91.4,1.86,50.9,9,17.7202
Aluminum Foil,37.1,6.7,0,8.77,95.6,10,14.9028
Mushroom Mycelium,21.7,8,100,0.21,100,4,8.952
Bagasse (Sugarcane),27.4,9.8,97.5,1.36,60.4,6,11.5112
Bioplastic (PLA),63.7,5.1,87.7,1.53,48.2,8,21.0496
Recycled Cardboard,19.1,2.3,94.8,1.44,100,3,6.708
Mushroom Mycelium,18.8,6,100,0.19,100,4,7.478
Edible Seaweed Film,9.3,1.7,100,0.57,6.8,3,3.6004
Bioplastic (PLA),65.1,7.5,93.8,2.07,58.5,8,22.277
Bioplastic (PLA),54,5,86,2.29,49.6,9,18.2588
