material_id,base_category,material_form,tensile_strength_mpa,thickness_mm,weight_capacity_kg,moisture_barrier_score,leakage_resistance_score,biodegradability_score,co2_kg_per_kg,recyclability_percent,cost_per_kg_inr
90,Paper,Molded Pulp,18.53,1.21,9.88,0.208,0.152,1,0.674,82.1,76.36
91,Sustainable,Bagasse,20.49,4.47,35.22,0.335,0.377,1,0.484,78.7,97.94
92,Plastic,HDPE,21.43,5.63,45.3,0.986,0.968,0.048,1.472,75.1,159.36
93,Plastic,PP,29.81,5.96,73.95,0.875,1,0.042,1.536,76.6,128.65
94,Glass,Borosilicate Glass,73.89,7.56,201.86,1,0.862,0,1.038,98.9,85.49
95,Metal,Tinplate (Coated Steel),251.45,6.97,527.58,1,0.963,0,2.277,92,112.88
96,Plastic,PP,31.72,5.67,88.68,0.859,0.759,0.043,1.629,74.3,153.55
97,Metal,Aluminum Foil (Thin Gauge),66.85,7.16,147.4,0.968,0.788,0,6.73,97.1,244.02
98,Paper,Corrugated Board,29.4,7.23,93.42,0.332,0.203,0.959,0.755,100,84.66
99,Glass,Borosilicate Glass,73.47,4.07,92.8,1,1,0,1.283,91.5,85.49
100,Glass,Borosilicate Glass,75.47,5.55,223.87,0.997,0.878,0,1.467,86,82.17
101,Paper,Kraft Paper,29,6.85,103.84,0.299,0.188,0.923,0.839,88,61.42
102,Sustainable,Seaweed-based Film,18.5,4.9,34.64,0.651,0.668,1,0.566,73.6,117.86
103,Metal,Steel (304 Grade),395.63,6.57,1251.25,1,0.915,0,2.67,87.1,169.32
104,Paper,Corrugated Board,31.23,7.23,80.16,0.371,0.226,0.927,0.797,100,101.26
105,Plastic,PP,24.66,6.92,92.8,0.944,0.991,0.043,1.203,84.9,150.23
106,Glass,Borosilicate Glass,74.92,6.22,177.9,1,0.9,0,1.273,91.8,79.68
107,Glass,Tempered Glass,79.15,4.57,150.95,0.946,1,0,1.54,81.7,88.81
108,Paper,Molded Pulp,18.18,7.07,62.73,0.189,0.151,0.993,0.644,83.8,74.7
109,Glass,Soda-Lime Glass,70.63,1.47,35.98,1,0.882,0,1.195,90.2,65.57
110,Metal,Aluminum Alloy 3003,106.93,7.95,450.8,1,0.925,0,6.88,100,307.1
111,Paper,Kraft Paper,28.26,7.59,70.1,0.294,0.164,1,0.847,87.6,72.21
112,Paper,Corrugated Board,38.27,7.18,100.73,0.328,0.265,0.938,1.025,93.1,101.26
113,Plastic,PP,34.94,0.54,7.79,0.887,0.903,0.038,1.78,70.5,165.17
114,Sustainable,Hemp Fiber Board,28.72,4.49,53.69,0.481,0.488,1,0.801,80,106.24
115,Paper,Kraft Paper,23.58,3.44,28.9,0.286,0.204,0.938,0.684,95.8,53.95
116,Bioplastic,PLA,50.44,0.47,11.97,0.698,0.6,0.897,0.941,64.8,265.6
117,Glass,Borosilicate Glass,75.99,2.38,53.49,0.939,1,0,1.307,90.8,78.85
118,Paper,Molded Pulp,18.44,0.38,2.68,0.214,0.161,1,0.658,83,73.87
119,Sustainable,Hemp Fiber Board,28.66,0.43,5.27,0.457,0.413,0.983,0.726,83.7,123.67
120,Glass,Tempered Glass,82.36,5.67,171.95,0.935,0.965,0,1.066,95,85.49
121,Metal,Steel (304 Grade),400.73,3.8,704.1,0.981,1,0,2.321,92.7,139.44
122,Sustainable,Bagasse,19.82,4.05,43.8,0.365,0.382,0.98,0.59,70.8,98.77
123,Sustainable,Bagasse,19.49,1.98,20.92,0.36,0.337,1,0.534,75,106.24
124,Paper,Corrugated Board,33.36,1.12,13.47,0.326,0.226,0.986,0.905,98,114.54
125,Sustainable,Bagasse,19.82,5,47.72,0.327,0.404,0.918,0.557,73.2,92.96
126,Sustainable,Bagasse,19.68,5.73,33.41,0.377,0.396,1,0.427,83,73.87
127,Sustainable,Mycelium Packaging,14.55,3.8,26.22,0.192,0.236,0.985,0.392,60.9,121.18
128,Metal,Aluminum Foil (Thin Gauge),63.93,4.52,148.8,1,0.958,0,5.622,100,236.55
129,Plastic,HDPE,20.6,7.13,57.36,0.884,0.982,0.049,1.439,75.9,164.34
130,Sustainable,Hemp Fiber Board,28.28,4.97,74.05,0.476,0.491,0.948,0.878,76.1,141.93
131,Metal,Aluminum Foil (Thin Gauge),65.27,7.12,234.43,1,0.826,0,5.53,100,253.15
132,Sustainable,Bagasse,19.4,5.03,52.54,0.348,0.388,0.958,0.499,77.6,109.56
133,Paper,Molded Pulp,18.79,2.87,29.38,0.202,0.148,1,0.688,81.3,86.32
134,Bioplastic,PLA,50.99,4.38,91.24,0.709,0.633,0.789,1.147,58.1,188.41
135,Metal,Steel (304 Grade),411.02,1.05,217.98,0.929,0.821,0,2.082,96.5,116.2
136,Plastic,PET,49.51,3.42,55.38,0.933,0.871,0.019,2.254,79.4,181.77
137,Sustainable,Mycelium Packaging,15.35,6.45,30.46,0.191,0.217,0.976,0.311,70,89.64
138,Plastic,PP,27.96,7.94,79.27,0.99,0.96,0.037,1.367,80.8,141.93
139,Glass,Soda-Lime Glass,72.04,7.39,223.17,0.96,1,0,1.193,90.3,67.23
140,Metal,Steel (304 Grade),408.53,6.54,788.32,1,0.943,0,2.746,85.9,192.56
141,Metal,Aluminum Alloy 3003,109.44,2.05,80.85,0.943,0.946,0,6.267,100,235.72
142,Metal,Aluminum Foil (Thin Gauge),63.76,2.88,54.01,1,0.779,0,7.526,92.7,307.1
143,Sustainable,Hemp Fiber Board,27.33,4.38,42.4,0.434,0.425,0.997,0.695,85.3,109.56
144,Glass,Tempered Glass,82.19,2.35,57.76,0.974,0.987,0,1.479,83.4,89.64
145,Metal,Aluminum Foil (Thin Gauge),64.64,5.9,113.95,1,0.886,0,5.469,100,276.39
146,Glass,Tempered Glass,79.62,1.15,36.76,0.954,0.85,0,1.207,91.1,77.19
147,Paper,Kraft Paper,27.24,2.05,17.39,0.315,0.196,0.912,0.822,88.9,68.89
148,Metal,Steel (304 Grade),390.67,4.34,915.81,1,1,0,2.209,94.5,141.1
149,Paper,Kraft Paper,29.04,1.13,16.31,0.302,0.163,0.998,0.886,85.7,66.4
150,Glass,Tempered Glass,78,1.18,29.86,1,0.892,0,1.355,86.9,97.94
151,Sustainable,Hemp Fiber Board,28.01,5.83,72.64,0.429,0.462,1,0.819,79,138.61
152,Metal,Aluminum Alloy 3003,111.01,0.25,14.61,0.986,1,0,5.888,100,244.85
153,Bioplastic,PLA,50.22,7.82,196.98,0.668,0.765,0.811,1.312,52.8,224.93
154,Metal,Steel (304 Grade),399.63,3.89,524.41,1,0.925,0,2.53,89.3,136.12
155,Metal,Aluminum Alloy 3003,106.93,1.52,82.35,0.927,0.911,0,6.716,100,275.56
156,Glass,Soda-Lime Glass,70.13,6.61,162.36,0.921,1,0,1.045,95.8,63.08
157,Metal,Aluminum Rigid (Can Grade),93.92,0.75,25.95,1,0.893,0,5.732,100,248.17
158,Plastic,PP,28.03,3.46,46.4,0.923,0.796,0.039,1.36,81,113.71
159,Glass,Borosilicate Glass,75.02,1.39,33.4,0.926,0.897,0,1.443,86.7,91.3
160,Plastic,HDPE,20.73,6.19,50.73,0.874,0.908,0.05,1.436,76,163.51
161,Glass,Tempered Glass,78.7,2.56,80.82,0.938,0.888,0,1.436,84.6,91.3
162,Metal,Aluminum Rigid (Can Grade),92.24,4.16,129.82,0.957,0.864,0,8.058,97.3,294.65
163,Glass,Tempered Glass,80.4,5.4,161.85,1,1,0,1.322,87.8,100.43
164,Paper,Corrugated Board,37.52,6.63,74.73,0.351,0.202,0.945,1.006,93.9,108.73
165,Paper,Corrugated Board,29.45,6.58,64.22,0.366,0.251,0.928,0.764,100,100.43
166,Sustainable,Seaweed-based Film,18.41,0.4,3.91,0.601,0.575,1,0.565,73.7,131.97
167,Paper,Corrugated Board,29.08,1.27,19.84,0.357,0.224,0.89,0.785,100,111.22
168,Sustainable,Hemp Fiber Board,27.41,3.49,40.17,0.426,0.463,1,0.769,81.6,136.12
169,Metal,Tinplate (Coated Steel),247.31,2.99,360.39,1,0.863,0,1.927,98.3,122.01
170,Metal,Aluminum Alloy 3003,109.84,2.88,95.5,0.946,1,0,5.965,100,203.35
171,Paper,Molded Pulp,19.38,7.23,65.72,0.188,0.141,1,0.689,81.2,60.59
172,Sustainable,Mycelium Packaging,15.29,2.85,13.27,0.205,0.22,0.935,0.29,72.3,105.41
173,Metal,Tinplate (Coated Steel),243.39,4.78,534.24,0.938,1,0,2.462,88.7,117.86
174,Plastic,HDPE,25.46,7.13,83.76,1,1,0.048,1.845,66.3,179.28
175,Sustainable,Seaweed-based Film,18.05,4.03,24.8,0.662,0.712,0.979,0.552,74.5,151.06
176,Sustainable,Seaweed-based Film,17.8,0.49,4.59,0.668,0.567,0.901,0.631,69.5,143.59
177,Metal,Aluminum Foil (Thin Gauge),64.28,0.23,6.12,1,0.865,0,7.203,94.5,228.25
178,Plastic,PET,55.49,7.3,133.51,0.932,0.828,0.021,2.449,75.9,144.42
179,Glass,Tempered Glass,81.61,7.29,289.25,1,0.913,0,1.323,87.8,93.79
180,Glass,Borosilicate Glass,74.72,0.45,12,1,1,0,1.184,94.5,94.62
181,Metal,Aluminum Alloy 3003,110.2,6.79,396.67,0.926,1,0,6.365,100,209.16
182,Glass,Borosilicate Glass,76.64,7.41,190.9,0.937,1,0,1.353,89.4,98.77
183,Sustainable,Bagasse,19.96,3.52,27.88,0.365,0.383,1,0.547,74,92.13
184,Paper,Corrugated Board,27.64,2.67,35.64,0.353,0.218,0.948,0.728,100,92.96
185,Metal,Aluminum Foil (Thin Gauge),64.08,2.66,65.46,0.951,1,0,5.389,100,275.56
186,Glass,Soda-Lime Glass,71.87,7.76,214.69,0.939,1,0,0.943,99.6,63.91
187,Glass,Soda-Lime Glass,68.02,5.64,155.59,0.949,0.868,0,1.168,91.2,69.72
188,Sustainable,Mycelium Packaging,14.93,3.19,19.53,0.202,0.252,1,0.273,74.3,119.52
189,Plastic,HDPE,23.75,1.22,11.14,0.891,0.79,0.053,1.727,69.1,181.77
190,Paper,Molded Pulp,17.42,3.36,17.87,0.2,0.138,0.989,0.615,85.4,79.68
191,Plastic,PET,45.33,7.54,128.58,0.885,0.874,0.021,2.014,83.7,188.41
192,Plastic,PET,45.16,4.94,119.59,0.902,0.766,0.02,2.006,83.9,135.29
193,Sustainable,Mycelium Packaging,14.62,6.28,33.78,0.204,0.232,1,0.315,69.5,85.49
194,Sustainable,Hemp Fiber Board,28.66,5.74,52.74,0.432,0.507,0.935,0.732,83.4,98.77
195,Metal,Aluminum Foil (Thin Gauge),65.99,3.59,115.5,1,0.761,0,6.909,96.1,302.95
196,Paper,Molded Pulp,16.89,1.74,10.23,0.204,0.157,1,0.59,86.8,59.76
197,Metal,Aluminum Alloy 3003,106.95,6.36,304.95,1,0.853,0,8.046,97.4,237.38
198,Paper,Corrugated Board,36.29,5.9,66.07,0.362,0.2,0.963,0.992,94.4,93.79
199,Plastic,PP,25.58,5.51,44.17,0.953,0.89,0.042,1.259,83.5,186.75
200,Glass,Tempered Glass,77.71,6.3,154.22,1,0.829,0,1.113,93.7,110.39
201,Metal,Steel (304 Grade),391,5.2,961.3,1,0.982,0,2.277,93.4,158.53
202,Sustainable,Bagasse,20.4,1.67,14.11,0.326,0.398,0.972,0.465,80.1,75.53
203,Glass,Tempered Glass,80.21,3.14,110.07,1,0.954,0,1.476,83.5,108.73
204,Metal,Steel (304 Grade),404.88,2.59,500.14,1,1,0,2.234,94.1,122.01
205,Sustainable,Mycelium Packaging,14.87,5.02,39.96,0.186,0.23,1,0.3,71.2,87.15
206,Glass,Soda-Lime Glass,68.98,7.22,256.36,1,0.846,0,0.986,98,57.27
207,Bioplastic,PLA,49.25,6.97,187.35,0.668,0.774,0.882,0.945,64.6,217.46
208,Metal,Aluminum Alloy 3003,109.88,3.36,197.47,0.995,1,0,8.143,96.9,275.56
209,Paper,Molded Pulp,18.33,5.52,40.35,0.193,0.138,1,0.664,82.7,71.38
210,Sustainable,Hemp Fiber Board,28.69,7.15,104.85,0.435,0.504,0.993,0.838,78.1,121.18
211,Sustainable,Mycelium Packaging,14.98,3.02,22.63,0.206,0.265,1,0.274,74.1,88.81
212,Sustainable,Bagasse,19.8,8,50.77,0.341,0.38,0.906,0.472,79.6,77.19
213,Sustainable,Mycelium Packaging,14.77,5.04,23.25,0.205,0.214,0.912,0.287,72.7,109.56
214,Sustainable,Mycelium Packaging,15.09,5.08,37.04,0.213,0.253,1,0.265,75.2,112.88
215,Metal,Aluminum Alloy 3003,107.84,3.68,186.61,1,0.897,0,7.054,100,307.93
216,Glass,Borosilicate Glass,75.9,2.85,92.6,0.97,0.838,0,1.135,95.9,81.34
217,Paper,Corrugated Board,30.1,4.73,64.74,0.352,0.237,1,0.798,100,79.68
218,Paper,Kraft Paper,26.85,2.25,21.22,0.292,0.204,0.961,0.802,89.9,78.02
219,Sustainable,Hemp Fiber Board,28.16,5.31,44.56,0.464,0.531,0.958,0.701,85,106.24
220,Plastic,PP,26.25,5.64,72.1,0.968,0.752,0.037,1.276,83.1,171.81
221,Metal,Aluminum Alloy 3003,109.06,7.25,392.65,0.948,0.81,0,6.285,100,198.37
222,Paper,Kraft Paper,28.49,3.17,41.43,0.316,0.216,1,0.821,89,80.51
223,Glass,Borosilicate Glass,76.96,6.27,174.87,1,0.883,0,1.228,93.2,73.87
224,Glass,Soda-Lime Glass,69.76,7.89,163.47,0.962,0.813,0,1.143,92.1,55.61
225,Sustainable,Mycelium Packaging,15.43,7.54,56.4,0.203,0.246,0.977,0.368,63.6,116.2
226,Glass,Borosilicate Glass,74.28,5.35,156.12,0.99,0.919,0,1.225,93.2,94.62
227,Metal,Aluminum Alloy 3003,109.88,7.5,296.2,1,0.83,0,7.256,100,278.05
228,Paper,Corrugated Board,29.72,2,30.56,0.362,0.221,1,0.788,100,83
229,Glass,Tempered Glass,81.86,0.47,20.31,0.968,0.989,0,1.33,87.6,87.15
230,Glass,Tempered Glass,81.3,4.33,126.94,0.975,1,0,1.514,82.4,120.35
231,Plastic,PP,25.9,7.3,93.2,0.893,0.966,0.039,1.296,82.6,205.01
232,Plastic,HDPE,20.31,2.85,19.55,0.941,0.916,0.049,1.411,76.6,161.02
233,Paper,Kraft Paper,27.76,3.72,52.15,0.322,0.207,0.922,0.828,88.6,72.21
234,Glass,Soda-Lime Glass,71.36,2.5,63.78,1,0.882,0,0.959,99.1,61.42
235,Sustainable,Hemp Fiber Board,27.56,2.23,18.29,0.431,0.522,0.901,0.609,89.6,97.94
236,Metal,Aluminum Alloy 3003,108.72,7.83,409.81,1,1,0,7.552,99.9,253.15
237,Metal,Aluminum Rigid (Can Grade),96.04,6.15,270.87,1,1,0,7.368,100,273.07
238,Glass,Borosilicate Glass,74.47,2.99,85.55,1,0.996,0,1.219,93.4,67.23
239,Glass,Tempered Glass,80.39,5.01,172.13,1,0.949,0,1.124,93.4,107.07
240,Metal,Aluminum Alloy 3003,111.57,6.92,228.98,1,0.862,0,7.586,99.8,288.84
241,Glass,Borosilicate Glass,73.71,2.22,66.63,1,0.989,0,1.475,85.8,97.11
242,Metal,Aluminum Foil (Thin Gauge),64.05,3.84,72.63,1,0.951,0,6.755,97,200.03
243,Glass,Tempered Glass,79.99,4.43,113.47,0.939,0.818,0,1.446,84.3,105.41
244,Glass,Soda-Lime Glass,71.09,3.41,105.34,0.968,1,0,1.041,96,63.91
245,Paper,Molded Pulp,17.98,4.43,42.15,0.2,0.14,1,0.655,83.1,59.76
246,Glass,Soda-Lime Glass,68.35,1.64,47.01,0.945,1,0,0.808,100,43.16
247,Metal,Aluminum Alloy 3003,109.07,6.79,280.86,1,1,0,6.424,100,217.46
248,Glass,Soda-Lime Glass,69.14,7.44,279.15,1,0.997,0,0.795,100,43.99
249,Paper,Kraft Paper,22.26,7.57,65.15,0.289,0.175,0.935,0.652,97.4,60.59
250,Glass,Borosilicate Glass,73.39,3.85,96.72,1,0.801,0,1.33,90.1,68.89
251,Plastic,HDPE,25.48,7.41,58.16,0.912,0.953,0.049,1.808,67.2,146.08
252,Sustainable,Mycelium Packaging,15.37,6.66,49.13,0.188,0.21,0.939,0.334,67.4,90.47
253,Sustainable,Seaweed-based Film,18.39,1.7,11.31,0.621,0.688,0.99,0.562,73.9,131.14
254,Sustainable,Mycelium Packaging,14.75,1.02,4.58,0.195,0.218,0.945,0.289,72.5,92.13
255,Glass,Tempered Glass,78.5,6.79,200.06,0.926,0.823,0,1.501,82.8,100.43
256,Paper,Corrugated Board,38.84,7.89,111.54,0.325,0.249,0.924,1.052,92,117.86
257,Paper,Corrugated Board,30.94,7.39,118.42,0.351,0.268,1,0.827,100,97.94
258,Metal,Tinplate (Coated Steel),255.17,4.21,519.86,1,1,0,2.147,94.4,126.16
259,Sustainable,Bagasse,20.3,2.9,18.74,0.364,0.356,0.98,0.577,71.7,82.17
260,Metal,Aluminum Foil (Thin Gauge),65.65,6.97,245.93,0.992,0.83,0,6.602,97.9,228.25
261,Plastic,HDPE,25.95,1.8,21.71,0.881,0.818,0.05,1.852,66.1,151.89
262,Glass,Soda-Lime Glass,68.23,0.67,14.09,1,1,0,0.895,100,57.27
263,Paper,Molded Pulp,15.39,0.24,1.8,0.202,0.135,0.938,0.543,89.4,82.17
264,Sustainable,Hemp Fiber Board,27.37,6.64,55.51,0.431,0.426,0.942,0.889,75.6,140.27
265,Glass,Borosilicate Glass,76.6,7.82,300.38,1,1,0,1.087,97.4,71.38
266,Paper,Corrugated Board,29.94,4.27,42.21,0.37,0.254,0.927,0.756,100,89.64
267,Plastic,PET,53.73,4.45,100.06,0.877,0.975,0.021,2.481,75.3,203.35
268,Plastic,HDPE,22.74,3.35,35.63,0.881,0.869,0.053,1.676,70.3,125.33
269,Metal,Steel (304 Grade),397.7,0.3,35.89,0.931,1,0,2.568,88.7,158.53
270,Bioplastic,PLA,51.17,0.98,19.08,0.682,0.815,0.903,1.108,59.4,161.02
271,Paper,Molded Pulp,19.41,7.51,61.4,0.188,0.125,1,0.707,80.2,66.4
272,Metal,Aluminum Foil (Thin Gauge),66.04,0.48,10.74,0.964,0.964,0,7.878,90.7,244.02
273,Metal,Steel (304 Grade),409.33,5.47,969.04,1,1,0,2.184,94.9,170.15
274,Metal,Aluminum Foil (Thin Gauge),66.67,2.42,79.41,1,0.843,0,6.854,96.4,225.76
275,Metal,Aluminum Alloy 3003,110.04,4.77,227.25,1,0.918,0,6.633,100,290.5
276,Glass,Borosilicate Glass,75.25,3.66,140.72,0.925,0.896,0,1.342,89.7,72.21
277,Glass,Borosilicate Glass,76.07,3.94,126.51,0.963,1,0,1.459,86.2,70.55
278,Plastic,HDPE,24.51,2.72,33.68,1,0.892,0.051,1.813,67.1,145.25
279,Plastic,HDPE,23.3,2.3,25.25,0.886,0.904,0.049,1.67,70.5,142.76
280,Sustainable,Hemp Fiber Board,28.77,5.82,58.56,0.426,0.411,0.937,0.728,83.6,131.14
