product_id,product_category_name,product_weight_kg,product_volume_inch,length_inch,width_inch,height_inch,final_category
P000061,Packaged Snack Box,2.29,559.55,9.97,6.77,8.29,Food & Beverages
P000062,Home Utility Item,9,1904.38,36.58,10.56,4.93,Home & Living
P000063,Personal Care Product,1.28,498.96,6.88,7.74,9.37,Personal Care
P000064,Folded Apparel,2.85,389.8,13.07,11.34,2.63,Apparel & Fashion
P000065,Cosmetic Kit,2.72,344.85,5.94,9.58,6.06,Cosmetics & Beauty
P000066,Industrial Equipment Part,63.07,11434.14,51.02,19.37,11.57,Industrial Goods
P000067,Medicine Box,0.8,61.95,5.21,4.7,2.53,Pharmaceuticals
P000068,Packaged Snack Box,0.65,442.58,6.84,9.31,6.95,Food & Beverages
P000069,Folded Apparel,1.13,87.13,10.25,7.59,1.12,Apparel & Fashion
P000070,Packaged Snack Box,3.65,626.76,8.55,11.09,6.61,Food & Beverages
P000071,Medicine Box,0.9,39.63,5,2.59,3.06,Pharmaceuticals
P000072,Home Utility Item,9.56,6328,13.44,25.3,18.61,Home & Living
P000073,Packaged Snack Box,4.94,654.06,8.56,10.41,7.34,Food & Beverages
P000074,Medicine Box,0.84,74.23,6.06,4.88,2.51,Pharmaceuticals
P000075,Consumer Electronic Device,6.33,2471.89,37.95,15.29,4.26,Electronics
P000076,Cosmetic Kit,0.89,64.62,4.92,3.54,3.71,Cosmetics & Beauty
P000077,Consumer Electronic Device,5.51,349.1,10.09,12.72,2.72,Electronics
P000078,Personal Care Product,0.9,146.11,7.88,5.08,3.65,Personal Care
P000079,Home Utility Item,8.1,6533.35,22.22,28.63,10.27,Home & Living
P000080,Industrial Equipment Part,18.42,35814.87,46.37,30.03,25.72,Industrial Goods
P000081,Folded Apparel,2.78,206.37,12.36,6.23,2.68,Apparel & Fashion
P000082,Consumer Electronic Device,13.45,17360.4,42.5,27.75,14.72,Electronics
P000083,Packaged Snack Box,0.44,302.07,10.43,5.09,5.69,Food & Beverages
P000084,Personal Care Product,0.82,183.54,4.9,4.63,8.09,Personal Care
P000085,Folded Apparel,0.4,757.99,16.35,9.76,4.75,Apparel & Fashion
P000086,Cosmetic Kit,2.29,377.94,7.55,8.47,5.91,Cosmetics & Beauty
P000087,Toy Action Figure,0.26,99.29,8.59,3.43,3.37,Toys
P000088,Medicine Box,0.63,49.43,6.5,5.07,1.5,Pharmaceuticals
P000089,Consumer Electronic Device,7.94,211.54,48.34,5.03,0.87,Electronics
P000090,Cosmetic Kit,0.4,159.21,3.53,7.83,5.76,Cosmetics & Beauty
P000091,Toy Action Figure,0.81,79.71,6.12,4.57,2.85,Toys
P000092,Toy Action Figure,1.45,112.92,10.65,6.93,1.53,Toys
P000093,Consumer Electronic Device,6.9,7674.1,23.47,22.55,14.5,Electronics
P000094,Home Utility Item,5.29,7419.4,34.07,20.22,10.77,Home & Living
P000095,Folded Apparel,2.52,443.95,16.82,7.95,3.32,Apparel & Fashion
P000096,Personal Care Product,0.5,81.54,3.26,7.25,3.45,Personal Care
P000097,Personal Care Product,1.16,298.41,5.52,5.98,9.04,Personal Care
P000098,Packaged Snack Box,1.35,299.28,6.41,7.25,6.44,Food & Beverages
P000099,Medicine Box,0.43,20.39,5.24,2.07,1.88,Pharmaceuticals
P000100,Folded Apparel,1.51,493.98,14.64,8.95,3.77,Apparel & Fashion
P000101,Personal Care Product,0.33,162.75,9.33,4.35,4.01,Personal Care
P000102,Personal Care Product,0.45,187.71,4.08,5.68,8.1,Personal Care
P000103,Medicine Box,0.62,62.64,4.38,4.36,3.28,Pharmaceuticals
P000104,Cosmetic Kit,2.15,106.82,5.07,5.53,3.81,Cosmetics & Beauty
P000105,Toy Action Figure,0.28,281.15,11.77,5.32,4.49,Toys
P000106,Packaged Snack Box,2.31,629.86,12.73,8.59,5.76,Food & Beverages
P000107,Toy Action Figure,0.19,59.32,5.27,7.17,1.57,Toys
P000108,Packaged Snack Box,4.09,297.62,9.77,9.49,3.21,Food & Beverages
P000109,Packaged Snack Box,3.11,560.3,13.94,4.95,8.12,Food & Beverages
P000110,Industrial Equipment Part,47.49,17934.64,26.54,45.97,14.7,Industrial Goods
P000111,Folded Apparel,0.58,514.52,13.69,6.48,5.8,Apparel & Fashion
P000112,Cosmetic Kit,1.7,59.56,4.85,3.57,3.44,Cosmetics & Beauty
P000113,Home Utility Item,5.01,4369.11,21.32,20.25,10.12,Home & Living
P000114,Medicine Box,0.8,17.62,3.36,2.93,1.79,Pharmaceuticals
P000115,Home Utility Item,5.68,804.69,9.9,11.4,7.13,Home & Living
P000116,Packaged Snack Box,4.16,321.53,4.6,10.34,6.76,Food & Beverages
P000117,Medicine Box,0.95,53.3,3.62,4.75,3.1,Pharmaceuticals
P000118,Medicine Box,0.36,16.89,3.4,2.16,2.3,Pharmaceuticals
P000119,Toy Action Figure,0.91,153.75,3.82,7.77,5.18,Toys
P000120,Folded Apparel,2.17,313.01,13.76,12.1,1.88,Apparel & Fashion
P000121,Folded Apparel,2.07,436.89,9.81,10.68,4.17,Apparel & Fashion
P000122,Medicine Box,0.86,47.51,4.74,3.33,3.01,Pharmaceuticals
P000123,Home Utility Item,16.36,9114.84,29.58,12.92,23.85,Home & Living
P000124,Medicine Box,0.78,13.98,3.44,3.01,1.35,Pharmaceuticals
P000125,Industrial Equipment Part,50.19,5877.12,30.95,8.38,22.66,Industrial Goods
P000126,Medicine Box,0.93,50.64,6.8,2.81,2.65,Pharmaceuticals
P000127,Medicine Box,0.28,60.17,3.61,5.89,2.83,Pharmaceuticals
P000128,Folded Apparel,3.97,206.94,13.51,10.42,1.47,Apparel & Fashion
P000129,Medicine Box,0.94,51.87,7.74,4.59,1.46,Pharmaceuticals
P000130,Industrial Equipment Part,38.31,22876.7,44.09,24.28,21.37,Industrial Goods
P000131,Industrial Equipment Part,59.96,5083.41,13.81,14.39,25.58,Industrial Goods
P000132,Packaged Snack Box,4.68,371.14,6.76,10.32,5.32,Food & Beverages
P000133,Toy Action Figure,1.5,82.67,5.55,3.79,3.93,Toys
P000134,Consumer Electronic Device,19.12,1985.87,23.99,15.56,5.32,Electronics
P000135,Personal Care Product,0.83,334.53,10.83,7.9,3.91,Personal Care
P000136,Toy Action Figure,0.63,157.98,5.86,4.84,5.57,Toys
P000137,Medicine Box,0.37,76.25,7.82,2.5,3.9,Pharmaceuticals
P000138,Medicine Box,0.19,20.73,3.5,5.64,1.05,Pharmaceuticals
P000139,Packaged Snack Box,3.52,480.93,8.69,11.75,4.71,Food & Beverages
P000140,Personal Care Product,0.7,392.57,10.67,7.3,5.04,Personal Care
P000141,Industrial Equipment Part,73.75,1911.53,7.94,9.01,26.72,Industrial Goods
P000142,Packaged Snack Box,4.39,282.44,8.34,4.79,7.07,Food & Beverages
P000143,Consumer Electronic Device,19.94,1137.74,35.62,27.3,1.17,Electronics
P000144,Personal Care Product,1.4,153.88,6.88,4.22,5.3,Personal Care
P000145,Consumer Electronic Device,17.14,1295.64,11.23,19.07,6.05,Electronics
P000146,Cosmetic Kit,0.13,105.12,6.23,4.78,3.53,Cosmetics & Beauty
P000147,Industrial Equipment Part,47.42,6076.93,14.53,25.44,16.44,Industrial Goods
P000148,Folded Apparel,3.44,635.04,12.57,8.42,6,Apparel & Fashion
P000149,Cosmetic Kit,2.13,118.09,5.67,5.51,3.78,Cosmetics & Beauty
P000150,Folded Apparel,3.9,510.48,8.08,12.92,4.89,Apparel & Fashion
P000151,Folded Apparel,1.03,619.03,15.76,7.84,5.01,Apparel & Fashion
P000152,Folded Apparel,3.39,748.03,14.78,11.77,4.3,Apparel & Fashion
P000153,Toy Action Figure,1.13,104.59,5.78,4.64,3.9,Toys
P000154,Folded Apparel,3.19,210.07,11.27,9.32,2,Apparel & Fashion
P000155,Industrial Equipment Part,73.21,5907.05,33.1,17.99,9.92,Industrial Goods
P000156,Folded Apparel,3.86,212.9,15.47,8.71,1.58,Apparel & Fashion
P000157,Cosmetic Kit,2.91,573.6,9.02,8.07,7.88,Cosmetics & Beauty
P000158,Home Utility Item,13.62,1655.18,6.47,18.88,13.55,Home & Living
P000159,Home Utility Item,5.06,6093.09,33.96,28.57,6.28,Home & Living
P000160,Industrial Equipment Part,51.2,21272.35,23.71,32.84,27.32,Industrial Goods
P000161,Folded Apparel,0.34,123.51,14.49,6.93,1.23,Apparel & Fashion
P000162,Packaged Snack Box,2.38,170.47,4.97,11.1,3.09,Food & Beverages
P000163,Consumer Electronic Device,15.47,11423.76,44.61,20.34,12.59,Electronics
P000164,Personal Care Product,0.79,100.72,4.96,5.22,3.89,Personal Care
P000165,Industrial Equipment Part,22.79,11616.52,54.69,34.37,6.18,Industrial Goods
P000166,Medicine Box,0.97,28.79,3.46,2.85,2.92,Pharmaceuticals
P000167,Personal Care Product,0.23,122.83,5.19,3.63,6.52,Personal Care
P000168,Cosmetic Kit,2.39,267.56,8.69,4.63,6.65,Cosmetics & Beauty
P000169,Consumer Electronic Device,2.93,10224.43,49.41,17.13,12.08,Electronics
P000170,Toy Action Figure,0.12,164.93,6.22,6.73,3.94,Toys
P000171,Toy Action Figure,0.19,29.44,4.14,4.53,1.57,Toys
P000172,Personal Care Product,1.9,163.12,7.62,3.55,6.03,Personal Care
P000173,Industrial Equipment Part,79.89,3915.62,22.29,34.31,5.12,Industrial Goods
P000174,Home Utility Item,1.93,12039.58,29.33,17.77,23.1,Home & Living
P000175,Personal Care Product,1.3,118.46,8.47,3.33,4.2,Personal Care
P000176,Home Utility Item,12.31,10091.06,39.82,18.73,13.53,Home & Living
P000177,Packaged Snack Box,3.66,940.52,12.53,9.21,8.15,Food & Beverages
P000178,Home Utility Item,9.34,2725.49,21.35,11.48,11.12,Home & Living
P000179,Packaged Snack Box,4.78,187.23,7.13,6.5,4.04,Food & Beverages
P000180,Packaged Snack Box,3.77,125.46,4.91,4.68,5.46,Food & Beverages
P000181,Consumer Electronic Device,8.38,4639.19,29.15,18.42,8.64,Electronics
P000182,Personal Care Product,1.84,450.47,10.86,7.71,5.38,Personal Care
P000183,Folded Apparel,1.01,479.79,14,8.81,3.89,Apparel & Fashion
P000184,Cosmetic Kit,0.43,259.89,8.93,5.45,5.34,Cosmetics & Beauty
P000185,Home Utility Item,12.46,21635.17,34.74,29.39,21.19,Home & Living
P000186,Folded Apparel,3.7,326.58,8.29,8.19,4.81,Apparel & Fashion
P000187,Toy Action Figure,0.2,56.81,4.63,2.86,4.29,Toys
P000188,Packaged Snack Box,1.84,351.35,11.46,5.72,5.36,Food & Beverages
P000189,Folded Apparel,0.52,713.61,15.22,12.21,3.84,Apparel & Fashion
P000190,Consumer Electronic Device,6.95,2061.39,10.4,19.3,10.27,Electronics
P000191,Medicine Box,0.38,36.83,5.07,2.86,2.54,Pharmaceuticals
P000192,Folded Apparel,1.37,576.75,14.78,10.75,3.63,Apparel & Fashion
P000193,Home Utility Item,18.93,2391.88,39.47,7.31,8.29,Home & Living
P000194,Folded Apparel,1.84,264.52,10.89,6.96,3.49,Apparel & Fashion
P000195,Home Utility Item,13.53,4368.96,24.11,11.52,15.73,Home & Living
P000196,Packaged Snack Box,2.41,434.93,7.97,9.94,5.49,Food & Beverages
P000197,Personal Care Product,0.89,368.77,8.18,5.87,7.68,Personal Care
P000198,Home Utility Item,12.55,1927.42,6.71,13.79,20.83,Home & Living
P000199,Packaged Snack Box,2.12,222.86,8.37,4.85,5.49,Food & Beverages
P000200,Home Utility Item,15.69,7359.77,35.6,23.9,8.65,Home & Living
P000201,Industrial Equipment Part,62.32,12951.75,40.19,29.35,10.98,Industrial Goods
P000202,Consumer Electronic Device,15.14,288.99,14.1,6.1,3.36,Electronics
P000203,Medicine Box,0.7,61.95,5.32,4.25,2.74,Pharmaceuticals
P000204,Personal Care Product,0.68,80.68,4.36,3.34,5.54,Personal Care
P000205,Toy Action Figure,0.15,50.04,6.17,2.45,3.31,Toys
P000206,Folded Apparel,2.54,597.81,8.77,12.91,5.28,Apparel & Fashion
P000207,Medicine Box,0.09,110.57,5.9,5.82,3.22,Pharmaceuticals
P000208,Personal Care Product,0.96,449.76,8.45,5.51,9.66,Personal Care
P000209,Packaged Snack Box,2.3,193.78,9.05,5.38,3.98,Food & Beverages
P000210,Industrial Equipment Part,23.35,7739.8,34.23,12.98,17.42,Industrial Goods
P000211,Personal Care Product,0.74,209.38,9.11,3.26,7.05,Personal Care
P000212,Packaged Snack Box,4.29,273.05,9.58,7.09,4.02,Food & Beverages
P000213,Personal Care Product,0.69,219.94,3.73,6.32,9.33,Personal Care
P000214,Consumer Electronic Device,9.54,4367.31,30.97,28.26,4.99,Electronics
P000215,Industrial Equipment Part,2.44,8751.66,11.05,35.5,22.31,Industrial Goods
P000216,Consumer Electronic Device,4.96,6407.43,47.7,11.57,11.61,Electronics
P000217,Packaged Snack Box,2.79,434.43,6.96,10.3,6.06,Food & Beverages
P000218,Personal Care Product,0.39,449.65,10.89,6.09,6.78,Personal Care
P000219,Consumer Electronic Device,18.05,686.77,36.9,3.22,5.78,Electronics
P000220,Medicine Box,0.8,48.14,4.17,2.96,3.9,Pharmaceuticals
P000221,Personal Care Product,1.56,293.86,9.1,5.85,5.52,Personal Care
P000222,Industrial Equipment Part,64.3,55893.91,34.48,48.52,33.41,Industrial Goods
P000223,Folded Apparel,3.75,239.77,8.52,9.84,2.86,Apparel & Fashion
P000224,Folded Apparel,2.15,209.15,8.84,7.28,3.25,Apparel & Fashion
P000225,Packaged Snack Box,1.88,436.45,13.46,5.78,5.61,Food & Beverages
P000226,Home Utility Item,19.89,1261.69,7.81,18.05,8.95,Home & Living
P000227,Cosmetic Kit,1.98,214.47,3.2,9.52,7.04,Cosmetics & Beauty
P000228,Toy Action Figure,0.29,174.49,5.58,6.98,4.48,Toys
P000229,Medicine Box,0.25,36.22,6.08,5.62,1.06,Pharmaceuticals
P000230,Industrial Equipment Part,62.32,35815.03,56.77,32.79,19.24,Industrial Goods
P000231,Folded Apparel,2.57,305.58,9.22,7.91,4.19,Apparel & Fashion
P000232,Packaged Snack Box,3.23,622.46,12.37,8,6.29,Food & Beverages
P000233,Consumer Electronic Device,14.35,191.35,16.69,2.04,5.62,Electronics
P000234,Industrial Equipment Part,41.08,12077.85,58.63,8.98,22.94,Industrial Goods
P000235,Home Utility Item,7.78,3045.24,35.69,7.04,12.12,Home & Living
P000236,Personal Care Product,1.29,374.7,10.1,4.72,7.86,Personal Care
P000237,Consumer Electronic Device,4.54,1080.35,5.08,17.29,12.3,Electronics
P000238,Consumer Electronic Device,11.55,1822.4,41.14,3.77,11.75,Electronics
P000239,Toy Action Figure,0.53,190.86,10.12,7.31,2.58,Toys
P000240,Industrial Equipment Part,23.6,6554.28,31.56,7.61,27.29,Industrial Goods
P000241,Personal Care Product,0.86,210.21,5.46,7,5.5,Personal Care
P000242,Home Utility Item,7.66,3404.23,17.53,10.48,18.53,Home & Living
P000243,Packaged Snack Box,4.15,355.87,11.27,4.63,6.82,Food & Beverages
P000244,Personal Care Product,0.95,79.49,3.92,4.64,4.37,Personal Care
P000245,Consumer Electronic Device,21.78,465.5,35.42,11.84,1.11,Electronics
P000246,Folded Apparel,2.75,228.88,14.39,12.33,1.29,Apparel & Fashion
P000247,Personal Care Product,0.16,168.71,7.62,6.75,3.28,Personal Care
P000248,Toy Action Figure,0.61,59.89,4.14,3.42,4.23,Toys
P000249,Consumer Electronic Device,19.12,5876.24,34.92,28.57,5.89,Electronics
P000250,Home Utility Item,1.01,5119.11,16.69,12.69,24.17,Home & Living
P000251,Medicine Box,0.79,42.64,5.59,5.65,1.35,Pharmaceuticals
P000252,Cosmetic Kit,1.52,373.88,9.97,5,7.5,Cosmetics & Beauty
P000253,Packaged Snack Box,0.62,530.08,8.52,11.19,5.56,Food & Beverages
P000254,Personal Care Product,0.67,233.25,9.39,5.75,4.32,Personal Care
P000255,Consumer Electronic Device,5.18,1480.02,40.3,16.25,2.26,Electronics
P000256,Medicine Box,0.81,27.87,3.13,4.22,2.11,Pharmaceuticals
P000257,Packaged Snack Box,2.5,259.33,4.66,7.19,7.74,Food & Beverages
P000258,Home Utility Item,13.03,6449.38,33.99,7.77,24.42,Home & Living
P000259,Medicine Box,0.79,78.52,6.4,3.38,3.63,Pharmaceuticals
P000260,Consumer Electronic Device,3.28,834.05,23.33,27.5,1.3,Electronics
P000261,Consumer Electronic Device,23.7,1126.79,10.61,28.17,3.77,Electronics
P000262,Folded Apparel,2.58,322.21,9.96,13.65,2.37,Apparel & Fashion
P000263,Industrial Equipment Part,14.52,32398.5,40.61,32.04,24.9,Industrial Goods
P000264,Toy Action Figure,1,27.84,10.43,2.17,1.23,Toys
P000265,Cosmetic Kit,1.54,288.88,8.37,5.92,5.83,Cosmetics & Beauty
P000266,Medicine Box,0.48,49,4.22,5.23,2.22,Pharmaceuticals
P000267,Consumer Electronic Device,15.25,1273.8,23.66,15.56,3.46,Electronics
P000268,Personal Care Product,1.17,213.27,11.78,3.65,4.96,Personal Care
P000269,Cosmetic Kit,0.38,106.57,6.27,4.87,3.49,Cosmetics & Beauty
P000270,Home Utility Item,6.88,2841.21,14.44,26.77,7.35,Home & Living
P000271,Cosmetic Kit,1.55,275.5,8.34,6.49,5.09,Cosmetics & Beauty
P000272,Toy Action Figure,0.44,54.65,3.81,4.36,3.29,Toys
P000273,Toy Action Figure,1.02,92.76,3.45,4.97,5.41,Toys
P000274,Folded Apparel,3.55,538.24,13.37,12.78,3.15,Apparel & Fashion
P000275,Home Utility Item,4.3,4599.82,18.44,15.61,15.98,Home & Living
P000276,Packaged Snack Box,4.16,382.31,7.86,7.6,6.4,Food & Beverages
P000277,Consumer Electronic Device,8.61,7654.15,48.83,13.03,12.03,Electronics
P000278,Cosmetic Kit,0.21,93.96,7.22,5.81,2.24,Cosmetics & Beauty
P000279,Industrial Equipment Part,26.91,22619.16,30.68,32.68,22.56,Industrial Goods
P000280,Consumer Electronic Device,14.92,5259.88,21.47,19.26,12.72,Electronics
P000281,Medicine Box,0.98,74.19,7.08,3.47,3.02,Pharmaceuticals
P000282,Toy Action Figure,1.46,128.61,8.37,3.59,4.28,Toys
P000283,Toy Action Figure,0.97,103.4,8.25,3.02,4.15,Toys
P000284,Consumer Electronic Device,17.57,3215.73,41.62,8.78,8.8,Electronics
P000285,Medicine Box,0.44,36.62,4.57,2.61,3.07,Pharmaceuticals
P000286,Toy Action Figure,1.5,181.56,9.35,5.11,3.8,Toys
P000287,Industrial Equipment Part,43.12,26040.37,26.35,48.09,20.55,Industrial Goods
P000288,Folded Apparel,2.32,237.08,14.1,7.54,2.23,Apparel & Fashion
P000289,Folded Apparel,2.06,813.75,15.71,11.64,4.45,Apparel & Fashion
P000290,Personal Care Product,0.65,479.15,8.04,7.67,7.77,Personal Care
P000291,Home Utility Item,6.16,20434.69,33.82,28.91,20.9,Home & Living
P000292,Packaged Snack Box,2.5,227.81,7.46,7.54,4.05,Food & Beverages
P000293,Industrial Equipment Part,9.63,8740.2,20.64,30.73,13.78,Industrial Goods
P000294,Cosmetic Kit,0.78,105.13,3.36,9.34,3.35,Cosmetics & Beauty
P000295,Personal Care Product,0.11,270.51,9.46,3.5,8.17,Personal Care
P000296,Home Utility Item,13.19,10707.22,28.2,27.14,13.99,Home & Living
P000297,Personal Care Product,1.34,149.81,5.57,3.3,8.15,Personal Care
P000298,Industrial Equipment Part,73.8,10637.73,45.89,43.41,5.34,Industrial Goods
P000299,Consumer Electronic Device,19.74,1787.09,46.89,3.02,12.62,Electronics
P000300,Toy Action Figure,1.48,25.66,3.08,5.41,1.54,Toys
P000301,Medicine Box,0.94,82.22,7.95,4.17,2.48,Pharmaceuticals
P000302,Folded Apparel,1.94,124.02,9.93,6.9,1.81,Apparel & Fashion
P000303,Consumer Electronic Device,16.93,200.14,3.66,11.44,4.78,Electronics
P000304,Home Utility Item,13.55,3647.89,34.12,18.37,5.82,Home & Living
P000305,Consumer Electronic Device,9.71,430.44,25.44,28.2,0.6,Electronics
P000306,Personal Care Product,1.34,79.02,5.72,6.61,2.09,Personal Care
P000307,Toy Action Figure,1.06,77.68,9.01,4.79,1.8,Toys
P000308,Packaged Snack Box,1.26,591.8,10.39,11.53,4.94,Food & Beverages
P000309,Medicine Box,0.45,53.05,3.77,4.99,2.82,Pharmaceuticals
P000310,Industrial Equipment Part,54.75,65603.6,49.31,42.33,31.43,Industrial Goods
P000311,Industrial Equipment Part,45.57,7583.18,30.12,36.97,6.81,Industrial Goods
P000312,Industrial Equipment Part,14,19014.58,54.76,14.89,23.32,Industrial Goods
P000313,Packaged Snack Box,4.51,621.68,10.8,9.74,5.91,Food & Beverages
P000314,Toy Action Figure,0.18,117.97,7.08,5.08,3.28,Toys
P000315,Folded Apparel,3.03,709.47,15.23,9.17,5.08,Apparel & Fashion
P000316,Toy Action Figure,0.18,156.64,6.81,6.2,3.71,Toys
P000317,Medicine Box,0.78,38.07,3.16,3.64,3.31,Pharmaceuticals
P000318,Personal Care Product,1.82,525.28,11.94,4.91,8.96,Personal Care
P000319,Packaged Snack Box,3.34,634.85,10.83,9.29,6.31,Food & Beverages
P000320,Packaged Snack Box,3.69,298.88,5.78,8.3,6.23,Food & Beverages
P000321,Toy Action Figure,1.11,256.32,9.81,7.87,3.32,Toys
P000322,Industrial Equipment Part,13.25,8779.28,26.48,16.11,20.58,Industrial Goods
P000323,Packaged Snack Box,4.69,277.42,4.32,9.28,6.92,Food & Beverages
P000324,Cosmetic Kit,1.83,36.24,4.44,3.71,2.2,Cosmetics & Beauty
P000325,Toy Action Figure,1.31,47.18,6.62,3.41,2.09,Toys
P000326,Consumer Electronic Device,18.34,3322.54,26.68,10.1,12.33,Electronics
P000327,Cosmetic Kit,0.74,121.82,5.11,4,5.96,Cosmetics & Beauty
P000328,Toy Action Figure,0.35,208.05,8.01,5.55,4.68,Toys
P000329,Industrial Equipment Part,54.04,60565.44,32.76,48.78,37.9,Industrial Goods
P000330,Home Utility Item,10.99,2062.59,19.88,13.2,7.86,Home & Living
P000331,Cosmetic Kit,2.75,277.47,5.11,7.95,6.83,Cosmetics & Beauty
P000332,Industrial Equipment Part,27.09,10535.77,34.62,23.09,13.18,Industrial Goods
P000333,Medicine Box,0.23,54.39,7.24,2.37,3.17,Pharmaceuticals
P000334,Home Utility Item,4.17,13221.88,28.9,20.47,22.35,Home & Living
P000335,Medicine Box,0.91,43.44,4.04,5.63,1.91,Pharmaceuticals
P000336,Cosmetic Kit,1.49,297.35,9.73,3.82,8,Cosmetics & Beauty
P000337,Home Utility Item,7.92,14494.52,37.11,19.25,20.29,Home & Living
P000338,Folded Apparel,0.57,374.34,10.62,10.1,3.49,Apparel & Fashion
P000339,Personal Care Product,1.17,289.21,11.23,4.85,5.31,Personal Care
